ApprovalTime,AutoApprovalTime,AssignmentId,trainBlock_T9,trainBlock_T8,condition_T12,condition_T11,trainBlock_T1,trainBlock_T3,trainBlock_T2,trainBlock_T5,trainBlock_T4,trainBlock_T7,trainBlock_T6,selected_T9,selected_T8,selected_T1,selected_T11,selected_T3,selected_T2,selected_T5,selected_T4,selected_T7,selected_T6,category_T10,education,trainBlock_T10,selected_T12,asses,comments,trainPics_T4,trainPics_T5,trainPics_T6,trainPics_T7,trainPics_T1,trainPics_T2,trainPics_T3,condition_T10,category_T12,trainPics_T8,trainPics_T9,selected_T10,category_T11,word_T8,word_T9,trainBlock_T12,word_T4,word_T5,word_T6,word_T7,word_T1,word_T2,word_T3,category_T8,category_T9,trainPics_T12,trainPics_T10,trainPics_T11,category_T1,category_T2,category_T3,category_T4,category_T5,category_T6,category_T7,enjoyment,word_T12,language,word_T10,word_T11,gender,age,trainBlock_T11,condition_T2,condition_T3,condition_T1,condition_T6,condition_T7,condition_T4,condition_T5,condition_T8,condition_T9,AcceptTime,HITId,Assignment,AssignmentStatus,SubmitTime,subids
2017-01-22T21:20:07Z,2017-01-22T21:19:20Z,308Q0PEVB8D999FGXNFBZ69ERKS9I1,3,3,3sup,3sup,1,1,1,2,2,3,2,"c2_sub2,c2_sub1","c1_bas2,c1_sub1,c1_sub2","c1_sub2,c1_sub1,c1_bas2","c3_sub2,c3_sub1","c2_sub2,c2_bas2,c2_sub1","c3_sub2,c3_bas1,c3_sub1","c1_sub1,c1_sub2","c2_sub2,c2_sub1,c2_bas2,c2_bas1","c3_sub1,c3_sub2",c3_sub1,vehicles,2,4,"c1_sub1,c1_sub2","NA",,c2_sub3,c1_sub3,c3_sub3,c3_bas3-c3_bas4-c3_sub3,c1_sub5-c1_sub4-c1_sub3,c3_sub4-c3_sub5-c3_sub3,c2_sub5-c2_sub3-c2_sub4,3sup,vegetables,c1_bas4-c1_sub3-c1_bas3,c2_bas4-c2_bas3-c2_sub3,c2_sub1,animals,tev,nur,4,mep,zom,fep,sib,dit,rab,pag,vegetables,vehicles,c1_sub3-c1_sup6-c1_sup5,c2_sub3-c2_sup5-c2_sup6,c3_sup6-c3_sub3-c3_sup5,vegetables,animals,vehicles,vehicles,vegetables,animals,animals,2,tob,english,wug,rif,,,4,3sub,3sub,3sub,one,3bas,one,one,3bas,3bas,2017-01-22T21:02:39Z,31J7RYECZLQQNLMXOBSTNWO0VTWL1J,,Approved,2017-01-22T21:09:20Z,1
2017-01-22T21:17:07Z,2017-01-22T21:17:03Z,30MVJZJNHMD54KZMF50BB7OE4ZH9JD,3,3,one,one,1,1,1,2,2,3,2,"c1_bas1,c1_sub2,c1_sub1","c3_bas2,c3_sub2,c3_bas1","c1_sub2,c1_sub1,c1_bas1","c2_sub2,c2_bas2,c2_bas1","c2_sub2,c2_sub1,c2_bas2","c3_sub2,c3_sub1,c3_bas2","c3_bas1,c3_sub2,c3_sub1","c1_sup3,c1_sup1,c1_sup2","c2_sub1,c2_sub2,c2_bas2","c2_bas1,c2_sup4,c2_bas2",vegetables,3,4,"c3_sub1,c3_sub2,c3_bas1",Yes,,c1_sub3-c1_sup6-c1_sup5,c3_sub3-c3_sup5-c3_sup6,c2_sup5-c2_sub3-c2_sup6,c2_bas4-c2_bas3-c2_sub3,c1_sub4-c1_sub3-c1_sub5,c3_sub4-c3_sub5-c3_sub3,c2_sub4-c2_sub5-c2_sub3,one,animals,c3_bas3-c3_sub3-c3_bas4,c1_bas3-c1_bas4-c1_sub3,"c1_bas1,c1_sub2,c1_sub1",vehicles,dit,tob,4,wug,fep,zom,nur,tev,pag,rif,animals,vegetables,c3_sub3,c1_sub3,c2_sub3,vegetables,animals,vehicles,vegetables,animals,vehicles,vehicles,2,rab,english,sib,mep,Female,51,4,3sub,3sub,3sub,3sup,3bas,3sup,3sup,3bas,3bas,2017-01-22T21:02:55Z,31J7RYECZLQQNLMXOBSTNWO0VTWL1J,,Approved,2017-01-22T21:07:03Z,2
2017-01-22T21:21:07Z,2017-01-22T21:20:34Z,31T4R4OBOSGEIN5NQGL5A7KDJPK7CL,3,3,one,one,1,1,1,2,2,3,2,"c3_bas1,c3_bas2,c3_sub2,c3_sub1","c2_bas2,c2_sub2,c2_sub1,c2_bas1","c2_sub2,c2_sub1","c3_sub2,c3_sub1","c1_sub2,c1_sub1","c3_sub2,c3_sub1","c2_sup1,c2_sub2,c2_sub1,c2_bas1,c2_bas2","c1_sup4,c1_sub2,c1_sup2,c1_sup3,c1_sup1,c1_bas2,c1_bas1,c1_sub1","c1_sub1,c1_bas2,c1_bas1,c1_sub2","c3_bas2,c3_bas1,c3_sub2,c3_sup3,c3_sup2,c3_sup4,c3_sub1,c3_sup1",vehicles,2,4,"c1_sub2,c1_sub1",Yes,that was fun thanks,c1_sup6-c1_sup5-c1_sub3,c2_sub3-c2_sup5-c2_sup6,c3_sub3-c3_sup6-c3_sup5,c1_sub3-c1_bas3-c1_bas4,c2_sub4-c2_sub3-c2_sub5,c3_sub5-c3_sub3-c3_sub4,c1_sub4-c1_sub3-c1_sub5,one,vegetables,c2_bas4-c2_bas3-c2_sub3,c3_bas3-c3_sub3-c3_bas4,"c2_sub1,c2_sub2",animals,rab,nur,4,dit,mep,wug,fep,rif,sib,tob,vehicles,animals,c1_sub3,c2_sub3,c3_sub3,vehicles,animals,vegetables,vegetables,vehicles,animals,vegetables,2,zom,english,tev,pag,Female,58,4,3sub,3sub,3sub,3sup,3bas,3sup,3sup,3bas,3bas,2017-01-22T21:01:49Z,31J7RYECZLQQNLMXOBSTNWO0VTWL1J,,Approved,2017-01-22T21:10:34Z,3
2017-01-22T21:18:07Z,2017-01-22T21:17:31Z,32Q90QCQ1SLHA0WL51G940P2ALXEKR,3,3,one,one,1,1,1,2,2,3,2,"c3_bas1,c3_bas2,c3_sub2,c3_sub1","c2_sub2,c2_sub1,c2_bas2","c3_sub2,c3_sub1","c2_sub2,c2_sub1","c1_sub1,c1_sub2","c2_sub2,c2_sub1","c3_sub2,c3_bas1,c3_sup2,c3_sup1,c3_bas2,c3_sup4,c3_sup3,c3_sub1","c1_sup1,c1_sub1,c1_sup4,c1_sub2,c1_sup3,c1_bas2,c1_sup2,c1_bas1","c1_bas2,c1_sub1,c1_sub2,c1_bas1","c2_bas1,c2_sup4,c2_sup1,c2_sub2,c2_bas2,c2_sup2,c2_sup3,c2_sub1",animals,1,4,"c1_sub1,c1_sub2","NA",,c1_sub3-c1_sup5-c1_sup6,c3_sub3-c3_sup6-c3_sup5,c2_sup5-c2_sup6-c2_sub3,c1_bas4-c1_sub3-c1_bas3,c3_sub5-c3_sub3-c3_sub4,c2_sub3-c2_sub5-c2_sub4,c1_sub3-c1_sub4-c1_sub5,one,vegetables,c2_bas3-c2_sub3-c2_bas4,c3_bas3-c3_sub3-c3_bas4,"c3_sub2,c3_sub1",vehicles,zom,rif,4,nur,fep,tob,tev,rab,pag,sib,vehicles,animals,c1_sub3,c3_sub3,c2_sub3,animals,vehicles,vegetables,vegetables,animals,vehicles,vegetables,1,mep,English,dit,wug,,,4,3sub,3sub,3sub,3sup,3bas,3sup,3sup,3bas,3bas,2017-01-22T21:01:47Z,31J7RYECZLQQNLMXOBSTNWO0VTWL1J,,Approved,2017-01-22T21:07:31Z,4
2017-01-22T22:29:07Z,2017-01-22T22:28:16Z,338JKRMM26ZNIXE1JBBQVPJJXPWHAW,3,3,3bas,3bas,1,1,1,2,2,3,2,"c2_sub2,c2_sub1","c3_sub2,c3_sub1","c2_sub1,c2_sub2","c2_bas1,c2_bas2,c2_sub2,c2_sub1","c1_sub1,c1_sub2","c3_sub2,c3_sub1","c2_sup3,c2_bas2,c2_sup1,c2_sub1,c2_sup4,c2_sub2,c2_bas1","c3_sub2,c3_sup1,c3_sup3,c3_bas1,c3_sup4,c3_sub1,c3_bas2,c3_sup2","c1_sub2,c1_sub1","c1_sup3,c1_sup4,c1_sub1,c1_sup1,c1_bas2,c1_sub2,c1_bas1,c1_sup2",vegetables,1,4,"c3_bas1,c3_sub2,c3_bas2,c3_sub1","NA",,c3_sub3-c3_sup5-c3_sup6,c2_sup6-c2_sub3-c2_sup5,c1_sup6-c1_sup5-c1_sub3,c1_sub3,c2_sub4-c2_sub3-c2_sub5,c3_sub4-c3_sub5-c3_sub3,c1_sub3-c1_sub4-c1_sub5,3bas,animals,c3_sub3,c2_sub3,"c1_bas2,c1_bas1,c1_sub2,c1_sub1",vehicles,rif,mep,4,dit,tev,rab,sib,zom,wug,pag,animals,vehicles,c3_bas4-c3_bas3-c3_sub3,c1_sub3-c1_bas3-c1_bas4,c2_bas3-c2_sub3-c2_bas4,vehicles,animals,vegetables,animals,vehicles,vegetables,vegetables,2,tob,English,fep,nur,,,4,3sub,3sub,3sub,3sup,one,3sup,3sup,one,one,2017-01-22T21:58:10Z,31J7RYECZLQQNLMXOBSTNWO0VTWL1J,,Approved,2017-01-22T22:18:16Z,5
2017-01-22T21:22:07Z,2017-01-22T21:21:33Z,33F859I566DS17JTPPBMQ03PF7GHBQ,3,3,one,one,1,1,1,2,2,3,2,"c1_bas1,c1_bas2,c1_sub2,c1_sub1","c3_sub1,c3_sub2,c3_bas2,c3_bas1","c3_sub1,c3_sub2","c2_sub2,c2_sub1,c2_bas2","c2_sub1,c2_sub2","c1_sub2,c1_sub1","c1_sub1,c1_sub2","c3_sub1,c3_sub2","c2_bas1,c2_sub1,c2_sub2,c2_bas2","c2_sub1,c2_sub2",vegetables,3,4,"c3_sub1,c3_sub2",No,,c3_sup6-c3_sub3-c3_sup5,c1_sup5-c1_sup6-c1_sub3,c2_sup6-c2_sup5-c2_sub3,c2_bas4-c2_sub3-c2_bas3,c3_sub4-c3_sub5-c3_sub3,c1_sub5-c1_sub4-c1_sub3,c2_sub5-c2_sub3-c2_sub4,one,animals,c3_sub3-c3_bas4-c3_bas3,c1_bas4-c1_sub3-c1_bas3,c1_sub2,vehicles,wug,rab,4,dit,fep,tob,rif,pag,tev,zom,animals,vegetables,c3_sub3,c1_sub3,c2_sub3,animals,vegetables,vehicles,animals,vegetables,vehicles,vehicles,2,nur,English,sib,mep,Female,34,4,3sub,3sub,3sub,3sup,3bas,3sup,3sup,3bas,3bas,2017-01-22T21:01:45Z,31J7RYECZLQQNLMXOBSTNWO0VTWL1J,,Approved,2017-01-22T21:11:33Z,6
2017-01-22T21:29:07Z,2017-01-22T21:28:26Z,34PGFRQONOBGGGCU8GA3PRWP202JWD,3,3,one,one,1,1,1,2,2,3,2,"c2_bas2,c2_sub2,c2_sub1,c2_bas1","c3_bas2,c3_sub1,c3_bas1,c3_sub2","c3_sub1,c3_sub2","c2_sub1,c2_sub2","c1_sub1,c1_sub2,c1_bas2,c1_bas1","c2_sub2,c2_sub1,c2_bas2,c2_bas1","c1_bas1,c1_sub2,c1_sup1,c1_sup4,c1_sub1,c1_sup2,c1_bas2,c1_sup3","c2_sub2,c2_sup3,c2_sup1,c2_sup4,c2_bas1,c2_bas2,c2_sub1","c1_sub2,c1_bas2,c1_bas1,c1_sub1","c3_sup4,c3_sub2,c3_sup2,c3_sup3,c3_sup1,c3_bas2,c3_bas1,c1_bas2,c3_sub1",vegetables,2,4,"c3_sub2,c3_sub1","NA",,c2_sub3-c2_sup5-c2_sup6,c1_sub3-c1_sup5-c1_sup6,c3_sup6-c3_sup5-c3_sub3,c1_bas4-c1_bas3-c1_sub3,c3_sub3-c3_sub5-c3_sub4,c2_sub3-c2_sub4-c2_sub5,c1_sub3-c1_sub4-c1_sub5,one,animals,c3_sub3-c3_bas4-c3_bas3,c2_bas4-c2_sub3-c2_bas3,"c1_sub2,c1_bas2,c1_bas1,c1_sub1",vehicles,rif,nur,4,rab,sib,tob,tev,dit,pag,fep,animals,vehicles,c3_sub3,c1_sub3,c2_sub3,animals,vehicles,vegetables,vehicles,vegetables,animals,vegetables,1,mep,english,wug,zom,,,4,3sub,3sub,3sub,3sup,3bas,3sup,3sup,3bas,3bas,2017-01-22T21:02:46Z,31J7RYECZLQQNLMXOBSTNWO0VTWL1J,,Approved,2017-01-22T21:18:26Z,7
2017-01-22T22:20:07Z,2017-01-22T22:19:33Z,34S6N1K2ZVJ4EG55G20G43ZUR1VHLE,3,3,3sup,3sup,1,1,1,2,2,3,2,"c3_sub1,c3_sub2","c1_bas2,c1_bas1,c1_sub2,c1_sub1","c1_sub1,c1_sub2,c1_bas2","c3_sup4,c3_sub2,c3_sup2,c3_sup1,c3_bas2,c3_sub1,c3_bas1,c3_sup3","c2_sub2,c2_sub1,c2_bas2","c3_sub1,c3_sub2,c3_bas2","c2_sub2,c2_sub1,c2_bas2,c2_bas1","c1_sub2,c1_bas2,c1_bas1","c2_sub1,c2_sub2,c2_bas2,c2_bas1","c3_sub1,c3_sub2,c3_bas1,c3_bas2",vehicles,2,4,"c1_bas2,c1_sup1,c1_bas1,c1_sub1,c1_sup4,c1_sup3,c1_sub2",Yes,,c1_sub3,c2_sub3,c3_sub3,c2_bas3-c2_bas4-c2_sub3,c1_sub3-c1_sub4-c1_sub5,c3_sub3-c3_sub5-c3_sub4,c2_sub4-c2_sub3-c2_sub5,3sup,vegetables,c1_bas4-c1_sub3-c1_bas3,c3_sub3-c3_bas4-c3_bas3,"c2_sub2,c2_sup1,c2_bas2,c2_sub1,c2_bas1,c2_sup4",animals,zom,tev,4,rab,mep,pag,sib,rif,tob,fep,vegetables,animals,c1_sub3-c1_sup6-c1_sup5,c2_sup6-c2_sub3-c2_sup5,c3_sup6-c3_sub3-c3_sup5,vegetables,animals,vehicles,vegetables,vehicles,animals,vehicles,2,dit,english,nur,wug,Male,30,4,3sub,3sub,3sub,one,3bas,one,one,3bas,3bas,2017-01-22T22:02:33Z,31J7RYECZLQQNLMXOBSTNWO0VTWL1J,,Approved,2017-01-22T22:09:33Z,8
2017-01-22T21:32:07Z,2017-01-22T21:31:22Z,35K3O9HUABD6UE474QPCONXX2PGEFP,3,3,3sup,3sup,1,1,1,2,2,3,2,"c2_bas1,c2_sub2,c2_sub1,c2_bas2","c1_bas1,c1_bas2,c1_sub1,c1_sub2","c2_sub1,c2_sub2","c2_sup1,c2_sub2,c2_bas2,c2_bas1,c2_sup3,c2_sup4,c2_sub1,c2_sup2","c3_sub2,c3_sub1","c1_sub2,c1_sub1","c3_sub1,c3_sub2","c2_sub1,c2_sub2","c3_bas1,c3_bas2,c3_sub2,c3_sub1","c1_sub1,c1_sub2",animals,2,4,"c1_sub1,c1_sub2,c1_bas1,c1_sup3,c1_bas2,c1_sup2,c1_sup1","NA",,c2_sub3,c3_sub3,c1_sub3,c3_bas3-c3_sub3-c3_bas4,c2_sub3-c2_sub4-c2_sub5,c1_sub5-c1_sub3-c1_sub4,c3_sub3-c3_sub5-c3_sub4,3sup,vegetables,c1_bas3-c1_bas4-c1_sub3,c2_bas3-c2_sub3-c2_bas4,"c3_sup4,c3_bas1,c3_bas2,c3_sup3,c3_sup1,c3_sub2,c3_sub1,c3_sup2",vehicles,mep,rab,4,dit,fep,tev,rif,wug,pag,sib,vegetables,vehicles,c1_sup6-c1_sup5-c1_sub3,c3_sub3-c3_sup6-c3_sup5,c2_sup6-c2_sub3-c2_sup5,vehicles,vegetables,animals,vehicles,animals,vegetables,animals,1,nur,English,zom,tob,,,4,3sub,3sub,3sub,one,3bas,one,one,3bas,3bas,2017-01-22T21:01:37Z,31J7RYECZLQQNLMXOBSTNWO0VTWL1J,,Approved,2017-01-22T21:21:22Z,9
NA,2017-01-22T21:35:04Z,379J5II41OGSU6E3Q1SAJ02HZL2ELU,3,3,3bas,3bas,1,1,1,2,2,3,2,"c2_sub2,c2_bas1,c2_bas2,c2_sup3,c2_sup2,c2_sup1,c2_sup4,c2_sub1","c1_sub2,c1_sub1,c1_bas2,c1_bas1,c1_sup3,c1_sup2,c1_sup4,c1_sup1","c3_sub2,c3_sub1","c3_sub2,c3_sub1,c3_bas2,c3_bas1","c1_sub1,c1_sub2,c1_bas2,c1_bas1","c2_sub1,c2_sub2","c2_sub1,c2_sub2","c3_sub2,c3_sub1","c3_bas1,c3_sup3,c3_sub2,c3_bas2,c3_sup2,c3_sup1,c3_sub1,c3_sup4","c1_sub2,c1_sub1",vehicles,2,4,"c1_sub2,c1_sub1,c1_bas1,c1_bas2","NA",,c3_sub3,c2_sub3,c1_sub3,c3_sub3-c3_sup5-c3_sup6,c3_sub3-c3_sub4-c3_sub5,c2_sub3-c2_sub4-c2_sub5,c1_sub3-c1_sub5-c1_sub4,3bas,vegetables,c1_sup5-c1_sub3-c1_sup6,c2_sup6-c2_sub3-c2_sup5,"c2_bas1,c2_sub2,c2_sub1,c2_bas2",animals,nur,pag,4,wug,zom,sib,tob,tev,rif,fep,vegetables,vehicles,c1_bas4-c1_sub3-c1_bas3,c2_sub3-c2_bas3-c2_bas4,c3_bas3-c3_bas4-c3_sub3,animals,vehicles,vegetables,animals,vehicles,vegetables,animals,2,mep,English,rab,dit,,,4,3sub,3sub,3sub,one,3sup,one,one,3sup,3sup,2017-01-22T21:02:31Z,31J7RYECZLQQNLMXOBSTNWO0VTWL1J,,Submitted,2017-01-22T21:25:04Z,10
