"","ApprovalTime","AutoApprovalTime","AssignmentId","trainBlock_T9","trainBlock_T8","condition_T12","condition_T11","trainBlock_T1","trainBlock_T3","trainBlock_T2","trainBlock_T5","trainBlock_T4","trainBlock_T7","trainBlock_T6","selected_T9","selected_T8","selected_T1","selected_T11","selected_T3","selected_T2","selected_T5","selected_T4","selected_T7","selected_T6","category_T10","education","trainBlock_T10","selected_T12","asses","comments","trainPics_T4","trainPics_T5","trainPics_T6","trainPics_T7","trainPics_T1","trainPics_T2","trainPics_T3","condition_T10","category_T12","trainPics_T8","trainPics_T9","selected_T10","category_T11","word_T8","word_T9","trainBlock_T12","word_T4","word_T5","word_T6","word_T7","word_T1","word_T2","word_T3","category_T8","category_T9","trainPics_T12","trainPics_T10","trainPics_T11","category_T1","category_T2","category_T3","category_T4","category_T5","category_T6","category_T7","enjoyment","word_T12","language","word_T10","word_T11","gender","age","trainBlock_T11","condition_T2","condition_T3","condition_T1","condition_T6","condition_T7","condition_T4","condition_T5","condition_T8","condition_T9","AcceptTime","HITId","Assignment","AssignmentStatus","SubmitTime","subids"
"1","2017-01-25T19:34:07Z","2017-01-25T19:33:59Z","30MVJZJNHMD54KZMF50BB7OE45C9JK","three","three","three_subordinate","three_subordinate","one","one","one","three","three","three","three","c1_bas2,c1_bas1","c1_sup2,c1_bas1,c1_sup4,c1_sub2,c1_bas2,c1_sub1,c1_sup1,c1_sup3","c2_sub1,c2_sub2","c2_sub1,c2_sub2","c1_bas2,c1_bas1","c3_sub1,c3_sub2","c2_sub2,c2_bas1,c2_bas2,c2_sub1","c3_sub1,c3_bas1,c3_bas2,c3_sub2","c2_bas1,c2_sup2,c2_sup4,c2_bas2,c2_sub1,c2_sub2,c2_sup1,c2_sup3","c3_sup1,c3_bas2,c3_sup2,c3_sup3,c3_sub1,c3_bas1,c3_sub2,c3_sup4","animals","1","three","c1_bas2,c1_sub1,c1_sub2,c1_bas1","Yes","","c3_bas3-c3_sub3-c3_bas4","c2_bas3-c2_sub3-c2_bas4","c3_sub3-c3_sup5-c3_sup6","c2_sup5-c2_sub3-c2_sup6","c2_sub3","c3_sub3","c1_sub3","three_subordinate","vegetables","c1_sup6-c1_sub3-c1_sup5","c1_bas4-c1_bas3-c1_sub3","c3_sub1,c3_sub2","vehicles","tob","wug","three","nur","rif","dit","pag","mep","zom","sib","vegetables","vegetables","c1_sub3-c1_sub5-c1_sub4","c3_sub3-c3_sub5-c3_sub4","c2_sub3-c2_sub5-c2_sub4","vehicles","animals","vegetables","animals","vehicles","animals","vehicles","2","tev","english","fep","rab","Male","26","three","one","one","one","three_superordinate","three_superordinate","three_basic","three_basic","three_superordinate","three_basic","2017-01-25T18:59:04Z","33EEIIWHK77H0UI8NUKEB6UAU4HQVV","","Approved","2017-01-25T19:23:59Z","1"
"2",NA,"2017-01-25T20:43:13Z","30X31N5D63QC86SHU5NPZ3QL668ASH","three","three","three_basic","three_superordinate","one","one","one","three","three","three","three","c1_sub1,c1_sub2","c1_bas1,c1_sub2,c1_sub1,c1_bas2","c1_sub1,c1_sub2","c1_sup1,c1_sup4,c1_sub2,c1_bas1,c1_sup3,c1_bas2,c1_sub1,c1_sup2","c3_sub1,c3_sub2","c2_sub2,c2_sub1","c2_sub1,c2_sub2,c2_bas1,c2_bas2","c3_sup1,c3_bas2,c3_sub1,c3_sup3,c3_sub2,c3_sup2,c3_bas1,c3_sup4","c2_sup1,c2_sup2,c2_sub2,c2_sub1,c2_bas2,c2_bas1,c2_sup4,c2_sup3","c3_bas1,c3_bas2,c3_sub1,c3_sub2","animals","3","three","c2_sub2,c2_bas2,c2_sub1,c2_bas1","Yes","","c3_sup6-c3_sub3-c3_sup5","c2_sub3-c2_sub4-c2_sub5","c3_sub3-c3_bas3-c3_bas4","c2_sup5-c2_sub3-c2_sup6","c1_sub3","c2_sub3","c3_sub3","three_subordinate","vehicles","c1_sub3-c1_bas4-c1_bas3","c1_sub3-c1_sub5-c1_sub4","c3_sub2,c3_sub1","vegetables","wug","mep","three","rab","sib","pag","zom","fep","dit","nur","vegetables","vegetables","c2_bas3-c2_sub3-c2_bas4","c3_sub5-c3_sub3-c3_sub4","c1_sub3-c1_sup5-c1_sup6","vegetables","vehicles","animals","animals","vehicles","animals","vehicles","2","tob","English","tev","rif","Female","42","three","one","one","one","three_basic","three_superordinate","three_superordinate","three_subordinate","three_basic","three_subordinate","2017-01-25T20:29:14Z","33EEIIWHK77H0UI8NUKEB6UAU4HQVV","","Submitted","2017-01-25T20:33:13Z","2"
"3",NA,"2017-01-25T19:13:29Z","32M8BPYGATMOOJ2OBTLLRNV1V3IIG8","three","three","three_superordinate","three_superordinate","one","one","one","three","three","three","three","c3_sub2,c3_bas1,c3_bas2,c3_sub1","c1_sub1,c1_sub2","c3_sub1,c3_bas1,c3_sub2,c3_bas2","c3_sup3,c3_sup2,c3_sub2,c3_sup4,c3_sup1,c3_bas2,c3_sub1,c3_bas1","c1_bas2,c1_sub2,c1_sub1,c1_bas1","c2_bas2,c2_sub2,c2_sub1,c2_bas1","c3_sub2,c3_sub1","c1_sub1,c1_sub2,c1_bas2,c1_bas1","c2_sub2,c2_sub1","c2_sup4,c2_bas1,c2_sub2,c2_sup1,c2_sup3,c2_bas2,c2_sub1","vehicles","3","three","c1_sub2,c1_bas2,c1_bas1,c1_sup4,c1_sup1,c1_sup3,c1_sup2,c1_sub1","NA","","c1_sub3-c1_bas3-c1_bas4","c3_sub4-c3_sub3-c3_sub5","c2_sup6-c2_sup5-c2_sub3","c2_sub4-c2_sub5-c2_sub3","c3_sub3","c2_sub3","c1_sub3","three_basic","vegetables","c1_sub3-c1_sub5-c1_sub4","c3_bas3-c3_bas4-c3_sub3","c2_sub2,c2_bas1,c2_bas2,c2_sub1","animals","dit","nur","three","pag","fep","tob","zom","wug","rif","sib","vegetables","animals","c1_sup6-c1_sub3-c1_sup5","c2_bas3-c2_bas4-c2_sub3","c3_sub3-c3_sup5-c3_sup6","animals","vehicles","vegetables","vegetables","animals","vehicles","vehicles","2","rab","English","mep","tev","","","three","one","one","one","three_superordinate","three_subordinate","three_basic","three_subordinate","three_subordinate","three_basic","2017-01-25T19:00:06Z","33EEIIWHK77H0UI8NUKEB6UAU4HQVV","","Submitted","2017-01-25T19:03:29Z","3"
"4",NA,"2017-01-25T19:13:49Z","339ANSOTR52TQ5Y71K60PFNU2KZIKB","three","three","three_superordinate","three_superordinate","one","one","one","three","three","three","three","c1_sub2,c1_bas2,c1_bas1,c1_sub1","c2_bas1,c2_sub2,c2_bas2,c2_sub1","c1_sup2,c1_sup3,c1_sub1,c1_sub2,c1_sup1,c1_bas1,c1_bas2,c1_sup4","c1_bas2,c1_bas1,c1_sub1,c1_sub2,c1_sup4,c1_sup1,c1_sup3","c1_bas2,c1_sup3,c2_sup1,c2_sup2","c3_bas1,c3_sub2,c3_sub1,c3_bas2","c2_sub1,c2_sub2","c2_bas2,c2_sub1,c2_bas1,c2_sup2,c2_sup4,c2_sup3,c2_sub2,c2_sup1","c3_sub2,c3_sub1","c3_bas1,c3_sub2,c3_sub1,c3_bas2","vegetables","4","three","c3_sub2,c3_sup3,c3_bas1,c3_sup4,c3_sub1,c3_sup1,c3_bas2,c3_sup2","NA","","c2_sup6-c2_sup5-c2_sub3","c2_sub4-c2_sub3-c2_sub5","c3_bas3-c3_sub3-c3_bas4","c3_sub5-c3_sub3-c3_sub4","c2_sub3","c1_sub3","c3_sub3","three_basic","animals","c2_sub3-c2_bas3-c2_bas4","c1_sub4-c1_sub5-c1_sub3","c1_bas2,c1_sub1,c1_bas1,c1_sub2","vegetables","nur","dit","three","zom","tev","rif","wug","fep","pag","tob","vehicles","vegetables","c3_sub3-c3_sup5-c3_sup6","c1_bas3-c1_sub3-c1_bas4","c1_sub3-c1_sup5-c1_sup6","vehicles","vegetables","animals","vehicles","vehicles","animals","animals","1","rab","Mr. Frog-ish","mep","sib","","","three","one","one","one","three_basic","three_subordinate","three_superordinate","three_subordinate","three_basic","three_subordinate","2017-01-25T19:00:37Z","33EEIIWHK77H0UI8NUKEB6UAU4HQVV","","Submitted","2017-01-25T19:03:49Z","4"
"5","2017-01-25T20:05:07Z","2017-01-25T20:04:30Z","33C7UALJVLYYVY08KOOR7BXHQIU18J","three","three","three_superordinate","three_subordinate","one","one","one","three","three","three","three","c2_sub2,c2_sub1","c1_sup3,c1_sub2,c1_bas2,c1_sup2,c1_bas1,c1_sup1,c1_sup4,c1_sub1","c1_bas2,c1_sub1,c1_sub2,c1_bas1","c1_sub1,c1_sub2,c1_bas2","c3_sub2,c3_sub1","c2_sub1,c2_sub2","c2_sup4,c2_sup2,c2_sub1,c2_sup3,c2_bas1,c2_sup1,c2_bas2","c3_sub2,c3_sub1,c3_bas2,c3_bas1","c3_sub1,c3_sub2","c2_sup1,c2_sub2,c2_bas1,c2_bas2","vegetables","4","three","c3_sup4,c3_sup1,c3_bas1,c3_sup3,c3_sub2,c3_bas2,c3_sub1","NA","","c3_bas4-c3_bas3-c3_sub3","c2_sub3-c2_sup6-c2_sup5","c2_bas3-c2_bas4-c2_sub3","c3_sub4-c3_sub3-c3_sub5","c1_sub3","c2_sub3","c3_sub3","three_basic","animals","c1_sub3-c1_sup5-c1_sup6","c2_sub3-c2_sub5-c2_sub4","c1_bas2,c1_bas1,c1_sub1,c1_sub2","vegetables","sib","tev","three","fep","rab","wug","nur","tob","dit","pag","vegetables","vehicles","c3_sub3-c3_sup6-c3_sup5","c1_bas3-c1_sub3-c1_bas4","c1_sub3-c1_sub5-c1_sub4","vegetables","vehicles","animals","animals","vehicles","vehicles","animals","1","zom","English","mep","rif","","","three","one","one","one","three_basic","three_subordinate","three_basic","three_superordinate","three_superordinate","three_subordinate","2017-01-25T18:59:41Z","33EEIIWHK77H0UI8NUKEB6UAU4HQVV","","Approved","2017-01-25T19:54:30Z","5"
"6",NA,"2017-01-25T19:23:53Z","33FOTY3KEML071QL104W9XT0G9FC10","three","three","three_basic","three_superordinate","one","one","one","three","three","three","three","c3_sup1,c3_sup3,c3_sup4,c3_sup2,c3_bas2,c3_bas1,c3_sub1,c3_sub2","c2_sub1,c2_sub2","c1_sub1,c1_bas2,c1_sub2,c1_bas1","c2_sup3,c2_sup1,c2_bas2,c2_bas1,c2_sup4,c2_sub1","c3_sub2,c3_sub1,c3_bas2,c3_bas1","c2_sub1,c2_sub2,c2_bas1,c2_bas2","c1_sub2,c1_bas2,c1_sub1,c1_bas1","c3_sub1,c3_bas1,c3_sub2,c3_bas2","c3_sub2,c3_sub1,c3_bas2,c3_bas1","c1_bas2,c1_sub1,c1_bas1,c1_sub2,c1_sup3","vegetables","2","three","c2_bas2,c2_sub2,c2_bas1","Yes","","c3_bas4-c3_sub3-c3_bas3","c1_bas3-c1_bas4-c1_sub3","c1_sup5-c1_sub3-c1_sup6","c3_sub3-c3_sub4-c3_sub5","c1_sub3","c2_sub3","c3_sub3","three_subordinate","vehicles","c2_sub5-c2_sub4-c2_sub3","c3_sup5-c3_sub3-c3_sup6","c1_sub2,c1_sub1,c1_bas2","vehicles","tob","sib","three","mep","dit","zom","nur","pag","wug","fep","vehicles","animals","c2_bas3-c2_bas4-c2_sub3","c1_sub4-c1_sub3-c1_sub5","c2_sup5-c2_sub3-c2_sup6","vegetables","vehicles","animals","animals","vegetables","vegetables","animals","1","rab","english","tev","rif","Female","34","three","one","one","one","three_superordinate","three_subordinate","three_basic","three_basic","three_subordinate","three_superordinate","2017-01-25T19:00:53Z","33EEIIWHK77H0UI8NUKEB6UAU4HQVV","","Submitted","2017-01-25T19:13:53Z","6"
"7","2017-01-25T19:19:07Z","2017-01-25T19:19:02Z","33PPO7FECVFLCZSX93KDL2S4IB2IDY","three","three","three_subordinate","three_superordinate","one","one","one","three","three","three","three","c2_sub2,c2_sub1","c2_bas2,c2_sub2,c2_bas1","c1_bas1,c1_bas2,c1_sub1,c1_sub2","c3_sub1,c3_sub2","c3_sub2,c3_sub1,c3_bas2,c3_bas1","c2_sub2,c2_sub1","c1_sub2,c1_sub1,c1_sup3,c1_bas2,c1_bas1","c2_sub1,c2_sub2,c2_bas1,c2_bas2","c3_sub2,c3_bas1,c3_bas2,c3_sub1","c1_sub2,c1_sub1,c1_bas2,c1_bas1","vegetables","2","three","c3_sub1,c3_sub2","Yes","I was confused; I wasn't sure if it wanted me to pick out all the same buses or if it just wanted me to pick all types of buses, or dogs, etc. I hope I didn't mess it up; thank you for allowing me to participate, it was nice to step away from reading for a little while. ","c2_sup5-c2_sub3-c2_sup6","c1_sub3-c1_sup5-c1_sup6","c1_sub4-c1_sub3-c1_sub5","c3_sub3-c3_bas3-c3_bas4","c1_sub3","c2_sub3","c3_sub3","three_basic","animals","c2_sub3-c2_bas3-c2_bas4","c2_sub3-c2_sub5-c2_sub4","c1_bas1,c1_bas2,c1_sub1","animals","mep","wug","three","zom","rab","pag","rif","sib","tev","dit","vehicles","vehicles","c3_sub4-c3_sub3-c3_sub5","c1_bas3-c1_sub3-c1_bas4","c3_sub3-c3_sup5-c3_sup6","vegetables","vehicles","animals","vehicles","vegetables","vegetables","animals","2","fep","English","nur","tob","Female","31","three","one","one","one","three_subordinate","three_basic","three_superordinate","three_superordinate","three_basic","three_subordinate","2017-01-25T18:59:34Z","33EEIIWHK77H0UI8NUKEB6UAU4HQVV","","Approved","2017-01-25T19:09:02Z","7"
"8",NA,"2017-01-25T19:27:55Z","34T446B1C0E00C535H0WVSAQBH9C0X","three","three","three_superordinate","three_subordinate","one","one","one","three","three","three","three","c2_bas2,c2_sub2,c2_sub1,c2_bas1","c3_bas1,c3_sub1,c3_bas2,c3_sub2","c2_sub1,c2_sub2","c1_sub2,c1_sub1","c1_sub2,c1_sub1","c3_sub1,c3_sub2","c2_sub2,c2_sub1","c2_bas1,c2_bas2,c2_sub2,c2_sub1,c2_sup1,c2_sup2,c2_sup3,c2_sup4","c3_sup1,c3_sup3,c3_sub2,c3_sup4,c3_sub1,c3_sup2,c3_bas1,c3_bas2","c3_sub2,c3_sub1","vegetables","1","three","c1_sup2,c1_sup4,c1_sup3,c1_sup1","Yes","","c2_sub3-c2_sup5-c2_sup6","c2_sub3-c2_sub4-c2_sub5","c3_sub4-c3_sub5-c3_sub3","c3_sup6-c3_sub3-c3_sup5","c2_sub3","c3_sub3","c1_sub3","three_basic","vegetables","c3_bas3-c3_bas4-c3_sub3","c2_sub3-c2_bas4-c2_bas3","c1_bas2,c1_bas1,c1_sub1,c1_sub2","vegetables","pag","zom","three","nur","tob","dit","wug","mep","fep","tev","animals","vehicles","c1_sup6-c1_sup5-c1_sub3","c1_sub3-c1_bas4-c1_bas3","c1_sub5-c1_sub4-c1_sub3","vehicles","animals","vegetables","vehicles","vehicles","animals","animals","1","rif","english","rab","sib","Male","28","three","one","one","one","three_subordinate","three_superordinate","three_superordinate","three_subordinate","three_basic","three_basic","2017-01-25T19:00:09Z","33EEIIWHK77H0UI8NUKEB6UAU4HQVV","","Submitted","2017-01-25T19:17:55Z","8"
"9",NA,"2017-01-25T19:30:58Z","3570Y55XZPJAEJHTFB7ODBPPLMFYGT","three","three","three_subordinate","three_basic","one","one","one","three","three","three","three","c3_sup3,c3_sub1,c3_sub2,c3_sup1,c3_bas1,c3_bas2,c3_sup4,c3_sup2","c1_sub2,c1_sub1,c1_sup3,c1_bas2,c1_bas1,c1_sup1,c1_sup4,c1_sup2","c1_sub2,c1_sub1","c1_sub1,c1_sub2,c1_bas2,c1_bas1","c3_bas2,c3_sub2,c3_bas1,c3_sub1","c2_sub2,c2_sub1,c2_bas1","c3_bas2,c3_sub2,c3_sub1,c3_bas1","c1_sub2,c1_sub1","c3_sub2,c3_sub1","c2_bas2,c2_sub2,c2_sub1,c2_bas1","vehicles","4","three","c2_sub1,c2_sub2,c2_bas2","NA","Thanks!","c1_sub4-c1_sub3-c1_sub5","c3_bas4-c3_bas3-c3_sub3","c2_sub3-c2_bas3-c2_bas4","c3_sub5-c3_sub4-c3_sub3","c1_sub3","c2_sub3","c3_sub3","three_superordinate","vehicles","c1_sup5-c1_sup6-c1_sub3","c3_sup5-c3_sup6-c3_sub3","c2_sup2,c2_sup4,c2_sup1,c2_bas1,c2_sub1,c2_sup3,c2_sub2,c2_bas2","vegetables","nur","mep","three","rab","fep","dit","tev","tob","wug","zom","vegetables","animals","c2_sub3-c2_sub4-c2_sub5","c2_sup5-c2_sup6-c2_sub3","c1_sub3-c1_bas3-c1_bas4","vegetables","vehicles","animals","vegetables","animals","vehicles","animals","2","rif","english","pag","sib","","","three","one","one","one","three_basic","three_subordinate","three_subordinate","three_basic","three_superordinate","three_superordinate","2017-01-25T18:59:33Z","33EEIIWHK77H0UI8NUKEB6UAU4HQVV","","Submitted","2017-01-25T19:20:58Z","9"
"10","2017-01-25T19:18:07Z","2017-01-25T19:18:05Z","35GCEFQ6I5O9PXFAGI2N8O9INBF3ZI","three","three","three_superordinate","three_basic","one","one","one","three","three","three","three","c1_sub1,c1_bas1,c1_sub2,c1_bas2","c3_sub2,c3_sub1","c3_bas1,c3_sub2,c3_sub1,c3_bas2","c3_sub2,c3_sub1","c1_bas1,c1_bas2,c1_sub2,c1_sub1","c2_sub2,c2_bas1,c2_bas2,c2_sub1","c2_bas1,c2_sub2,c2_sub1,c2_bas2","c2_sub1,c2_sub2,c2_bas2,c2_sup1,c2_bas1","c1_sub2,c1_sub1","c1_sub1,c1_sub2,c1_bas1,c1_bas2,c1_sup1,c1_sup4,c1_sup3","vehicles","4","three","c3_sup3,c3_bas1,c3_sup1,c3_sup4,c3_bas2,c3_sub1,c3_sub2,c3_sup2","Yes","","c2_sup6-c2_sup5-c2_sub3","c2_bas4-c2_sub3-c2_bas3","c1_sup6-c1_sup5-c1_sub3","c1_sub4-c1_sub3-c1_sub5","c3_sub3","c2_sub3","c1_sub3","three_subordinate","animals","c3_sub5-c3_sub3-c3_sub4","c1_sub3-c1_bas4-c1_bas3","c2_sub2,c2_sub1","animals","sib","mep","three","pag","rab","tev","nur","wug","zom","dit","animals","vegetables","c3_sup6-c3_sup5-c3_sub3","c2_sub3-c2_sub5-c2_sub4","c3_bas3-c3_bas4-c3_sub3","animals","vehicles","vegetables","vehicles","vehicles","vegetables","vegetables","2","fep","English","tob","rif","Female","37","three","one","one","one","three_superordinate","three_subordinate","three_superordinate","three_basic","three_subordinate","three_basic","2017-01-25T19:00:04Z","33EEIIWHK77H0UI8NUKEB6UAU4HQVV","","Approved","2017-01-25T19:08:05Z","10"
