"","ApprovalTime","AutoApprovalTime","AssignmentId","trainBlock_T9","trainBlock_T8","condition_T12","condition_T11","trainBlock_T1","trainBlock_T3","trainBlock_T2","trainBlock_T5","trainBlock_T4","trainBlock_T7","trainBlock_T6","selected_T9","selected_T8","selected_T1","selected_T11","selected_T3","selected_T2","selected_T5","selected_T4","selected_T7","selected_T6","category_T10","education","trainBlock_T10","selected_T12","asses","comments","trainPics_T4","trainPics_T5","trainPics_T6","trainPics_T7","trainPics_T1","trainPics_T2","trainPics_T3","condition_T10","category_T12","trainPics_T8","trainPics_T9","selected_T10","category_T11","word_T8","word_T9","trainBlock_T12","word_T4","word_T5","word_T6","word_T7","word_T1","word_T2","word_T3","category_T8","category_T9","trainPics_T12","trainPics_T10","trainPics_T11","category_T1","category_T2","category_T3","category_T4","category_T5","category_T6","category_T7","enjoyment","word_T12","language","word_T10","word_T11","gender","age","trainBlock_T11","condition_T2","condition_T3","condition_T1","condition_T6","condition_T7","condition_T4","condition_T5","condition_T8","condition_T9","AcceptTime","HITId","Assignment","AssignmentStatus","SubmitTime","subids"
"1","2017-01-26T18:39:07Z","2017-01-26T18:38:14Z","30X31N5D63QC86SHU5NPZ3QL679ASK","three","three","three_subordinate","three_subordinate","one","one","one","three","three","three","three","c3_bas1,c3_bas2,c3_sub2,c3_sub1","c2_sub1,c2_bas2,c2_bas1,c2_sub2","c1_sub1,c1_sub2","c2_sub1,c2_sub2","c3_sub2,c3_sub1","c2_sub1,c2_sub2","c1_sub1,c1_sup1,c1_sub2,c1_sup2,c1_sup3,c1_bas2,c1_sup4,c1_bas1","c1_sub1,c1_sub2,c1_bas1,c1_bas2","c2_sub2,c2_sup1,c2_bas2,c2_sup4,c2_bas1,c2_sub1,c2_sup2,c2_sup3","c3_sup2,c3_sup4,c3_bas2,c3_sup3,c3_bas1,c3_sub1,c3_sub2,c3_sup1","vegetables","2","three","c3_sub1,c3_sub2","Yes","","c1_sub3-c1_bas4-c1_bas3","c1_sup6-c1_sup5-c1_sub3","c3_sup6-c3_sup5-c3_sub3","c2_sup6-c2_sup5-c2_sub3","c1_sub3","c2_sub3","c3_sub3","three_subordinate","animals","c2_bas4-c2_sub3-c2_bas3","c3_bas3-c3_bas4-c3_sub3","c1_sub1,c1_sub2","vehicles","sib","nur","three","pag","fep","wug","zom","tob","dit","mep","vehicles","animals","c3_sub5-c3_sub3-c3_sub4","c1_sub5-c1_sub3-c1_sub4","c2_sub5-c2_sub4-c2_sub3","vegetables","vehicles","animals","vegetables","vegetables","animals","vehicles","1","rab","english","rif","tev","Female","34","three","one","one","one","three_superordinate","three_superordinate","three_basic","three_superordinate","three_basic","three_basic","2017-01-26T18:18:28Z","3GONHBMNHVY7OZPQWY20F3N18EXZMO","","Approved","2017-01-26T18:28:14Z","1"
"2","2017-01-26T18:20:07Z","2017-01-26T18:19:48Z","32ZKVD547FND7ZCUA4MKM62FW9V3BG","three","three","three_basic","three_basic","one","one","one","three","three","three","three","c1_bas1,c1_bas2,c1_sub2,c1_sub1","c3_sub2,c3_sub1","c3_sub2,c3_sub1","c3_bas1,c3_sub1,c3_bas2,c3_sub2","c2_sub1,c2_sub2","c1_sub1,c1_sub2","c1_bas1,c1_bas2,c1_sub2,c1_sub1,c1_sup1,c1_sup3,c1_sup4,c1_sup2","c2_sub2,c2_sub1","c1_sub1,c1_sub2,c1_bas2,c1_bas1","c2_sup4,c2_sub1,c2_sub2,c2_bas2,c2_sup1,c2_bas1,c2_sup3","animals","1","three","c2_sub1,c2_sub2,c2_bas2,c2_bas1","Yes","This was really fun and interesting and I -think- I did it correctly but learning a language is also an interesting experience","c2_sub5-c2_sub3-c2_sub4","c1_sub3-c1_sup5-c1_sup6","c2_sup6-c2_sub3-c2_sup5","c1_sub5-c1_sub4-c1_sub3","c3_sub3","c1_sub3","c2_sub3","three_superordinate","vehicles","c3_sub5-c3_sub4-c3_sub3","c1_sub3-c1_bas4-c1_bas3","c3_sub1,c3_bas1,c3_sup3,c3_sub2,c3_sup1,c3_bas2,c3_sup4,c3_sup2","animals","pag","mep","three","rab","sib","zom","tev","nur","tob","dit","animals","vegetables","c2_bas3-c2_sub3-c2_bas4","c3_sub3-c3_sup5-c3_sup6","c3_bas3-c3_sub3-c3_bas4","animals","vegetables","vehicles","vehicles","vegetables","vehicles","vegetables","2","wug","English","fep","rif","Male","32","three","one","one","one","three_superordinate","three_subordinate","three_subordinate","three_superordinate","three_subordinate","three_basic","2017-01-26T17:51:43Z","3GONHBMNHVY7OZPQWY20F3N18EXZMO","","Approved","2017-01-26T18:09:48Z","2"
"3","2017-01-26T17:50:07Z","2017-01-26T17:49:28Z","337RC3OW0529WH0PLRHKJ4Q3ZN1VLR","three","three","three_basic","three_basic","one","one","one","three","three","three","three","c1_sub1,c1_sub2","c3_sub2,c3_sub1","c2_sub2,c2_sub1","c3_bas2,c3_bas1,c3_sub1","c1_sub2,c1_sub1,c1_bas1","c3_sub2,c3_sub1","c2_bas2,c2_sub1,c2_sub2,c2_bas1","c2_sub2,c2_sub1","c3_bas2,c3_bas1,c3_sup2,c3_sup3,c3_sup1,c3_sub1,c3_sub2,c3_sup4","c2_sup1,c2_sup2,c2_sub2,c2_sub1,c2_sup4,c2_bas2,c2_bas1,c2_sup3","vegetables","4","three","c1_sub2,c1_bas2,c1_sub1,c1_bas1","Yes","I thought this was interesting","c2_sub4-c2_sub5-c2_sub3","c2_bas3-c2_bas4-c2_sub3","c2_sup6-c2_sup5-c2_sub3","c3_sup6-c3_sup5-c3_sub3","c2_sub3","c3_sub3","c1_sub3","three_superordinate","vegetables","c3_sub3-c3_sub4-c3_sub5","c1_sub3-c1_sub4-c1_sub5","c1_sup2,c1_bas2,c1_sup4,c1_sub1,c1_sup1,c1_bas1,c1_sub2,c1_sup3","animals","tev","mep","three","fep","dit","pag","sib","wug","tob","rab","animals","vegetables","c1_bas3-c1_sub3-c1_bas4","c1_sub3-c1_sup6-c1_sup5","c3_bas4-c3_sub3-c3_bas3","vehicles","animals","vegetables","vehicles","vehicles","vehicles","animals","1","rif","English","zom","nur","Male","34","three","one","one","one","three_superordinate","three_superordinate","three_subordinate","three_basic","three_subordinate","three_subordinate","2017-01-26T17:35:48Z","3GONHBMNHVY7OZPQWY20F3N18EXZMO","","Approved","2017-01-26T17:39:28Z","3"
"4","2017-01-26T18:35:07Z","2017-01-26T18:34:59Z","33CID57104TPK8Y61HBE09YK838L3K","three","three","three_subordinate","three_basic","one","one","one","three","three","three","three","c2_sub2,c2_sub1","c1_sub2,c1_sub1","c3_sub2,c3_sub1","c1_sub2,c1_sub1","c1_sub2,c1_sub1","c2_sub1,c2_sub2","c2_sub1,c2_sub2","c3_sub2,c3_sub1","c3_sub2,c3_sub1","c1_sub1","vehicles","3","three","c3_sub1,c3_sub2","NA","","c3_sub3-c3_bas4-c3_bas3","c2_sub3-c2_sup6-c2_sup5","c1_sub3-c1_sup6-c1_sup5","c3_sup6-c3_sub3-c3_sup5","c3_sub3","c2_sub3","c1_sub3","three_basic","animals","c1_sub5-c1_sub4-c1_sub3","c2_sub5-c2_sub4-c2_sub3","c2_sub2,c2_sub1,c2_bas1,c2_bas2","vegetables","mep","tev","three","rab","tob","wug","rif","zom","sib","nur","vegetables","vehicles","c3_sub5-c3_sub4-c3_sub3","c2_bas4-c2_bas3-c2_sub3","c1_sub3-c1_bas4-c1_bas3","animals","vehicles","vegetables","animals","vehicles","vegetables","animals","2","fep","English","pag","dit","","","three","one","one","one","three_superordinate","three_superordinate","three_basic","three_superordinate","three_subordinate","three_subordinate","2017-01-26T18:20:31Z","3GONHBMNHVY7OZPQWY20F3N18EXZMO","","Approved","2017-01-26T18:24:59Z","4"
"5","2017-01-26T17:55:07Z","2017-01-26T17:54:56Z","33L7PJKHCGYZ4ICHM781DHGCI2MT8N","three","three","three_superordinate","three_basic","one","one","one","three","three","three","three","c3_sub2,c3_sub1","c2_sub1,c2_sub2","c2_sub2,c2_sub1","c3_sub1,c3_sub2,c3_bas1,c3_bas2","c3_sub1,c3_bas2,c3_sub2,c3_bas1","c1_sub2,c1_bas2,c1_sub1,c1_bas1","c3_sup1,c3_sup2,c3_bas2,c3_bas1,c3_sub2,c3_sup3,c3_sub1,c3_sup4","c2_bas1,c2_sub1,c2_bas2,c2_sub2","c1_sub1,c1_sub2","c1_sub2,c1_sub1,c1_bas2,c1_bas1","vehicles","4","three","c1_sup3,c1_bas2,c1_bas1,c1_sup4,c1_sup2,c1_sub2,c1_sub1,c1_sup1","Yes","","c2_bas3-c2_sub3-c2_bas4","c3_sup6-c3_sub3-c3_sup5","c1_bas4-c1_bas3-c1_sub3","c1_sub4-c1_sub5-c1_sub3","c2_sub3","c1_sub3","c3_sub3","three_superordinate","vegetables","c2_sub5-c2_sub3-c2_sub4","c3_sub5-c3_sub3-c3_sub4","c2_sup3,c2_bas1,c2_sub1,c2_bas2,c2_sup1,c2_sup2,c2_sup4,c2_sub2","animals","mep","rif","three","rab","pag","fep","nur","dit","zom","sib","vehicles","animals","c1_sup6-c1_sub3-c1_sup5","c2_sup5-c2_sup6-c2_sub3","c3_bas3-c3_bas4-c3_sub3","vehicles","vegetables","animals","vehicles","animals","vegetables","vegetables","2","wug","English","tob","tev","Female","27","three","one","one","one","three_basic","three_subordinate","three_basic","three_superordinate","three_subordinate","three_subordinate","2017-01-26T17:36:12Z","3GONHBMNHVY7OZPQWY20F3N18EXZMO","","Approved","2017-01-26T17:44:56Z","5"
"6","2017-01-26T18:05:07Z","2017-01-26T18:04:11Z","33LKR6A5KEKHTISWNMZMY7T44WGT13","three","three","three_basic","three_subordinate","one","one","one","three","three","three","three","c3_sub1,c3_bas2,c3_bas1,c3_sub2","c2_bas1,c2_sub2,c2_sub1,c2_bas2","c2_sub1,c2_sub2,c2_bas1","c3_sub1,c3_sub2","c1_sub1,c1_bas2,c1_sub2,c1_bas1","c3_sub1,c3_bas2,c3_sub2,c3_bas1","c1_bas2,c1_sup2,c1_sub2,c1_sup4,c1_sub1,c1_sup1,c1_bas1,c1_sup3","c2_sub1,c2_sub2,c2_sup1,c2_bas2,c2_bas1,c2_sup2","c1_sub2,c1_sub1,c1_bas1,c1_bas2","c2_sub1,c2_sub2","vegetables","2","three","c3_sub2,c3_sub1,c3_bas1,c3_bas2","Yes","This was great!","c2_sub3-c2_sup5-c2_sup6","c1_sup5-c1_sub3-c1_sup6","c2_sub5-c2_sub4-c2_sub3","c1_sub3-c1_bas4-c1_bas3","c2_sub3","c3_sub3","c1_sub3","three_subordinate","animals","c2_bas4-c2_sub3-c2_bas3","c3_sup6-c3_sup5-c3_sub3","c1_sub2,c1_sub1","animals","fep","zom","three","pag","rab","dit","sib","tev","tob","wug","vehicles","animals","c3_sub3-c3_bas3-c3_bas4","c1_sub3-c1_sub4-c1_sub5","c3_sub4-c3_sub5-c3_sub3","vehicles","animals","vegetables","vehicles","vegetables","vehicles","vegetables","2","mep","English","nur","rif","Male","30","three","one","one","one","three_subordinate","three_basic","three_superordinate","three_superordinate","three_basic","three_superordinate","2017-01-26T17:35:25Z","3GONHBMNHVY7OZPQWY20F3N18EXZMO","","Approved","2017-01-26T17:54:11Z","6"
"7","2017-01-26T18:01:07Z","2017-01-26T18:00:20Z","34MAJL3QP4NTM0RLVPCXESW9MHE34A","three","three","three_basic","three_subordinate","one","one","one","three","three","three","three","c1_bas2,c1_sup4,c1_sup3,c1_sup1,c1_sub2,c1_bas1,c1_sub1","c1_sub2,c1_sub1,c1_bas1,c1_bas2","c2_bas2,c2_sub1,c2_sub2","c2_sub2,c2_sub1","c3_sub2,c3_sub1,c3_bas1,c3_bas2","c1_bas2,c1_sub1,c1_bas1,c1_sub2","c3_sub1,c3_sub2","c1_sub2,c1_sub1","c2_sup4,c2_sub1,c2_bas2,c2_sup2,c2_sub2,c2_sup1,c2_sup3,c2_bas1","c3_bas1,c3_bas2,c3_sub1,c3_sub2","animals","3","three","c2_sub2,c2_bas2,c2_sub1,c2_bas1","NA","The forced delays were irritating and unnecessary. ","c1_sub4-c1_sub3-c1_sub5","c3_sub4-c3_sub5-c3_sub3","c3_bas4-c3_sub3-c3_bas3","c2_sup6-c2_sub3-c2_sup5","c2_sub3","c1_sub3","c3_sub3","three_superordinate","vehicles","c1_bas4-c1_sub3-c1_bas3","c1_sup6-c1_sub3-c1_sup5","c3_sup3,c3_bas1,c3_sub2,c3_sub1,c3_sup4,c3_sup2,c3_bas2,c3_sup1","vehicles","sib","pag","three","rif","mep","tob","tev","wug","dit","zom","vegetables","vegetables","c2_bas4-c2_bas3-c2_sub3","c3_sub3-c3_sup6-c3_sup5","c2_sub3-c2_sub5-c2_sub4","vehicles","vegetables","animals","vegetables","animals","animals","vehicles","1","nur","English","rab","fep","","","three","one","one","one","three_basic","three_superordinate","three_subordinate","three_subordinate","three_basic","three_superordinate","2017-01-26T17:35:17Z","3GONHBMNHVY7OZPQWY20F3N18EXZMO","","Approved","2017-01-26T17:50:20Z","7"
"8","2017-01-26T17:53:07Z","2017-01-26T17:52:58Z","379J5II41OGSU6E3Q1SAJ02HZSYLEB","three","three","three_subordinate","three_subordinate","one","one","one","three","three","three","three","c1_sub1,c1_sub2,c1_bas2,c1_bas1","c1_bas1,c1_sup1,c1_sub1,c1_bas2,c1_sub2,c1_sup4,c1_sup2,c1_sup3","c1_bas1,c1_sub2,c1_sub1,c1_bas2","c2_sub1,c2_sub2","c3_sub2,c3_bas2,c3_sup3,c3_sub1,c3_sup1,c3_sup4,c3_bas1","c2_sup3,c2_sub1,c2_sup1,c2_sup4,c2_bas1,c2_sup2,c2_sub2,c2_bas2","c3_bas2,c3_bas1,c3_sub2,c3_sub1","c3_sub1,c3_sup2,c3_bas1,c3_sup3,c3_bas2,c3_sup4,c3_sup1,c3_sub2","c3_sub2,c3_sub1","c2_bas2,c2_sub1,c2_sub2,c2_bas1","vehicles","3","three","c1_sub2,c1_sub1","Yes","","c3_sup5-c3_sub3-c3_sup6","c3_bas3-c3_sub3-c3_bas4","c2_bas4-c2_bas3-c2_sub3","c3_sub5-c3_sub3-c3_sub4","c1_sub3","c2_sub3","c3_sub3","three_superordinate","vegetables","c1_sub3-c1_sup5-c1_sup6","c1_bas4-c1_sub3-c1_bas3","c2_bas2,c2_sup2,c2_sup1,c2_sub2,c2_bas1","vehicles","zom","fep","three","dit","wug","rif","nur","pag","mep","sib","vegetables","vegetables","c1_sub5-c1_sub3-c1_sub4","c2_sup6-c2_sub3-c2_sup5","c2_sub5-c2_sub4-c2_sub3","vegetables","vehicles","animals","animals","animals","vehicles","animals","2","tev","English","tob","rab","Female","27","three","one","one","one","three_basic","three_subordinate","three_superordinate","three_basic","three_superordinate","three_basic","2017-01-26T17:35:43Z","3GONHBMNHVY7OZPQWY20F3N18EXZMO","","Approved","2017-01-26T17:42:58Z","8"
"9","2017-01-26T18:37:07Z","2017-01-26T18:36:07Z","37ZHEEHM6WMQ5N94XNA4H4GJDJ437U","three","three","three_basic","three_superordinate","one","one","one","three","three","three","three","c1_sub1,c1_sub2","c3_sub1,c3_sup1,c3_bas1,c3_sup4,c3_sup3,c3_bas2,c3_sub2,c3_sup2","c2_sub2,c2_sub1,c2_bas1,c2_bas2","c2_sup1,c2_sup3,c2_sub2,c2_sub1,c2_sup2,c2_sup4,c2_bas2,c2_bas1","c3_bas1,c3_bas2,c3_sub2,c3_sub1","c1_sub1,c1_bas1,c1_sub2,c1_bas2","c1_sub1,c1_bas1,c1_sub2,c1_bas2","c2_sub2,c2_bas1,c2_sub1,c2_bas2","c3_sub1","c2_sub2","vegetables","2","three","c3_bas1,c3_bas2,c3_sub1,c3_sub2","Yes","Very fun","c2_bas3-c2_sub3-c2_bas4","c1_bas4-c1_bas3-c1_sub3","c2_sub4-c2_sub3-c2_sub5","c3_sub4-c3_sub5-c3_sub3","c2_sub3","c1_sub3","c3_sub3","three_superordinate","animals","c3_sup5-c3_sup6-c3_sub3","c1_sub4-c1_sub5-c1_sub3","c1_sup4,c1_bas1,c1_sub2,c1_sup3,c1_sup1,c1_bas2,c1_sub1","vehicles","tob","pag","three","tev","fep","dit","nur","rab","zom","wug","animals","vegetables","c3_bas3-c3_bas4-c3_sub3","c1_sup5-c1_sub3-c1_sup6","c2_sub3-c2_sup6-c2_sup5","vehicles","vegetables","animals","vehicles","vegetables","vehicles","animals","2","sib","English","mep","rif","Female","25","three","one","one","one","three_subordinate","three_subordinate","three_basic","three_basic","three_superordinate","three_subordinate","2017-01-26T17:35:20Z","3GONHBMNHVY7OZPQWY20F3N18EXZMO","","Approved","2017-01-26T18:26:07Z","9"
"10","2017-01-26T17:52:07Z","2017-01-26T17:51:35Z","386PBUZZXFX05M0V4231GGF940ULJW","three","three","three_basic","three_subordinate","one","one","one","three","three","three","three","c3_sub1,c3_sub2","c3_sub2,c3_sub1","c2_sub1,c2_sub2","c1_sub1,c1_sub2","c1_sub2,c1_sub1","c3_sub1,c3_sub2","c1_sub2,c1_sub1","c2_sub2,c2_sub1","c2_sub1,c2_sub2","c2_bas1,c2_sub1,c2_sub2,c2_bas2","vegetables","3","three","c3_sub2,c3_sub1","Yes","","c2_sub3-c2_sup5-c2_sup6","c1_sup6-c1_sub3-c1_sup5","c2_sub3-c2_bas4-c2_bas3","c2_sub4-c2_sub3-c2_sub5","c2_sub3","c3_sub3","c1_sub3","three_basic","animals","c3_sub5-c3_sub3-c3_sub4","c3_sup5-c3_sub3-c3_sup6","c1_bas2,c1_sub1,c1_bas1,c1_sub2","vegetables","tob","tev","three","fep","pag","sib","mep","wug","dit","rif","animals","animals","c3_bas4-c3_sub3-c3_bas3","c1_bas4-c1_bas3-c1_sub3","c1_sub5-c1_sub4-c1_sub3","vehicles","animals","vegetables","vehicles","vegetables","vehicles","vehicles","2","nur","english","zom","rab","Female","61","three","one","one","one","three_basic","three_subordinate","three_superordinate","three_superordinate","three_subordinate","three_superordinate","2017-01-26T17:36:24Z","3GONHBMNHVY7OZPQWY20F3N18EXZMO","","Approved","2017-01-26T17:41:35Z","10"
