"subids","trial_num","category","condition","prop_sub","prop_bas","prop_sup","exp"
1,9,"vehicles","three_subordinate",1,0,0,2
2,9,"animals","three_basic",1,1,0,2
3,9,"animals","three_superordinate",0.5,1,1,2
4,9,"vehicles","three_superordinate",1,1,1,2
5,9,"animals","three_superordinate",1,1,1,2
6,9,"vegetables","three_subordinate",1,0,0,2
7,9,"vegetables","three_basic",1,0.5,0,2
8,9,"animals","three_basic",1,1,0,2
9,9,"animals","three_superordinate",1,1,1,2
10,9,"animals","three_subordinate",1,0,0,2
11,9,"vehicles","three_superordinate",1,1,1,2
12,9,"vehicles","three_basic",1,1,0,2
13,9,"vegetables","three_basic",1,1,0,2
14,9,"animals","three_basic",1,1.5,1,2
15,9,"vegetables","three_basic",1,1,0,2
16,9,"vehicles","three_basic",0.5,1,0,2
17,9,"vegetables","three_subordinate",1,0,0,2
18,9,"vegetables","three_subordinate",1,0,0,2
19,9,"animals","three_basic",1,1,0,2
20,9,"vegetables","three_superordinate",1,1,1,2
21,9,"vegetables","three_basic",1,1,0,2
22,9,"vegetables","three_subordinate",1,0,0,2
23,9,"vegetables","three_superordinate",1,1,1,2
24,9,"vehicles","three_subordinate",1,1,0,2
25,9,"animals","three_superordinate",1,1,1,2
26,9,"vehicles","three_basic",1,0.5,0,2
27,9,"vehicles","three_basic",1,1,0,2
28,9,"vegetables","three_superordinate",1,1,1,2
29,9,"vegetables","three_subordinate",1,1,0,2
30,9,"vehicles","three_superordinate",1,1,1,2
31,9,"vehicles","three_superordinate",1,1,1,2
32,9,"vehicles","three_subordinate",1,1,0,2
33,9,"animals","three_basic",1,1,0,2
34,9,"vehicles","three_superordinate",1,1,1,2
35,9,"animals","three_superordinate",1,1,1,2
36,9,"animals","three_basic",1,1,0,2
37,9,"animals","three_basic",1,0,0,2
38,9,"vegetables","three_subordinate",1,0,0,2
39,9,"vehicles","three_superordinate",1,1,1,2
40,9,"animals","three_subordinate",1,0,0,2
41,9,"animals","three_superordinate",1,1,1,2
42,9,"vehicles","three_superordinate",1,1,1,2
43,9,"vehicles","three_basic",1,1,0,2
44,9,"vegetables","three_superordinate",1,1,1,2
45,9,"vegetables","three_basic",1,1,0,2
46,9,"vegetables","three_subordinate",1,0,0,2
