exp_recoded,n,d,d_var,high,low,es_type
XT_adults_e1,22,2,0.14,2.2744,1.7256,nonpaired
XT_children_e2,36,1.01,0.06,1.1276,0.8924,nonpaired
SPSS_e1,19,1.12,0.12,1.3552000000000002,0.8848000000000001,nonpaired
SPSS_e2,20,-0.61,0.1,-0.414,-0.806,nonpaired
SPSS_e3,19,-0.3,0.11,-0.0844,-0.5156,nonpaired
SPSS_eS1,19,0.27,0.11,0.48560000000000003,0.05440000000000003,nonpaired
SPSS_eS2,19,0.18,0.11,0.39559999999999995,-0.03559999999999999,nonpaired
