"subids","trial_num","category","condition","prop_sub","prop_bas","prop_sup","exp"
1,9,"animals","3bas",1,1,0,8
2,9,"animals","3bas",0.5,1,0,8
3,9,"animals","one",1,1,0,8
4,9,"animals","one",1,0,0,8
5,9,"vegetables","one",1,0,0,8
6,9,"vehicles","3sup",1,1,1,8
7,9,"vehicles","3bas",1,1,0,8
8,9,"animals","3sup",1,1,1,8
9,9,"vehicles","3bas",0.5,0,0,8
10,9,"vehicles","3sup",1,1,1,8
11,9,"vehicles","3bas",1,1,0,8
12,9,"animals","one",1,0,0,8
13,9,"vehicles","3sup",1,1,0.5,8
14,9,"animals","one",1,0,0,8
15,9,"vegetables","one",1,0,0,8
16,9,"vegetables","3bas",1,1,1,8
17,9,"vegetables","one",1,0,0,8
18,9,"animals","one",1,0,0,8
19,9,"vehicles","one",1,1,0,8
20,9,"vegetables","3bas",1,1,0,8
21,9,"vehicles","3bas",1,1,0,8
22,9,"animals","3sup",1,1,1,8
23,9,"animals","one",1,0,0,8
24,9,"vehicles","3sup",1,1,0.75,8
25,9,"vehicles","3sup",1,1,0.75,8
26,9,"vegetables","3sup",1,0.5,0.75,8
27,9,"animals","3bas",1,1,0,8
28,9,"animals","3bas",1,1,0,8
29,9,"vehicles","3sup",1,1,1,8
30,9,"animals","one",1,0,0,8
31,9,"animals","one",1,0,0,8
32,9,"vegetables","3bas",1,1,0,8
33,9,"vehicles","3sup",1,1,1,8
34,9,"vegetables","3bas",1,1,0,8
35,9,"vehicles","3bas",1,1,0,8
36,9,"vegetables","one",1,0,0,8
37,9,"animals","one",1,0,0,8
38,9,"vegetables","3sup",1,1,0.75,8
39,9,"vegetables","one",1,0,0,8
40,9,"animals","3sup",1,1,1,8
41,9,"vehicles","3bas",1,1,0,8
42,9,"vegetables","3bas",1,1,0,8
43,9,"vegetables","3sup",1,1,0.75,8
44,9,"animals","3sup",1,1,1,8
45,9,"animals","one",1,0,0,8
46,9,"animals","3sup",1,1,1,8
47,9,"vegetables","3bas",1,1,0,8
48,9,"vegetables","one",1,0,0,8
49,9,"vehicles","3sup",1,1,0.75,8
50,9,"vehicles","3sup",0.5,0.5,0,8
1,8,"vegetables","3bas",1,1,0,8
2,8,"vehicles","3bas",1,1,0,8
3,8,"vehicles","one",1,1,0,8
4,8,"vegetables","one",1,1,0,8
5,8,"animals","one",1,0,0,8
6,8,"vegetables","3sup",1,1,1,8
7,8,"vegetables","3bas",1,1,0,8
8,8,"vehicles","3sup",1,1,1,8
9,8,"animals","3bas",1,0,0,8
10,8,"animals","3sup",1,1,1,8
11,8,"vegetables","3bas",1,1,0,8
12,8,"vegetables","one",1,0,0,8
13,8,"animals","3sup",1,1,1,8
14,8,"vehicles","one",1,0,0,8
15,8,"vehicles","one",1,0,0,8
16,8,"vehicles","3bas",1,1,1,8
17,8,"vehicles","one",1,0,0,8
18,8,"vehicles","one",1,0,0,8
19,8,"vegetables","one",1,1,0,8
20,8,"vehicles","3bas",1,1,0,8
21,8,"animals","3bas",1,1,0,8
22,8,"vegetables","3sup",1,1,1,8
23,8,"vegetables","one",1,0,0,8
24,8,"animals","3sup",1,1,1,8
25,8,"animals","3sup",1,1,1,8
26,8,"animals","3sup",1,1,0.75,8
27,8,"vegetables","3bas",1,1,0,8
28,8,"vehicles","3bas",1,1,0,8
29,8,"vegetables","3sup",1,1,1,8
30,8,"vegetables","one",1,0,0,8
31,8,"vehicles","one",0.5,0,0,8
32,8,"animals","3bas",1,1,0,8
33,8,"animals","3sup",1,1,1,8
34,8,"vehicles","3bas",1,1,0,8
35,8,"animals","3bas",0.5,1,0,8
36,8,"animals","one",1,0,0,8
37,8,"vegetables","one",1,0,0,8
38,8,"animals","3sup",1,1,1,8
39,8,"animals","one",1,0,0,8
40,8,"vegetables","3sup",1,1,1,8
41,8,"animals","3bas",1,1,0,8
42,8,"vehicles","3bas",1,1,0,8
43,8,"vehicles","3sup",1,1,0.75,8
44,8,"vegetables","3sup",1,1,1,8
45,8,"vegetables","one",1,0,0,8
46,8,"vegetables","3sup",1,1,1,8
47,8,"animals","3bas",1,1,0,8
48,8,"vehicles","one",1,0,0,8
49,8,"vegetables","3sup",1,0.5,1,8
50,8,"animals","3sup",1,0,0,8
1,12,"vegetables","3sup",1,1,1,8
2,12,"animals","one",1,0,0,8
3,12,"vehicles","3bas",1,1,0,8
4,12,"vegetables","3bas",1,1,0,8
5,12,"vegetables","3sup",1,1,1,8
6,12,"animals","one",1,0,0,8
7,12,"vehicles","3sup",1,1,1,8
8,12,"vehicles","3bas",1,1,0,8
9,12,"vegetables","one",1,0,0,8
10,12,"animals","one",1,0,0,8
11,12,"vehicles","one",1,1,0,8
12,12,"vehicles","3sup",1,1,0.5,8
13,12,"vehicles","3bas",1,1,0,8
14,12,"animals","3sup",1,1,1,8
15,12,"animals","3sup",1,1,1,8
16,12,"vehicles","one",1,1,0,8
17,12,"animals","3sup",1,1,1,8
18,12,"animals","3sup",1,1,1,8
19,12,"animals","3bas",1,1,0,8
20,12,"vehicles","3sup",1,1,1,8
21,12,"vehicles","3sup",1,1,0.75,8
22,12,"vehicles","3bas",1,1,0,8
23,12,"vegetables","3sup",1,1,1,8
24,12,"animals","3bas",1,1,0,8
25,12,"vegetables","one",1,0,0,8
26,12,"animals","3bas",1,1,0,8
27,12,"vehicles","3sup",1,1,0.75,8
28,12,"vegetables","one",1,1,0,8
29,12,"vehicles","one",1,0,0,8
30,12,"vehicles","3bas",0.5,1,0,8
31,12,"vehicles","3sup",1,1,1,8
32,12,"vehicles","3sup",1,0.5,1,8
33,12,"animals","one",1,0,0,8
34,12,"vegetables","3sup",1,1,1,8
35,12,"vehicles","3sup",1,1,0.75,8
36,12,"animals","3bas",1,1,0,8
37,12,"vegetables","3bas",1,1,0,8
38,12,"animals","3bas",1,1,0,8
39,12,"vehicles","3bas",1,1,0,8
40,12,"animals","one",1,0,0,8
41,12,"vegetables","3sup",1,1,1,8
42,12,"animals","3sup",1,1,1,8
43,12,"vehicles","3bas",1,1,0,8
44,12,"animals","3bas",1,1,0,8
45,12,"vegetables","3sup",1,1,1,8
46,12,"vegetables","one",1,0,0,8
47,12,"vehicles","one",1,0,0,8
48,12,"vehicles","3sup",1,1,1,8
49,12,"animals","one",1,0,0,8
50,12,"vehicles","one",1,0,0,8
1,11,"vehicles","3sup",1,1,1,8
2,11,"vegetables","one",1,0,0,8
3,11,"animals","3bas",1,1,0,8
4,11,"animals","3bas",0.5,1,0,8
5,11,"animals","3sup",1,1,1,8
6,11,"vegetables","one",1,0,0,8
7,11,"animals","3sup",1,1,1,8
8,11,"animals","3bas",1,1,0,8
9,11,"animals","one",1,0,0,8
10,11,"vegetables","one",1,0,0,8
11,11,"animals","one",1,1,0,8
12,11,"vegetables","3sup",1,1,0.75,8
13,11,"vegetables","3bas",1,1,0,8
14,11,"vehicles","3sup",1,1,1,8
15,11,"vehicles","3sup",1,1,1,8
16,11,"vegetables","one",0.5,1,0,8
17,11,"vehicles","3sup",1,1,1,8
18,11,"vehicles","3sup",1,1,1,8
19,11,"vegetables","3bas",1,1,0,8
20,11,"animals","3sup",1,1,1,8
21,11,"animals","3sup",1,1,1,8
22,11,"vegetables","3bas",1,1,0,8
23,11,"animals","3sup",1,1,1,8
24,11,"vehicles","3bas",0.5,1,0,8
25,11,"animals","one",1,0,0,8
26,11,"vegetables","3bas",1,1,0,8
27,11,"vegetables","3sup",1,1,0.25,8
28,11,"animals","one",1,0,0,8
29,11,"animals","one",1,0,0,8
30,11,"vegetables","3bas",1,1,0,8
31,11,"animals","3sup",1,1,1,8
32,11,"animals","3sup",1,1,1,8
33,11,"vehicles","one",1,0,0,8
34,11,"vehicles","3sup",1,1,1,8
35,11,"vegetables","3sup",1,1,1,8
36,11,"vehicles","3bas",1,1,0,8
37,11,"vehicles","3bas",1,1,0,8
38,11,"vehicles","3bas",1,1,0,8
39,11,"animals","3bas",1,0,0,8
40,11,"vehicles","one",1,0,0,8
41,11,"animals","3sup",1,1,1,8
42,11,"vegetables","3sup",1,1,1,8
43,11,"animals","3bas",1,1,0,8
44,11,"vehicles","3bas",1,0.5,0,8
45,11,"vehicles","3sup",1,1,1,8
46,11,"animals","one",1,0,0,8
47,11,"animals","one",1,0,0,8
48,11,"vegetables","3sup",1,1,0.75,8
49,11,"vehicles","one",1,0,0,8
50,11,"animals","one",1,0,0,8
1,1,"vegetables","3sub",1,0,0,8
2,1,"vehicles","3sub",1,0,0,8
3,1,"vehicles","3sub",1,1,0,8
4,1,"animals","3sub",1,0,0,8
5,1,"animals","3sub",1,1,0,8
6,1,"vehicles","3sub",1,1,0,8
7,1,"vehicles","3sub",1,1,0,8
8,1,"animals","3sub",1,1,0,8
9,1,"vegetables","3sub",1,0,0,8
10,1,"animals","3sub",1,0,0,8
11,1,"animals","3sub",1,0,0,8
12,1,"vehicles","3sub",1,0,0.5,8
13,1,"vegetables","3sub",1,1,0,8
14,1,"vehicles","3sub",1,0,0,8
15,1,"vehicles","3sub",1,0,0,8
16,1,"animals","3sub",3,3,3,8
17,1,"animals","3sub",1,0,0,8
18,1,"vegetables","3sub",1,0,0,8
19,1,"vegetables","3sub",1,0,0,8
20,1,"vehicles","3sub",1,0,0,8
21,1,"vehicles","3sub",1,0,0,8
22,1,"animals","3sub",1,2,0.25,8
23,1,"vegetables","3sub",1,0,0,8
24,1,"vegetables","3sub",1,0,0,8
25,1,"vegetables","3sub",1,0,0,8
26,1,"animals","3sub",1,0,0,8
27,1,"vehicles","3sub",1,0.5,0,8
28,1,"vegetables","3sub",1,0,0,8
29,1,"animals","3sub",1,0,0,8
30,1,"animals","3sub",1,0,0,8
31,1,"animals","3sub",1,0,0,8
32,1,"vegetables","3sub",0.5,0,0,8
33,1,"animals","3sub",1,0,0,8
34,1,"animals","3sub",1,1,0,8
35,1,"vegetables","3sub",1,0,0,8
36,1,"vehicles","3sub",1,1,0,8
37,1,"vegetables","3sub",1,0,0,8
38,1,"animals","3sub",1,0,0,8
39,1,"vegetables","3sub",1,0,0,8
40,1,"vegetables","3sub",1,0.5,0,8
41,1,"animals","3sub",1,0,0,8
42,1,"vegetables","3sub",1,0,0,8
43,1,"vehicles","3sub",1,0,0,8
44,1,"animals","3sub",1,0,0,8
45,1,"vegetables","3sub",1,1,0,8
46,1,"vegetables","3sub",1,0,0,8
47,1,"vegetables","3sub",1,1,0,8
48,1,"vehicles","3sub",1,0.5,0,8
49,1,"animals","3sub",1,0,0,8
50,1,"vegetables","3sub",1,1,0,8
1,3,"vehicles","3sub",1,0,0,8
2,3,"animals","3sub",1,0,0,8
3,3,"animals","3sub",1,0,0,8
4,3,"vehicles","3sub",1,0,0,8
5,3,"vehicles","3sub",1,0.5,0,8
6,3,"vegetables","3sub",1,1,0,8
7,3,"vegetables","3sub",1,1,0,8
8,3,"vehicles","3sub",1,1,0,8
9,3,"animals","3sub",1,0,0,8
10,3,"vehicles","3sub",1,0,0,8
11,3,"vegetables","3sub",1,0,0,8
12,3,"vegetables","3sub",1,0,0,8
13,3,"vehicles","3sub",1,0,0,8
14,3,"vegetables","3sub",1,0,0,8
15,3,"animals","3sub",1,0,0,8
16,3,"vehicles","3sub",0.5,0.5,0,8
17,3,"vehicles","3sub",1,0,0,8
18,3,"vehicles","3sub",1,0,0,8
19,3,"animals","3sub",1,0,0,8
20,3,"animals","3sub",1,0,0,8
21,3,"animals","3sub",1,0,0,8
22,3,"vegetables","3sub",1,1,0,8
23,3,"animals","3sub",1,0,0,8
24,3,"animals","3sub",1,0,0,8
25,3,"animals","3sub",1,0,0,8
26,3,"vehicles","3sub",1,0,0,8
27,3,"vegetables","3sub",1,0.5,0,8
28,3,"vehicles","3sub",1,0,0,8
29,3,"vehicles","3sub",1,0,0,8
30,3,"vegetables","3sub",1,0,0,8
31,3,"vehicles","3sub",1,0,0,8
32,3,"animals","3sub",1,0,0,8
33,3,"vegetables","3sub",1,0,0,8
34,3,"vehicles","3sub",1,1,0,8
35,3,"animals","3sub",1,0,0,8
36,3,"vegetables","3sub",1,0,0,8
37,3,"animals","3sub",1,0,0,8
38,3,"vegetables","3sub",1,0,0,8
39,3,"animals","3sub",1,0,0,8
40,3,"vehicles","3sub",1,0,0,8
41,3,"vegetables","3sub",1,0,0,8
42,3,"vehicles","3sub",1,0,0,8
43,3,"animals","3sub",1,0,0,8
44,3,"vegetables","3sub",1,0,0,8
45,3,"animals","3sub",1,0,0,8
46,3,"animals","3sub",1,0,0,8
47,3,"vehicles","3sub",1,0,0,8
48,3,"animals","3sub",1,1,0,8
49,3,"vehicles","3sub",1,0,0,8
50,3,"vehicles","3sub",1,0,0,8
1,2,"animals","3sub",1,0,0,8
2,2,"vegetables","3sub",1,0.5,0,8
3,2,"vegetables","3sub",1,1,0,8
4,2,"vegetables","3sub",1,1,0,8
5,2,"vegetables","3sub",1,1,0,8
6,2,"animals","3sub",1,1,0,8
7,2,"animals","3sub",1,1,0,8
8,2,"vegetables","3sub",1,1,0,8
9,2,"vehicles","3sub",1,0,0,8
10,2,"vegetables","3sub",1,0,0,8
11,2,"vehicles","3sub",0.5,0,0,8
12,2,"animals","3sub",1,0,0,8
13,2,"animals","3sub",0.5,1,0,8
14,2,"animals","3sub",1,0,0,8
15,2,"vegetables","3sub",1,0,0,8
16,2,"vegetables","3sub",3,3,3,8
17,2,"vegetables","3sub",1,0,0,8
18,2,"animals","3sub",1,0,0,8
19,2,"vehicles","3sub",1,0,0,8
20,2,"vegetables","3sub",1,0,0,8
21,2,"vegetables","3sub",1,0,0,8
22,2,"vehicles","3sub",1,1,0,8
23,2,"vehicles","3sub",1,0,0,8
24,2,"vehicles","3sub",1,0,0,8
25,2,"vehicles","3sub",1,0,0,8
26,2,"vegetables","3sub",1,0,0,8
27,2,"animals","3sub",1,0.5,0,8
28,2,"animals","3sub",1,0,0,8
29,2,"vegetables","3sub",1,0,0,8
30,2,"vehicles","3sub",1,0,0,8
31,2,"vegetables","3sub",1,0,0,8
32,2,"vehicles","3sub",1,0,0,8
33,2,"vehicles","3sub",1,0,0,8
34,2,"vegetables","3sub",1,1,0,8
35,2,"vehicles","3sub",1,0,0,8
36,2,"animals","3sub",1,0,0,8
37,2,"vehicles","3sub",1,0,0,8
38,2,"vehicles","3sub",1,0,0,8
39,2,"vehicles","3sub",1,0,0,8
40,2,"animals","3sub",1,0,0,8
41,2,"vehicles","3sub",1,0,0,8
42,2,"animals","3sub",1,0,0,8
43,2,"vegetables","3sub",1,0,0,8
44,2,"vehicles","3sub",1,0,0,8
45,2,"vehicles","3sub",1,1,0,8
46,2,"vehicles","3sub",0.5,0,0,8
