exp_recoded,n,d,low,high,d_var
XT_adults_e1,22,2,1.25,2.74,0.14
XT_children_e2,36,1.01,0.51,1.51,0.06
SPSS_e1,19,1.12,0.41,1.83,0.12
SPSS_e2,20,-0.61,-1.27,0.04,0.1
SPSS_e3,19,-0.3,-0.96,0.36,0.11
SPSS_eS1,19,0.27,-0.39,0.93,0.11
SPSS_eS2,19,0.18,-0.48,0.84,0.11
