AutoApprovalTime,AssignmentId,trainBlock_T9,trainBlock_T8,condition_T12,condition_T11,trainBlock_T1,trainBlock_T3,trainBlock_T2,trainBlock_T5,trainBlock_T4,trainBlock_T7,trainBlock_T6,selected_T9,selected_T8,selected_T1,selected_T11,selected_T3,selected_T2,selected_T5,selected_T4,selected_T7,selected_T6,category_T10,education,trainBlock_T10,selected_T12,asses,comments,trainPics_T4,trainPics_T5,trainPics_T6,trainPics_T7,trainPics_T1,trainPics_T2,trainPics_T3,condition_T10,category_T12,trainPics_T8,trainPics_T9,selected_T10,category_T11,word_T8,word_T9,trainBlock_T12,word_T4,word_T5,word_T6,word_T7,word_T1,word_T2,word_T3,category_T8,category_T9,trainPics_T12,trainPics_T10,trainPics_T11,category_T1,category_T2,category_T3,category_T4,category_T5,category_T6,category_T7,enjoyment,word_T12,language,word_T10,word_T11,gender,age,trainBlock_T11,condition_T2,condition_T3,condition_T1,condition_T6,condition_T7,condition_T4,condition_T5,condition_T8,condition_T9,AcceptTime,HITId,Assignment,AssignmentStatus,SubmitTime,ApprovalTime,subids
2017-01-11T20:40:36Z,317HQ483I7SUYBJAYXYGH74YVV2IN9,three,three,three_basic,three_subordinate,one,one,one,three,three,three,three,"c2_sub2,c2_bas1,c2_sub1,c2_sup1","c3_sub1,c3_bas2,c3_bas1,c3_sub2","c1_bas2,c1_sub1,c1_sub2,c1_bas1","c1_sub1,c1_sub2","c3_sub1,c3_bas1,c3_bas2,c3_sub2","c2_bas1,c2_sub2,c2_bas2,c2_sub1","c3_sup4,c3_bas2,c3_sub2,c3_sup3,c3_sub1,c3_bas1,c3_sup1,c3_sup2","c3_sub1,c3_sub2","c2_sub2,c2_sub1","c2_bas1,c2_sub1",vegetables,1,three,"c1_sub2,c1_sub1,c1_bas1,c1_bas2",Yes,,c3_sub4-c3_sub5-c3_sub3,c3_sub3-c3_sup6-c3_sup5,c2_sub3-c2_bas3-c2_bas4,c2_sub4-c2_sub5-c2_sub3,c1_sub3,c2_sub3,c3_sub3,three_superordinate,vegetables,c3_bas4-c3_bas3-c3_sub3,c2_sup6-c2_sup5-c2_sub3,"c1_sup3,c1_sup2,c1_sub2,c1_sup1,c1_bas2,c1_bas1,c1_sub1,c1_sup4",vegetables,zom,rif,three,tob,sib,rab,tev,mep,tev,tob,animals,vehicles,c1_bas3-c1_bas4-c1_sub3,c1_sup5-c1_sup6-c1_sub3,c1_sub5-c1_sub4-c1_sub3,vegetables,vehicles,animals,animals,animals,vehicles,vehicles,2,fep,english,wug,mep,Female,51,three,one,one,one,three_basic,three_subordinate,three_subordinate,three_superordinate,three_basic,three_superordinate,2017-01-11T20:15:43Z,3126F2F5F83FY7V7SRGFBXGEP9HPEE,,Submitted,2017-01-11T20:30:36Z,NA,1
2017-01-11T20:30:38Z,31Q0U3WYDPFUVKVPAJWLTB1MEEM71V,three,three,three_subordinate,three_subordinate,one,one,one,three,three,three,three,"c2_sub1,c2_sup3,c2_sub2,c2_sup2,c2_bas2,c2_sup1,c2_sup4,c2_bas1","c2_bas1,c2_sub1,c2_sub2,c2_bas2","c3_sub1,c3_sub2","c3_sub2,c3_sub1","c2_sub1,c2_sub2","c1_sub1,c1_sub2","c3_sub2,c3_bas1,c3_sub1,c3_bas2","c1_sub2,c1_sub1","c1_sup3,c1_sup4,c1_bas1,c1_sub1,c1_bas2,c1_sub2,c1_sup1,c1_sup2","c1_sub2,c1_bas1,c1_bas2,c1_sub1",animals,2,three,"c2_sub1,c2_sub2",Yes,None,c1_sub5-c1_sub3-c1_sub4,c3_sub3-c3_bas3-c3_bas4,c1_bas4-c1_sub3-c1_bas3,c1_sup5-c1_sub3-c1_sup6,c3_sub3,c1_sub3,c2_sub3,three_superordinate,vehicles,c2_sub3-c2_bas3-c2_bas4,c2_sub3-c2_sup6-c2_sup5,"c3_sup2,c3_sub1,c3_bas1,c3_bas2,c3_sup1,c3_sub2,c3_sup4,c3_sup3",animals,tob,rab,three,wug,sib,tev,mep,fep,wug,rif,vehicles,vehicles,c2_sub5-c2_sub4-c2_sub3,c3_sub3-c3_sup5-c3_sup6,c3_sub3-c3_sub5-c3_sub4,animals,vegetables,vehicles,vegetables,animals,vegetables,vegetables,2,rif,English,zom,fep,Male,31,three,one,one,one,three_basic,three_superordinate,three_subordinate,three_basic,three_basic,three_superordinate,2017-01-11T20:15:43Z,3126F2F5F83FY7V7SRGFBXGEP9HPEE,,Approved,2017-01-11T20:20:38Z,2017-01-11T20:31:07Z,2
2017-01-11T22:05:32Z,31Z0PCVWUKFV447YC2GVZHKH6XCT7P,three,three,three_subordinate,three_superordinate,one,one,one,three,three,three,three,"c1_sub1,c1_sub2,c1_bas1,c1_bas2","c1_sub1,c1_sup4,c1_bas2,c1_sup1,c1_sub2,c1_bas1,c1_sup3","c3_sup4,c1_sup1,c2_sup1,c1_sup4,c1_sub1,c2_sup4,c2_bas2,c3_sup3,c3_sub1,c1_sup3,c1_sub2,c1_bas1,c3_sup2,c2_sub1,c3_sup1,c2_bas1,c2_sup2,c3_bas2,c1_bas2,c1_sup2,c2_sup3,c3_bas1,c3_sub2,c2_sub2","c2_bas2,c2_bas1,c2_sup2,c2_sup1,c2_sub1,c2_sub2","c1_sup3,c1_sup4,c1_bas1,c1_sup2,c1_sub1,c1_bas2,c1_sub2,c1_sup1","c3_bas1,c3_sub2,c3_bas2,c3_sub1","c3_bas1,c3_sub2,c3_bas2,c3_sub1","c3_sup2,c3_sub1,c3_sup1,c3_sub2,c3_sup4,c3_bas2,c3_bas1,c3_sup3","c1_sub2,c1_sub1,c1_bas2,c1_bas1","c3_sub2,c3_sub1",vehicles,3,three,"c2_sub1,c2_bas1,c2_sub2,c2_bas2","NA",This was fun,c3_sup6-c3_sub3-c3_sup5,c3_bas4-c3_sub3-c3_bas3,c3_sub4-c3_sub3-c3_sub5,c1_sub4-c1_sub5-c1_sub3,c2_sub3,c3_sub3,c1_sub3,three_basic,vehicles,c1_sup5-c1_sup6-c1_sub3,c1_sub3-c1_bas4-c1_bas3,"c2_sub2,c2_bas1,c2_sub1,c2_bas2",vehicles,rab,tev,three,tob,rif,wug,sib,fep,wug,sib,vegetables,vegetables,c2_sub4-c2_sub3-c2_sub5,c2_sub3-c2_bas4-c2_bas3,c2_sup5-c2_sup6-c2_sub3,vehicles,animals,vegetables,animals,animals,animals,vegetables,2,fep,English,zom,mep,,,three,one,one,one,three_subordinate,three_subordinate,three_superordinate,three_basic,three_superordinate,three_basic,2017-01-11T21:15:42Z,3126F2F5F83FY7V7SRGFBXGEP9HPEE,,Submitted,2017-01-11T21:55:32Z,NA,3
2017-01-11T20:34:29Z,339ANSOTR52TQ5Y71K60PFNU10XIK4,three,three,three_superordinate,three_basic,one,one,one,three,three,three,three,"c1_bas1,c1_sub2,c1_sub1,c1_bas2","c3_sub1,c3_bas2,c3_sup2,c3_sup3,c3_sup1,c3_sup4,c3_bas1,c3_sub2","c3_bas2,c3_bas1,c3_sub1,c3_sub2","c3_bas2,c3_bas1,c3_sub1,c3_sub2","c1_sub2,c1_bas2,c1_sub1,c1_bas1","c2_sup1,c2_sup2,c2_sub2,c2_bas2,c2_sup4,c2_bas1,c2_sup3,c2_sub1","c1_sub1,c1_sub2","c2_sub1,c2_sub2","c3_sub1,c3_sub2","c2_sub2,c2_bas2,c2_bas1,c2_sub1",vegetables,3,three,"c2_sup1,c2_sup3,c2_sub2,c2_sub1,c2_sup2,c2_bas2,c2_sup4,c2_bas1",Yes,,c2_sub3-c2_sub5-c2_sub4,c1_sub3-c1_sub5-c1_sub4,c2_bas3-c2_sub3-c2_bas4,c3_sub3-c3_sub4-c3_sub5,c3_sub3,c2_sub3,c1_sub3,three_superordinate,vehicles,c3_sup6-c3_sup5-c3_sub3,c1_bas3-c1_sub3-c1_bas4,"c1_bas1,c1_sup3,c1_bas2,c1_sup4,c1_sup2,c1_sub2,c1_sub1,c1_sup1",animals,tev,mep,three,rif,zom,sib,wug,wug,rif,zom,animals,vegetables,c2_sup5-c2_sub3-c2_sup6,c1_sup5-c1_sup6-c1_sub3,c3_sub3-c3_bas3-c3_bas4,animals,vehicles,vegetables,vehicles,vegetables,vehicles,animals,2,rab,english,tob,fep,Female,27,three,one,one,one,three_basic,three_subordinate,three_subordinate,three_subordinate,three_superordinate,three_basic,2017-01-11T20:15:43Z,3126F2F5F83FY7V7SRGFBXGEP9HPEE,,Approved,2017-01-11T20:24:29Z,2017-01-11T20:35:07Z,4
2017-01-11T20:29:16Z,34S9DKFK73PGOBYF2FKJ3VYMLEZYNU,three,three,three_superordinate,three_superordinate,one,one,one,three,three,three,three,"c2_sub1,c2_sub2","c3_sup1,c3_sup4,c3_bas1,c3_bas2,c3_sup3,c3_sup2,c3_sub1,c3_sub2",c1_sub2,"c2_sup2,c2_bas1,c2_sup1,c2_sub1,c2_sup4,c2_bas2,c2_sub2,c2_sup3",c2_sub1,"c3_sub2,c3_sub1","c1_sub2,c1_sub1","c2_sub2,c2_sub1,c2_bas2,c2_bas1","c1_bas2,c1_sub1,c1_sub2,c1_bas1","c3_sub1,c3_sub2",animals,3,three,"c1_sup1,c1_bas2,c1_bas1,c1_sup3,c1_sub1,c1_sup4,c1_sub2,c1_sup2","NA","interesting hit, thanks!",c2_bas4-c2_sub3-c2_bas3,c1_sub3-c1_sub4-c1_sub5,c3_sub4-c3_sub3-c3_sub5,c1_bas3-c1_bas4-c1_sub3,c1_sub3,c3_sub3,c2_sub3,three_basic,vegetables,c3_sub3-c3_sup6-c3_sup5,c2_sub4-c2_sub5-c2_sub3,"c3_sub2,c3_sub1,c3_bas2,c3_bas1",vehicles,tev,rab,three,mep,fep,rif,wug,fep,rif,rab,animals,vehicles,c1_sup6-c1_sub3-c1_sup5,c3_bas4-c3_bas3-c3_sub3,c2_sub3-c2_sup6-c2_sup5,vegetables,animals,vehicles,vehicles,vegetables,animals,vegetables,2,zom,English,tob,sib,,,three,one,one,one,three_subordinate,three_basic,three_basic,three_subordinate,three_superordinate,three_subordinate,2017-01-11T20:15:45Z,3126F2F5F83FY7V7SRGFBXGEP9HPEE,,Approved,2017-01-11T20:19:16Z,2017-01-11T20:30:07Z,5
2017-01-11T20:32:38Z,34V1S5K3GS1TGPKFVM6M23J9HFQ967,three,three,three_basic,three_basic,one,one,one,three,three,three,three,"c1_sub2,c1_sup2,c1_sub1,c1_bas2,c1_bas1,c1_sup4,c1_sup1,c1_sup3","c1_sub1,c1_bas2,c1_bas1,c1_sub2","c1_bas1,c1_sub1,c1_sub2","c1_sub1,c1_sub2,c1_bas2,c1_bas1","c2_sub2,c2_sub1","c3_sub1,c3_sub2","c3_sub1,c3_sub2","c2_sub2,c2_sub1","c2_sup2,c2_sub1,c2_sup1,c2_sup3,c2_bas2,c2_sup4,c2_bas1,c2_sub2","c3_bas1,c3_sup4,c3_sup3,c3_sup1,c3_sub2,c3_sup2,c3_sub1,c3_bas2",vehicles,3,three,"c3_bas2,c3_sub2,c3_bas1,c3_sub1",Yes,,c2_sub5-c2_sub4-c2_sub3,c3_sub3-c3_sub5-c3_sub4,c3_sup6-c3_sub3-c3_sup5,c2_bas4-c2_bas3-c2_sub3,c1_sub3,c3_sub3,c2_sub3,three_superordinate,animals,c1_sub5-c1_sub4-c1_sub3,c1_sup5-c1_sup6-c1_sub3,"c2_sup1,c2_bas1,c2_sub2,c2_sup4,c2_sup3,c2_sub1,c2_sup2,c2_bas2",vegetables,tev,wug,three,fep,mep,tob,sib,tev,mep,fep,vegetables,vegetables,c3_bas3-c3_bas4-c3_sub3,c2_sup5-c2_sup6-c2_sub3,c1_sub3-c1_bas4-c1_bas3,vegetables,animals,vehicles,vehicles,animals,animals,vehicles,1,rab,english,zom,rif,Female,36,three,one,one,one,three_superordinate,three_basic,three_subordinate,three_subordinate,three_subordinate,three_superordinate,2017-01-11T20:15:39Z,3126F2F5F83FY7V7SRGFBXGEP9HPEE,,Approved,2017-01-11T20:22:38Z,2017-01-11T20:33:07Z,6
2017-01-11T20:54:08Z,3570Y55XZPJAEJHTFB7ODBPPK2DYGM,three,three,three_superordinate,three_basic,one,one,one,three,three,three,three,"c2_bas2,c2_bas1,c2_sub1,c2_sub2","c3_sub2,c3_bas1,c3_bas2,c3_sub1","c3_sub1,c3_bas2,c3_bas1,c3_sub2","c1_sub1,c1_bas2,c1_sub2,c1_bas1","c2_bas1,c2_sub2,c2_sub1","c1_bas2,c1_bas1,c1_sub1,c1_sup1,c1_sup4","c3_bas2,c3_bas1,c3_sub1,c3_sub2","c3_sub2,c3_sub1","c2_sub2,c2_sub1","c1_sub2,c1_bas2,c1_sub1",vehicles,2,three,"c1_bas1,c1_sup3,c1_sub2,c1_bas2,c1_sub1,c1_sup4","NA",Great study,c3_sub5-c3_sub3-c3_sub4,c3_sub3-c3_sup6-c3_sup5,c1_sub3-c1_sub4-c1_sub5,c2_sub3-c2_sub4-c2_sub5,c3_sub3,c1_sub3,c2_sub3,three_superordinate,vegetables,c3_bas4-c3_bas3-c3_sub3,c2_bas4-c2_bas3-c2_sub3,"c2_sup1,c2_sub1,c2_sub2,c2_bas2,c2_sup2",vegetables,zom,mep,three,tob,wug,rab,fep,tob,rab,fep,animals,vehicles,c1_sup6-c1_sub3-c1_sup5,c2_sup5-c2_sup6-c2_sub3,c1_bas4-c1_bas3-c1_sub3,animals,vegetables,vehicles,animals,animals,vegetables,vehicles,2,tev,English,sib,rif,,30,three,one,one,one,three_subordinate,three_subordinate,three_subordinate,three_superordinate,three_basic,three_basic,2017-01-11T20:15:38Z,3126F2F5F83FY7V7SRGFBXGEP9HPEE,,Submitted,2017-01-11T20:44:08Z,NA,7
2017-01-11T22:30:03Z,35LDD5557A4FMOOYMZ4SH8UBI9VKM0,three,three,three_superordinate,three_superordinate,one,one,one,three,three,three,three,"c1_sub1,c1_bas2,c1_bas1,c1_sub2","c2_bas1,c2_bas2,c2_sub2,c2_sub1","c1_bas1,c1_sub2,c1_bas2,c1_sub1","c1_sub1,c1_sup2,c1_sub2,c1_bas1,c1_sup4,c1_sup1,c1_bas2,c1_sup3","c2_sub1,c2_bas2,c2_sub2,c2_bas1","c3_bas1,c3_bas2,c3_sub2,c3_sub1","c2_sub1,c2_bas1,c2_bas2,c2_sub2","c3_bas1,c3_sub2,c3_sub1","c2_sub1,c2_sup1,c2_sup2,c2_sup4,c2_bas2,c2_sub2,c2_sup3,c2_bas1","c1_bas1,c1_sub2,c1_sub1,c1_bas2",animals,2,three,"c3_sup3,c3_sub2,c3_sup1,c3_bas2,c3_sup2,c3_sub1,c3_sup4,c3_bas1","NA",,c3_bas3-c3_bas4-c3_sub3,c2_bas4-c2_bas3-c2_sub3,c1_sub3-c1_bas4-c1_bas3,c2_sub3-c2_sup6-c2_sup5,c1_sub3,c3_sub3,c2_sub3,three_subordinate,animals,c2_sub5-c2_sub4-c2_sub3,c1_sub4-c1_sub5-c1_sub3,"c3_sub2,c3_sub1",vegetables,tob,rif,three,sib,mep,zom,fep,rif,wug,tob,vehicles,vegetables,c3_sub3-c3_sup5-c3_sup6,c3_sub4-c3_sub3-c3_sub5,c1_sup5-c1_sub3-c1_sup6,vegetables,animals,vehicles,animals,vehicles,vegetables,vehicles,2,rab,English,wug,tev,,,three,one,one,one,three_basic,three_superordinate,three_basic,three_basic,three_subordinate,three_subordinate,2017-01-11T22:06:37Z,3126F2F5F83FY7V7SRGFBXGEP9HPEE,,Approved,2017-01-11T22:20:03Z,2017-01-11T22:30:07Z,8
2017-01-11T22:15:28Z,369J354OFDA8VZ7N9SCWUK5WLSLG65,three,three,three_subordinate,three_superordinate,one,one,one,three,three,three,three,"c2_bas1,c2_sub2,c2_bas2,c2_sub1","c3_bas1,c3_bas2,c3_sub2,c3_sub1","c2_sub1,c2_sub2","c1_sup3,c1_sub1,c1_sup4,c1_bas2,c1_bas1,c1_sub2,c1_sup1,c1_sup2","c3_sub1,c3_sub2","c1_sub1,c1_sub2","c3_sub2,c3_bas2,c3_bas1,c3_sub1,c3_sup4,c3_sup2,c3_sup1,c3_sup3","c2_sub1,c2_sub2","c3_sub2,c3_sub1","c1_sub2,c1_bas1,c1_sub1,c1_bas2",vehicles,3,three,"c1_sub2,c1_sub1",Yes,,c2_sub4-c2_sub5-c2_sub3,c3_sub3-c3_sup6-c3_sup5,c1_bas4-c1_sub3-c1_bas3,c3_sub3-c3_sub4-c3_sub5,c2_sub3,c1_sub3,c3_sub3,three_superordinate,vegetables,c3_sub3-c3_bas4-c3_bas3,c2_sub3-c2_bas4-c2_bas3,"c2_bas1,c2_sup1,c2_bas2,c2_sup4,c2_sub2,c2_sub1",vegetables,tob,tev,three,fep,zom,rab,sib,fep,rif,sib,animals,vehicles,c1_sub5-c1_sub4-c1_sub3,c2_sup5-c2_sub3-c2_sup6,c1_sub3-c1_sup6-c1_sup5,vehicles,vegetables,animals,vehicles,animals,vegetables,animals,1,rif,English,mep,wug,Male,25,three,one,one,one,three_basic,three_subordinate,three_subordinate,three_superordinate,three_basic,three_basic,2017-01-11T21:16:30Z,3126F2F5F83FY7V7SRGFBXGEP9HPEE,,Submitted,2017-01-11T22:05:28Z,NA,9
2017-01-11T20:32:10Z,36AHBNMV1RC72Z72DL6G7QMS7AXYDC,three,three,three_subordinate,three_superordinate,one,one,one,three,three,three,three,"c2_sub1,c2_sub2,c2_bas1,c2_sup1,c2_sup2,c2_bas2,c2_sup3","c2_bas1,c2_sub1,c2_sub2,c2_bas2","c2_sub1,c2_sub2","c3_sup2,c3_sup1,c3_sup3,c3_sub2,c3_sub1,c3_sup4,c3_bas1","c3_sub1,c3_sub2","c1_sub1,c1_bas1,c1_sub2,c1_bas2","c3_sub1,c3_sub2","c2_sub2,c2_sub1","c1_bas2,c1_bas1,c1_sub2,c1_sub1","c1_bas2,c1_sup1,c1_sub1,c1_sub2,c1_sup4,c1_bas1,c1_sup2",animals,3,three,"c1_sub1,c1_sub2","NA",,c2_sub3-c2_sub4-c2_sub5,c3_sub3-c3_sub5-c3_sub4,c1_sup5-c1_sub3-c1_sup6,c1_bas4-c1_bas3-c1_sub3,c2_sub3,c1_sub3,c3_sub3,three_basic,vegetables,c2_bas3-c2_sub3-c2_bas4,c2_sup6-c2_sup5-c2_sub3,"c3_bas2,c3_bas1,c3_sub1,c3_sub2",animals,mep,fep,three,tob,zom,sib,rab,tob,wug,zom,vehicles,vehicles,c1_sub4-c1_sub3-c1_sub5,c3_sub3-c3_bas3-c3_bas4,c3_sup6-c3_sub3-c3_sup5,vehicles,vegetables,animals,vehicles,animals,vegetables,vegetables,1,wug,English,tev,rif,,,three,one,one,one,three_superordinate,three_basic,three_subordinate,three_subordinate,three_basic,three_superordinate,2017-01-11T20:15:34Z,3126F2F5F83FY7V7SRGFBXGEP9HPEE,,Approved,2017-01-11T20:22:10Z,2017-01-11T20:33:07Z,10
