ApprovalTime,AutoApprovalTime,AssignmentId,trainBlock_T9,trainBlock_T8,condition_T12,condition_T11,trainBlock_T1,trainBlock_T3,trainBlock_T2,trainBlock_T5,trainBlock_T4,trainBlock_T7,trainBlock_T6,selected_T9,selected_T8,selected_T1,selected_T11,selected_T3,selected_T2,selected_T5,selected_T4,selected_T7,selected_T6,category_T10,education,trainBlock_T10,selected_T12,asses,comments,trainPics_T4,trainPics_T5,trainPics_T6,trainPics_T7,trainPics_T1,trainPics_T2,trainPics_T3,condition_T10,category_T12,trainPics_T8,trainPics_T9,selected_T10,category_T11,word_T8,word_T9,trainBlock_T12,word_T4,word_T5,word_T6,word_T7,word_T1,word_T2,word_T3,category_T8,category_T9,trainPics_T12,trainPics_T10,trainPics_T11,category_T1,category_T2,category_T3,category_T4,category_T5,category_T6,category_T7,enjoyment,word_T12,language,word_T10,word_T11,gender,age,trainBlock_T11,condition_T2,condition_T3,condition_T1,condition_T6,condition_T7,condition_T4,condition_T5,condition_T8,condition_T9,AcceptTime,HITId,Assignment,AssignmentStatus,SubmitTime,subids
2017-08-25T21:05:08Z,2017-08-25T21:04:47Z,31N2WW6R9RQ3KGOAF68G5WT0HIG3FJ,3bas,3bas,three_subordinate,three_subordinate,one,one,one,3sup,3sup,3bas,3sup,"c3_bas1,c3_bas2,c3_sub1,c3_sub2","c1_sub1,c1_bas1,c1_sub2,c1_bas2","c2_sub2,c2_bas1,c2_sub1,c2_bas2","c1_sub1,c1_sub2","c3_sub1,c3_sub2","c1_bas1,c1_sub2,c1_sub1,c1_bas2","c1_bas1,c1_sub2,c1_sup3,c1_bas2,c1_sup4,c1_sup2,c1_sub1,c1_sup1","c2_bas1,c2_sub1,c2_sup1,c2_bas2,c2_sup4,c2_sup3,c2_sub2","c2_sub1,c2_sub2,c2_bas1,c2_bas2","c3_bas1,c3_sup2,c3_sub2,c3_sup1,c3_sup3,c3_sub1,c3_sup4,c3_bas2",vehicles,3,3sub,"c3_sub2,c3_sub1",Yes,,c2_sub3-c2_sup5-c2_sup6,c1_sup5-c1_sub3-c1_sup6,c3_sub3-c3_sup5-c3_sup6,c2_sub3-c2_bas4-c2_bas3,c2_sub3,c1_sub3,c3_sub3,three_subordinate,animals,c1_bas4-c1_bas3-c1_sub3,c3_bas4-c3_bas3-c3_sub3,"c2_sub1,c2_sub2",vegetables,tob,wug,3sub,zom,pag,nur,tev,mep,fep,rab,vegetables,animals,c3_sub3-c3_sub5-c3_sub4,c2_sub4-c2_sub3-c2_sub5,c1_sub4-c1_sub5-c1_sub3,vehicles,vegetables,animals,vehicles,vegetables,animals,vehicles,1,rif,english,dit,sib,Male,30,3sub,one,one,one,three_superordinate,three_basic,three_superordinate,three_superordinate,three_basic,three_basic,2017-08-25T20:44:06Z,3ROUCZ907FUJPYWV756WR952KHCOO8,,Approved,2017-08-25T20:54:47Z,1
2017-08-25T20:59:08Z,2017-08-25T20:58:40Z,324G5B4FB38UOVA7E0SLF6ICGID07H,3sup,3sup,three_basic,three_basic,one,one,one,3sub,3sub,3sup,3sub,"c3_sub1,c3_sup1,c3_bas1,c3_sup4,c3_sup2,c3_sub2,c3_bas2,c3_sup3","c2_sub2,c2_sup3,c2_bas1,c2_sup1,c2_bas2,c2_sup4,c2_sub1","c2_bas2,c2_sub1,c2_sub2,c2_bas1","c3_bas2,c3_sub2,c3_sub1,c3_bas1","c1_sub1,c1_sub2,c1_bas2,c1_bas1","c3_sub1,c3_bas1,c3_bas2,c3_sub2","c2_sub2,c2_sub1","c1_sub2,c1_sub1","c1_sup1,c1_sub2,c1_sup4,c1_sub1,c1_bas1,c1_sup3,c1_bas2,c1_sup2","c3_sub1,c3_sub2",vegetables,3,3bas,"c2_bas2,c2_sub2,c2_bas1,c2_sub1","NA",,c1_sub3-c1_sub4-c1_sub5,c2_sub3-c2_sub5-c2_sub4,c3_sub3-c3_sub4-c3_sub5,c1_sub3-c1_sup6-c1_sup5,c2_sub3,c3_sub3,c1_sub3,three_basic,vehicles,c2_sup6-c2_sup5-c2_sub3,c3_sub3-c3_sup5-c3_sup6,"c1_bas1,c1_bas2,c1_sub1,c1_sub2",animals,rif,fep,3bas,tev,pag,wug,sib,zom,rab,dit,vehicles,animals,c2_bas4-c2_bas3-c2_sub3,c1_sub3-c1_bas3-c1_bas4,c3_bas4-c3_bas3-c3_sub3,vehicles,animals,vegetables,vegetables,vehicles,animals,vegetables,1,nur,english,mep,tob,,,3bas,one,one,one,three_subordinate,three_superordinate,three_subordinate,three_subordinate,three_superordinate,three_superordinate,2017-08-25T20:44:28Z,3ROUCZ907FUJPYWV756WR952KHCOO8,,Approved,2017-08-25T20:48:40Z,2
2017-08-25T20:59:08Z,2017-08-25T20:58:24Z,32ZKVD547FND7ZCUA4MKM62F2KO3B1,3sup,3sup,three_basic,three_basic,one,one,one,3sub,3sub,3sup,3sub,"c1_sup1,c1_sup4,c1_sup3","c3_bas2,c3_sub1,c3_sup4,c3_sub2,c3_bas1,c3_sup1","c3_sup1,c3_bas1,c3_bas2,c3_sub2,c3_sub1,c3_sup4,c3_sup2,c3_sup3","c1_sub1,c1_sup1,c1_sup4,c1_sup3,c1_sub2,c1_bas2,c1_bas1","c2_sup3,c2_sup4,c2_sup2,c2_bas2,c2_bas1,c2_sub1,c2_sup1,c2_sub2","c1_sub2,c1_bas1,c1_sup2,c1_sub1,c1_sup3,c1_sup4,c1_bas2,c1_sup1","c2_sub1,c2_bas2,c2_bas1,c2_sub2","c3_sub2,c3_sub1,c3_bas1,c3_bas2","c2_sub2,c2_bas1,c2_bas2,c2_sub1,c2_sup2,c2_sup4,c2_sup3","c1_bas1,c1_sub1,c1_bas2,c1_sub2",vehicles,1,3bas,"c3_bas2,c3_bas1,c3_sup3,c3_sup4,c3_sup1,c3_sub1",Yes,,c3_sub5-c3_sub4-c3_sub3,c2_sub3-c2_sub5-c2_sub4,c1_sub5-c1_sub3-c1_sub4,c2_sup6-c2_sup5-c2_sub3,c3_sub3,c1_sub3,c2_sub3,three_basic,animals,c3_sub3-c3_sup6-c3_sup5,c1_sup5-c1_sup6-c1_sub3,"c2_sub2,c2_sub1,c2_bas2,c2_bas1",vegetables,zom,rab,3bas,fep,tob,wug,dit,nur,rif,mep,animals,vegetables,c3_bas3-c3_sub3-c3_bas4,c2_sub3-c2_bas4-c2_bas3,c1_sub3-c1_bas4-c1_bas3,animals,vegetables,vehicles,animals,vehicles,vegetables,vehicles,1,pag,English,sib,tev,Male,26,3bas,one,one,one,three_subordinate,three_superordinate,three_subordinate,three_subordinate,three_superordinate,three_superordinate,2017-08-25T20:44:09Z,3ROUCZ907FUJPYWV756WR952KHCOO8,,Approved,2017-08-25T20:48:24Z,3
2017-08-25T22:10:08Z,2017-08-25T22:09:10Z,336KAV9KYQSKZP9MGWMZB7VOHF72Y5,3sup,3sup,three_basic,three_basic,one,one,one,3sub,3sub,3sup,3sub,"c3_sup1,c3_sub1,c3_sub2,c3_sup3,c3_sup2,c3_bas2,c3_sup4","c1_sup1,c1_sup2,c1_sup4,c1_bas2,c1_bas1,c1_sup3,c1_sub1,c1_sub2","c2_sub1,c2_sub2,c2_bas1","c1_bas1,c1_sub1,c1_bas2,c1_sub2","c3_sub2,c3_sub1,c3_bas2,c3_bas1","c1_bas2,c1_bas1,c1_sub2,c1_sub1","c1_bas2,c1_bas1,c1_sub1,c1_sub2",c2_sub2,"c2_bas1,c2_bas2,c2_sup1,c2_sub1,c2_sup3,c2_sup4","c3_sub1,c3_sub2",animals,1,3bas,"c2_sub2,c2_bas1,c2_bas2",Yes,The frog was very cute. I would like to see more of Mr Frog in the future. :),c2_sub4-c2_sub3-c2_sub5,c1_sub4-c1_sub5-c1_sub3,c3_sub5-c3_sub4-c3_sub3,c2_sup6-c2_sub3-c2_sup5,c2_sub3,c1_sub3,c3_sub3,three_basic,vehicles,c1_sup6-c1_sub3-c1_sup5,c3_sup6-c3_sup5-c3_sub3,"c3_sub2,c3_bas1,c3_sub1,c3_bas2",vegetables,rab,tob,3bas,fep,tev,wug,mep,rif,nur,dit,vegetables,animals,c2_bas4-c2_sub3-c2_bas3,c3_bas3-c3_sub3-c3_bas4,c1_sub3-c1_bas3-c1_bas4,vehicles,vegetables,animals,vehicles,vegetables,animals,vehicles,2,zom,English,pag,sib,Female,23,3bas,one,one,one,three_subordinate,three_superordinate,three_subordinate,three_subordinate,three_superordinate,three_superordinate,2017-08-25T21:46:46Z,3ROUCZ907FUJPYWV756WR952KHCOO8,,Approved,2017-08-25T21:59:10Z,4
2017-08-25T21:15:08Z,2017-08-25T21:14:10Z,336YQZE83VEC453VFC0MFJBTSFJ5MI,3sub,3sub,three_superordinate,three_superordinate,one,one,one,3bas,3bas,3sub,3bas,"c1_sub2,c1_sub1","c3_sub1,c3_sub2","c1_sub2,c1_sub1",c2_sup2,"c2_sub2,c2_sub1","c1_sub2,c1_sub1","c2_sub2,c2_sub1,c2_bas2,c2_bas1","c3_sub1,c3_sub2","c2_sub1,c2_sub2","c1_sub1,c1_sub2,c1_bas1,c1_bas2",animals,2,3sup,"c1_bas1,c1_sup3,c1_sub2,c1_sup1,c1_sup4,c1_sup2,c1_bas2,c1_sub1","NA",,c3_bas4-c3_bas3-c3_sub3,c2_bas4-c2_sub3-c2_bas3,c1_sub3-c1_bas3-c1_bas4,c2_sub4-c2_sub3-c2_sub5,c1_sub3,c3_sub3,c2_sub3,three_superordinate,vegetables,c3_sub3-c3_sub5-c3_sub4,c1_sub5-c1_sub4-c1_sub3,"c3_sup4,c3_bas2,c3_sub2,c3_bas1,c3_sup1,c3_sup3,c3_sub1",vehicles,tev,dit,3sup,nur,wug,tob,rif,fep,sib,zom,animals,vegetables,c1_sup6-c1_sub3-c1_sup5,c3_sub3-c3_sup5-c3_sup6,c2_sub3-c2_sup5-c2_sup6,vegetables,animals,vehicles,animals,vehicles,vegetables,vehicles,2,rab,english,pag,mep,,,3sup,one,one,one,three_basic,three_subordinate,three_basic,three_basic,three_subordinate,three_subordinate,2017-08-25T20:43:57Z,3ROUCZ907FUJPYWV756WR952KHCOO8,,Approved,2017-08-25T21:04:10Z,5
2017-08-25T21:06:08Z,2017-08-25T21:05:13Z,33L7PJKHCGYZ4ICHM781DHGCODFT88,3sub,3sub,three_basic,three_basic,one,one,one,3sup,3sup,3sub,3sup,"c2_sub1,c2_sub2","c3_sub1,c3_sub2","c1_sub1,c1_sub2,c1_bas2,c1_bas1","c1_bas2,c1_sub1,c1_sub2,c1_bas1","c3_sub1,c3_sub2,c3_bas1,c3_bas2","c2_sub1,c2_sub2,c2_bas2,c2_bas1","c1_sub2,c1_sup2,c1_sub1,c1_sup3,c1_sup1,c1_sup4,c1_bas2,c1_bas1","c3_bas1,c3_sup1,c3_bas2,c3_sup3,c3_sup2,c3_sub2,c3_sup4,c3_sub1","c1_bas2,c1_sub1,c1_bas1,c1_sub2","c2_bas2,c2_sub2,c2_sup1,c2_sup3,c2_bas1,c2_sup4,c2_sub1",vehicles,3,3bas,"c3_sub2,c3_bas2,c3_bas1,c3_sub1",Yes,N/A,c3_sup6-c3_sub3-c3_sup5,c1_sup5-c1_sup6-c1_sub3,c2_sup5-c2_sub3-c2_sup6,c1_sub5-c1_sub3-c1_sub4,c1_sub3,c2_sub3,c3_sub3,three_basic,animals,c3_sub5-c3_sub4-c3_sub3,c2_sub4-c2_sub5-c2_sub3,"c2_sub2,c2_bas2,c2_bas1,c2_sub1",vegetables,tob,mep,3bas,tev,sib,pag,nur,rab,fep,zom,animals,vehicles,c3_bas4-c3_sub3-c3_bas3,c2_bas4-c2_sub3-c2_bas3,c1_bas4-c1_bas3-c1_sub3,vegetables,vehicles,animals,animals,vegetables,vehicles,vegetables,2,wug,English,dit,rif,Male,33,3bas,one,one,one,three_superordinate,three_subordinate,three_superordinate,three_superordinate,three_subordinate,three_subordinate,2017-08-25T20:43:53Z,3ROUCZ907FUJPYWV756WR952KHCOO8,,Approved,2017-08-25T20:55:13Z,6
2017-08-25T21:44:08Z,2017-08-25T21:43:38Z,33OOO72IVHL1GL2U3JO6F3CVE40TCE,3sup,3sup,three_basic,three_basic,one,one,one,3sub,3sub,3sup,3sub,"c3_sup4,c3_sub2,c3_sub1,c3_sup1,c3_sup3,c3_bas1,c3_bas2,c3_sup2","c1_bas2,c1_sub1,c1_bas1,c1_sup3,c1_sup1,c1_sup2,c1_sub2,c1_sup4","c2_sub2,c2_sub1,c2_bas1,c2_bas2","c3_sub2,c3_sub1,c3_bas2,c3_bas1","c3_sub2,c3_bas1,c3_bas2,c3_sub1","c1_sub1,c1_sub2,c1_bas1,c1_bas2","c2_sub1,c2_sub2","c1_sub2,c1_sub1","c2_bas1,c2_sup4,c2_sup3,c2_sub2,c2_bas2,c2_sub1,c2_sup1","c3_sub2,c3_sub1",vehicles,4,3bas,"c1_bas1,c1_sub1,c1_sub2,c1_bas2",Yes,,c1_sub5-c1_sub4-c1_sub3,c2_sub3-c2_sub5-c2_sub4,c3_sub3-c3_sub5-c3_sub4,c2_sub3-c2_sup5-c2_sup6,c2_sub3,c1_sub3,c3_sub3,three_basic,vegetables,c1_sub3-c1_sup5-c1_sup6,c3_sup5-c3_sub3-c3_sup6,"c2_bas2,c2_bas1,c2_sub2,c2_sub1",animals,rif,wug,3bas,sib,dit,zom,tob,fep,tev,nur,vegetables,animals,c1_bas4-c1_sub3-c1_bas3,c2_bas3-c2_sub3-c2_bas4,c3_bas3-c3_sub3-c3_bas4,vehicles,vegetables,animals,vegetables,vehicles,animals,vehicles,2,pag,English,mep,rab,Male,34,3bas,one,one,one,three_subordinate,three_superordinate,three_subordinate,three_subordinate,three_superordinate,three_superordinate,2017-08-25T20:44:24Z,3ROUCZ907FUJPYWV756WR952KHCOO8,,Approved,2017-08-25T21:33:38Z,7
2017-08-25T21:14:08Z,2017-08-25T21:13:24Z,34Q075JO1XDGD9V5PKBCEWRZDWD01K,3sup,3sup,three_subordinate,three_subordinate,one,one,one,3bas,3bas,3sup,3bas,"c2_sup1,c2_sup3,c2_bas2,c2_sub2,c2_bas1,c2_sup4,c2_sub1","c3_sub1,c3_sup4,c3_bas1,c3_bas2,c3_sup1,c3_sup3,c3_sup2,c3_sub2","c2_sub1,c2_sub2","c2_sub1,c2_sub2","c1_sub2,c1_sub1","c3_sub2,c3_sub1","c3_bas2,c3_sub1,c3_sub2","c1_bas2,c1_bas1,c1_sub1,c1_sub2","c1_sup1,c1_sup4,c1_sup3,c1_sup2","c2_sub2,c2_bas2,c2_sub1,c2_bas1",animals,1,3sub,"c1_sub2,c1_sub1",Yes,,c1_bas4-c1_bas3-c1_sub3,c3_bas4-c3_bas3-c3_sub3,c2_sub3-c2_bas4-c2_bas3,c1_sup5-c1_sub3-c1_sup6,c2_sub3,c3_sub3,c1_sub3,three_subordinate,vegetables,c3_sup6-c3_sub3-c3_sup5,c2_sup6-c2_sub3-c2_sup5,"c3_sub2,c3_sub1",vehicles,fep,wug,3sub,nur,pag,rab,sib,mep,dit,rif,animals,vehicles,c1_sub3-c1_sub5-c1_sub4,c3_sub4-c3_sub3-c3_sub5,c2_sub3-c2_sub5-c2_sub4,vehicles,animals,vegetables,vegetables,animals,vehicles,vegetables,1,tev,English,zom,tob,Male,29,3sub,one,one,one,three_basic,three_superordinate,three_basic,three_basic,three_superordinate,three_superordinate,2017-08-25T20:43:50Z,3ROUCZ907FUJPYWV756WR952KHCOO8,,Approved,2017-08-25T21:03:24Z,8
2017-08-25T21:07:08Z,2017-08-25T21:06:59Z,34T446B1C0E00C535H0WVSAQHT40CA,3bas,3bas,three_subordinate,three_subordinate,one,one,one,3sup,3sup,3bas,3sup,"c2_sub2,c2_sub1,c2_bas2,c2_bas1","c1_bas1,c1_sub2,c1_bas2,c1_sub1","c2_sub1,c2_sub2","c3_sub1,c3_sub2","c1_sub2,c1_sub1,c1_bas2,c1_bas1","c3_sub2,c3_sub1","c3_sup4,c3_sub2,c3_sup3,c3_bas2,c3_bas1,c3_sub1,c3_sup1","c2_bas2,c2_sup1,c2_sub1,c2_sup3,c2_bas1,c2_sup2,c2_sup4,c2_sub2","c3_bas2,c3_sub1,c3_sub2,c3_bas1","c1_sup2,c1_sub2,c1_bas2,c1_sup4,c1_bas1,c1_sup1,c1_sup3,c1_sub1",vehicles,0,3sub,"c1_sub2,c1_sub1",Yes,"I really wish I had a clue how this worked. I mean, there was one that was definitely 'peppers', and one that was 'green peppers', but another one that was ambiguous. Same for the buses. Please include a link where the final research on this will be if this runs again, as I'd really like to look at it to learn what this was all about.",c2_sup6-c2_sub3-c2_sup5,c3_sup5-c3_sub3-c3_sup6,c1_sub3-c1_sup6-c1_sup5,c3_bas4-c3_sub3-c3_bas3,c2_sub3,c3_sub3,c1_sub3,three_subordinate,vegetables,c1_bas4-c1_bas3-c1_sub3,c2_bas3-c2_bas4-c2_sub3,"c2_sub2,c2_sub1",animals,wug,sib,3sub,nur,tev,pag,dit,rab,fep,rif,vegetables,vehicles,c1_sub5-c1_sub3-c1_sub4,c2_sub5-c2_sub4-c2_sub3,c3_sub3-c3_sub4-c3_sub5,vehicles,animals,vegetables,vehicles,animals,vegetables,animals,1,tob,English,mep,zom,Male,39,3sub,one,one,one,three_superordinate,three_basic,three_superordinate,three_superordinate,three_basic,three_basic,2017-08-25T20:49:41Z,3ROUCZ907FUJPYWV756WR952KHCOO8,,Approved,2017-08-25T20:56:59Z,9
2017-08-25T21:25:08Z,2017-08-25T21:25:02Z,39O5D9O87TSWH440O4IFXQ8XK5O3C8,3sub,3sub,three_superordinate,three_superordinate,one,one,one,3bas,3bas,3sub,3bas,"c2_bas1,c2_sub1,c2_sub2,c2_bas2","c1_bas1,c1_sub2,c1_sub1,c1_bas2","c1_bas1,c1_bas2,c1_sub2,c1_sub1","c1_sup1,c1_bas2,c1_sub2,c1_sup4,c1_sup3,c1_sub1,c1_sup2,c1_bas1","c2_sub1,c2_bas2,c2_bas1,c2_sub2","c3_bas1,c3_sub2,c3_sub1,c3_bas2","c3_sub1,c3_bas2,c3_bas1,c3_sub2","c1_bas1,c1_sub1,c1_sub2,c1_bas2","c3_sub1,c3_bas2,c3_sub2,c3_bas1","c2_sub2,c2_bas2,c2_bas1,c2_sub1",animals,2,3sup,"c2_bas2,c2_bas1,c2_sup2,c2_sub1,c2_sup1,c2_sub2,c2_sup4,c2_sup3",Yes,,c1_bas4-c1_bas3-c1_sub3,c3_sub3-c3_bas4-c3_bas3,c2_bas3-c2_bas4-c2_sub3,c3_sub3-c3_sub5-c3_sub4,c1_sub3,c3_sub3,c2_sub3,three_superordinate,vehicles,c1_sub3-c1_sub4-c1_sub5,c2_sub3-c2_sub4-c2_sub5,"c3_sub2,c3_bas2,c3_sub1,c3_sup1,c3_sup2,c3_sup4,c3_sup3,c3_bas1",vegetables,rab,pag,3sup,tev,nur,tob,sib,dit,fep,mep,vegetables,vehicles,c2_sup5-c2_sub3-c2_sup6,c3_sub3-c3_sup5-c3_sup6,c1_sup5-c1_sub3-c1_sup6,vegetables,animals,vehicles,vegetables,animals,vehicles,animals,0,zom,English,rif,wug,Female,19,3sup,one,one,one,three_basic,three_subordinate,three_basic,three_basic,three_subordinate,three_subordinate,2017-08-25T20:44:01Z,3ROUCZ907FUJPYWV756WR952KHCOO8,,Approved,2017-08-25T21:15:02Z,10
