"","ApprovalTime","AutoApprovalTime","AssignmentId","trainBlock_T9","trainBlock_T8","condition_T12","condition_T11","trainBlock_T1","trainBlock_T3","trainBlock_T2","trainBlock_T5","trainBlock_T4","trainBlock_T7","trainBlock_T6","selected_T9","selected_T8","selected_T1","selected_T11","selected_T3","selected_T2","selected_T5","selected_T4","selected_T7","selected_T6","category_T10","education","trainBlock_T10","selected_T12","asses","comments","trainPics_T4","trainPics_T5","trainPics_T6","trainPics_T7","trainPics_T1","trainPics_T2","trainPics_T3","condition_T10","category_T12","trainPics_T8","trainPics_T9","selected_T10","category_T11","word_T8","word_T9","trainBlock_T12","word_T4","word_T5","word_T6","word_T7","word_T1","word_T2","word_T3","category_T8","category_T9","trainPics_T12","trainPics_T10","trainPics_T11","category_T1","category_T2","category_T3","category_T4","category_T5","category_T6","category_T7","enjoyment","word_T12","language","word_T10","word_T11","gender","age","trainBlock_T11","condition_T2","condition_T3","condition_T1","condition_T6","condition_T7","condition_T4","condition_T5","condition_T8","condition_T9","AcceptTime","HITId","Assignment","AssignmentStatus","SubmitTime","subids"
"1","2017-01-26T18:07:07Z","2017-01-26T18:06:33Z","31Z0PCVWUKFV447YC2GVZHKH7IGT70","3","3","one","one","1","1","1","2","2","3","2","c3_sub1,c3_sub2,c3_bas1","c2_bas1,c2_sub1,c2_bas2,c2_sub2","c3_sub1,c3_sub2","c3_sub1,c3_sub2","c2_sub1,c2_sub2","c1_sub1,c1_sub2","c1_sub2,c1_bas1,c1_bas2,c1_sup1,c1_sup4,c1_sub1,c1_sup3,c1_sup2","c3_sub2,c3_sub1","c1_bas1,c1_sub2,c1_bas2,c1_sub1","c2_sub1,c2_sup2,c2_sub2,c2_sup1","vehicles","1","4","c1_sub2,c1_sub1","Yes","","c3_sub3-c3_sup5-c3_sup6","c1_sup5-c1_sub3-c1_sup6","c2_sup6-c2_sub3-c2_sup5","c1_sub3-c1_bas4-c1_bas3","c3_sub3-c3_sub5-c3_sub4","c1_sub5-c1_sub3-c1_sub4","c2_sub4-c2_sub3-c2_sub5","one","vegetables","c2_bas4-c2_sub3-c2_bas3","c3_bas3-c3_sub3-c3_bas4","c2_sub1,c2_sub2","animals","fep","sib","4","tob","zom","mep","rif","tev","wug","rab","vehicles","animals","c1_sub3","c2_sub3","c3_sub3","animals","vegetables","vehicles","animals","vegetables","vehicles","vegetables","1","wug","english","rab","tev","Male","28","4","3sub","3sub","3sub","3sup","3bas","3sup","3sup","3bas","3bas","2017-01-26T17:35:59Z","3VADEH0UHCXG8Q0PTM0K0EKTQ48PS5","","Approved","2017-01-26T17:56:33Z","1"
"2","2017-01-26T18:15:07Z","2017-01-26T18:14:51Z","33IZTU6J811O4J0A5FF3JB1J7SHSX5","3","3","3bas","3bas","1","1","1","2","2","3","2","c3_bas2,c3_bas1,c3_sup1,c3_sub2,c3_sup4,c3_sup3,c3_sub1","c2_bas2,c2_sub2,c2_bas1,c2_sup3,c2_sup1,c2_sup2,c2_sub1,c2_sup4","c2_sub2,c2_bas1,c2_bas2","c1_bas1,c1_sub2,c1_sub1,c1_bas2","c1_bas2,c1_sub1,c1_bas1,c1_sub2","c3_sub2,c3_sub1","c1_sub1,c1_sub2,c1_bas1,c1_bas2","c2_sub2,c2_sub1,c2_bas1","c1_sub1,c1_bas2,c1_bas1,c1_sub2,c1_sup3,c1_sup4","c3_sub1,c3_sub2","vehicles","2","4","c3_sub1,c3_sub2,c3_bas1,c3_bas2","Yes","","c2_sub3","c1_sub3","c3_sub3","c1_sup5-c1_sub3-c1_sup6","c2_sub3-c2_sub4-c2_sub5","c3_sub4-c3_sub3-c3_sub5","c1_sub4-c1_sub5-c1_sub3","3bas","animals","c2_sup5-c2_sub3-c2_sup6","c3_sub3-c3_sup6-c3_sup5","c2_sub2,c2_sup2,c2_bas2,c2_bas1,c2_sub1","vegetables","wug","rif","4","rab","mep","tob","sib","rab","tob","mep","vehicles","animals","c3_bas4-c3_sub3-c3_bas3","c2_bas3-c2_sub3-c2_bas4","c1_sub3-c1_bas4-c1_bas3","vehicles","animals","vegetables","vehicles","vegetables","animals","vegetables","1","tev","English","fep","zom","Male","23","4","3sub","3sub","3sub","one","3sup","one","one","3sup","3sup","2017-01-26T17:35:11Z","3VADEH0UHCXG8Q0PTM0K0EKTQ48PS5","","Approved","2017-01-26T18:04:51Z","2"
"3","2017-01-26T17:49:07Z","2017-01-26T17:48:59Z","33LK57MYLT5D9E0P6X3OGWHUFSFSZ2","3","3","3sup","3sup","1","1","1","2","2","3","2","c3_sub1,c3_sub2","c1_sub1,c1_sub2","c3_sub2,c3_sub1","c1_sup1,c1_sub2,c1_bas2,c1_sub1,c1_sup3,c1_sup2,c1_sup4","c2_sub1,c2_sub2","c1_sub1,c1_sub2","c2_bas2,c2_bas1,c2_sub2","c1_sub2,c1_bas2,c1_bas1,c1_sub1","c2_sub2","c3_bas1,c3_bas2,c3_sub1,c3_sub2","animals","3","4","c2_bas1,c2_sup3,c2_sub2,c2_bas2,c2_sup1,c2_sup2,c2_sub1,c2_sup4","NA","","c1_sub3-c1_bas4-c1_bas3","c2_bas3-c2_bas4-c2_sub3","c3_bas3-c3_bas4-c3_sub3","c2_sub3","c3_sub3-c3_sub5-c3_sub4","c1_sub5-c1_sub3-c1_sub4","c2_sub3-c2_sub4-c2_sub5","3sup","vehicles","c1_sub3","c3_sub3","c3_bas1,c3_sub2,c3_bas2,c3_sup2,c3_sup1,c3_sup3,c3_sup4","vegetables","mep","fep","4","sib","tev","zom","rif","fep","mep","rif","vegetables","animals","c2_sup6-c2_sub3-c2_sup5","c3_sup5-c3_sub3-c3_sup6","c1_sup6-c1_sub3-c1_sup5","animals","vegetables","vehicles","vegetables","vehicles","animals","vehicles","2","rab","English","wug","tob","","","4","3sub","3sub","3sub","3bas","one","3bas","3bas","one","one","2017-01-26T17:35:28Z","3VADEH0UHCXG8Q0PTM0K0EKTQ48PS5","","Approved","2017-01-26T17:38:59Z","3"
"4","2017-01-26T18:19:07Z","2017-01-26T18:18:13Z","34FNN24DCM9CYMS9YFOX9EY0VE45YN","3","3","3sup","3sup","1","1","1","2","2","3","2","c2_sub2,c2_sub1","c3_sub1,c3_sub2","c3_bas1,c3_sub2,c3_bas2,c3_sub1","c3_sub2,c3_sup4,c3_sub1,c3_sup2,c3_sup3,c3_bas1,c3_bas2,c3_sup1","c2_sub2,c2_sub1","c1_sub2,c1_bas1,c1_bas2,c1_sub1","c3_sub2,c3_sub1,c3_bas1,c3_bas2","c2_sub2,c2_sub1,c2_bas1,c2_bas2","c1_sub1,c1_sub2","c1_bas2,c1_bas1,c1_sub2,c1_sub1","vehicles","2","4","c1_sup4,c1_sup3,c1_bas1,c1_bas2,c1_sub2,c1_sub1,c1_sup1","Yes","","c2_bas4-c2_bas3-c2_sub3","c3_bas4-c3_sub3-c3_bas3","c1_bas3-c1_sub3-c1_bas4","c1_sub3","c3_sub3-c3_sub4-c3_sub5","c1_sub5-c1_sub3-c1_sub4","c2_sub5-c2_sub3-c2_sub4","3sup","vegetables","c3_sub3","c2_sub3","c2_sup4,c2_bas2,c2_bas1,c2_sub1,c2_sup3,c2_sub2,c2_sup1,c2_sup2","animals","mep","wug","4","fep","tob","zom","rab","mep","rab","wug","animals","vehicles","c1_sup6-c1_sup5-c1_sub3","c2_sub3-c2_sup6-c2_sup5","c3_sub3-c3_sup5-c3_sup6","animals","vegetables","vehicles","vehicles","animals","vegetables","vegetables","2","rif","English","tev","sib","Female","29","4","3sub","3sub","3sub","3bas","one","3bas","3bas","one","one","2017-01-26T17:35:39Z","3VADEH0UHCXG8Q0PTM0K0EKTQ48PS5","","Approved","2017-01-26T18:08:13Z","4"
"5","2017-01-26T19:11:07Z","2017-01-26T19:10:20Z","34FNN24DCM9CYMS9YFOX9EY0VE55YO","3","3","3bas","3bas","1","1","1","2","2","3","2","c2_sub2,c2_sub1","c1_sub2,c1_sub1","c1_bas2,c1_bas1,c1_sub2,c1_sub1","c1_bas2,c1_sub1,c1_bas1,c1_sub2","c2_sub2","c3_sub2,c3_sub1","c2_bas1,c2_sub1,c2_sup3,c2_bas2,c2_sup4,c2_sub2,c2_sup2,c2_sup1","c3_sub2,c3_bas2,c3_sup2,c3_sub1,c3_sup4,c3_sup1,c3_sup3,c3_bas1","c3_sub2,c3_sub1","c1_bas2,c1_sup4,c1_sup3,c1_sub1,c1_bas1,c1_sup1,c1_sub2,c1_sup2","animals","1","4","c2_sub1,c2_bas1,c2_sub2,c2_bas2","Yes","","c3_sub3-c3_sup5-c3_sup6","c2_sup6-c2_sup5-c2_sub3","c1_sub3-c1_sup6-c1_sup5","c3_sub3","c1_sub4-c1_sub5-c1_sub3","c3_sub5-c3_sub3-c3_sub4","c2_sub5-c2_sub4-c2_sub3","3bas","vehicles","c1_sub3","c2_sub3","c3_bas2,c3_sub2,c3_bas1,c3_sub1","vegetables","mep","rab","4","tob","rif","sib","zom","mep","zom","rab","vegetables","vehicles","c2_bas4-c2_bas3-c2_sub3","c3_bas4-c3_bas3-c3_sub3","c1_bas3-c1_sub3-c1_bas4","vegetables","animals","vehicles","animals","vehicles","vegetables","animals","2","wug","english","fep","tev","Female","47","4","3sub","3sub","3sub","3sup","one","3sup","3sup","one","one","2017-01-26T18:36:17Z","3VADEH0UHCXG8Q0PTM0K0EKTQ48PS5","","Approved","2017-01-26T19:00:20Z","5"
"6","2017-01-26T17:59:07Z","2017-01-26T17:58:47Z","34S9DKFK73PGOBYF2FKJ3VYMMZ3NYU","3","3","3bas","3bas","1","1","1","2","2","3","2","c3_sub1,c3_sub2,c3_bas2,c3_bas1,c3_sup3,c3_sup2","c1_sup2,c1_sup3,c1_sup1,c1_sup4","c2_sub2,c2_bas2,c2_bas1,c2_sub1","c1_sub2,c1_bas2,c1_sub1,c1_bas1","c1_sub1,c1_sub2,c1_bas2,c1_bas1","c3_sub1,c3_sub2","c3_sub2,c3_sub1,c3_bas2,c3_bas1","c2_sub2,c2_sub1","c2_sub1,c2_bas1,c2_sub2,c2_bas2","c1_bas2,c1_sub2,c1_sub1,c1_bas1","animals","2","4","c2_bas2,c2_bas1,c2_sub2,c2_sub1","Confused","i did nt really understand it but tried it hope its okay ","c2_sub3","c3_sub3","c1_sub3","c2_sub3-c2_sup6-c2_sup5","c2_sub3-c2_sub5-c2_sub4","c3_sub4-c3_sub3-c3_sub5","c1_sub3-c1_sub4-c1_sub5","3bas","vehicles","c1_sup5-c1_sub3-c1_sup6","c3_sup6-c3_sub3-c3_sup5","c3_sub1,c3_sub2,c3_bas2,c3_bas1","vegetables","tev","sib","4","fep","wug","zom","tob","fep","wug","zom","vegetables","animals","c2_sub3-c2_bas3-c2_bas4","c3_bas3-c3_sub3-c3_bas4","c1_bas3-c1_bas4-c1_sub3","vehicles","animals","vegetables","vehicles","animals","vegetables","vehicles","2","rif","english","mep","rab","Female","54","4","3sub","3sub","3sub","one","3sup","one","one","3sup","3sup","2017-01-26T17:35:42Z","3VADEH0UHCXG8Q0PTM0K0EKTQ48PS5","","Approved","2017-01-26T17:48:47Z","6"
"7","2017-01-26T18:21:07Z","2017-01-26T18:20:56Z","34T446B1C0E00C535H0WVSAQBIB0CP","3","3","one","one","1","1","1","2","2","3","2","c1_sub2,c1_bas2,c1_sup2,c1_sup4,c1_sup1,c1_sub1,c1_sup3,c1_bas1","c3_sub2,c3_bas2,c3_sup2,c3_sup1,c3_sub1,c3_sup3,c3_bas1,c3_sup4","c2_sub2,c2_sub1","c1_sub1,c1_sub2","c1_sub1,c1_sub2","c3_sub2,c3_sub1","c1_sub1,c1_sub2,c1_bas2,c1_bas1","c2_bas1,c2_bas2,c2_sub2,c2_sub1","c2_sup1,c2_bas2,c2_sup4,c2_bas1,c2_sub1,c2_sup3,c2_sub2","c3_sub1,c3_bas2,c3_sub2,c3_bas1","animals","3","4","c2_sub2,c2_sub1","NA","","c2_bas3-c2_sub3-c2_bas4","c1_bas4-c1_sub3-c1_bas3","c3_sub3-c3_bas3-c3_bas4","c2_sup5-c2_sub3-c2_sup6","c2_sub5-c2_sub4-c2_sub3","c3_sub4-c3_sub3-c3_sub5","c1_sub4-c1_sub5-c1_sub3","one","vehicles","c3_sub3-c3_sup6-c3_sup5","c1_sup6-c1_sup5-c1_sub3","c3_sub1,c3_sub2","vegetables","rif","fep","4","tob","mep","zom","tev","rab","wug","sib","animals","vegetables","c2_sub3","c3_sub3","c1_sub3","vehicles","animals","vegetables","vehicles","vegetables","animals","vehicles","1","rab","English","wug","sib","Male","34","4","3sub","3sub","3sub","3bas","3sup","3bas","3bas","3sup","3sup","2017-01-26T17:35:11Z","3VADEH0UHCXG8Q0PTM0K0EKTQ48PS5","","Approved","2017-01-26T18:10:56Z","7"
"8","2017-01-26T19:13:07Z","2017-01-26T19:12:07Z","358010RM5ET4WBHEZAK8UYLQ6WCXVG","3","3","3bas","3bas","1","1","1","2","2","3","2","c1_sub2,c1_sub1","c2_sub2,c2_sub1","c3_sub1,c3_sub2","c2_bas1,c2_bas2,c2_sub1,c2_sub2","c2_sub1,c2_sub2","c1_sub2,c1_sub1","c2_sub2,c2_bas2,c2_bas1,c2_sup4,c2_sub1,c2_sup3,c2_sup1","c1_sup4,c1_sup3,c1_sup2,c1_bas2,c1_sub2,c1_bas1,c1_sup1,c1_sub1","c3_sub2,c3_sub1","c3_sub2,c3_sub1,c3_bas1,c3_bas2,c3_sup3,c3_sup4,c3_sup1,c3_sup2","animals","3","4","c1_sub1,c1_bas2,c1_sub2,c1_bas1","NA","","c1_sup5-c1_sub3-c1_sup6","c2_sup6-c2_sub3-c2_sup5","c3_sub3-c3_sup6-c3_sup5","c3_sub3","c3_sub4-c3_sub5-c3_sub3","c1_sub4-c1_sub5-c1_sub3","c2_sub3-c2_sub4-c2_sub5","3bas","vegetables","c2_sub3","c1_sub3","c3_bas1,c3_bas2,c3_sub1,c3_sub2","vehicles","sib","fep","4","tob","tev","rab","zom","zom","fep","sib","vehicles","vegetables","c1_sub3-c1_bas4-c1_bas3","c3_sub3-c3_bas4-c3_bas3","c2_bas3-c2_bas4-c2_sub3","animals","vegetables","vehicles","vegetables","vehicles","animals","animals","2","wug","English","mep","rif","","","4","3sub","3sub","3sub","3sup","one","3sup","3sup","one","one","2017-01-26T18:27:37Z","3VADEH0UHCXG8Q0PTM0K0EKTQ48PS5","","Approved","2017-01-26T19:02:07Z","8"
"9",NA,"2017-01-26T19:26:25Z","35H6S234SA0AF2I3SWT5QNE7W4C65P","3","3","3bas","3bas","1","1","1","2","2","3","2","c1_sub2,c1_bas2,c1_sub1,c1_bas1","c3_bas1,c3_sub1,c3_sub2,c3_bas2","c2_sub2,c2_bas1,c2_sub1,c2_bas2","c2_sub2,c2_bas2,c2_bas1,c2_sub1","c1_sub2,c1_bas2,c1_sub1,c1_bas1","c3_sub2,c3_sub1","c3_bas1,c3_sup2,c3_sup4,c3_sup3,c3_sup1,c3_sub1,c3_bas2,c3_sub2","c2_bas2,c2_sub2,c2_sup1,c2_sub1,c2_sup3,c2_bas1,c2_sup4","c2_sub2,c2_sub1,c2_bas1,c2_bas2","c1_bas1,c1_sup4,c1_sub1,c1_bas2,c1_sup3,c1_sup1,c1_sub2,c1_sup2","vegetables","3","4","c3_bas2,c3_sub1,c3_sub2,c3_bas1","Yes","fun","c2_sup6-c2_sub3-c2_sup5","c3_sup5-c3_sub3-c3_sup6","c1_sub3-c1_sup6-c1_sup5","c2_sub3","c2_sub4-c2_sub5-c2_sub3","c3_sub3-c3_sub5-c3_sub4","c1_sub5-c1_sub4-c1_sub3","3bas","animals","c3_sub3","c1_sub3","c1_bas2,c1_sub1,c1_bas1,c1_sub2","vehicles","tev","mep","4","rif","rab","tob","wug","wug","tev","mep","animals","vegetables","c3_bas4-c3_sub3-c3_bas3","c1_bas3-c1_sub3-c1_bas4","c2_sub3-c2_bas3-c2_bas4","vehicles","animals","vegetables","vehicles","animals","vegetables","vehicles","2","zom","English","fep","sib","Female","58","4","3sub","3sub","3sub","3sup","one","3sup","3sup","one","one","2017-01-26T18:41:54Z","3VADEH0UHCXG8Q0PTM0K0EKTQ48PS5","","Submitted","2017-01-26T19:16:25Z","9"
"10","2017-01-26T17:57:07Z","2017-01-26T17:56:59Z","38SKSKU7R1X4ABGPMKI14F09RL5LIK","3","3","one","one","1","1","1","2","2","3","2","c3_bas1,c3_bas2,c3_sub2","c2_sub1,c2_sub2,c2_bas2","c1_sub1,c3_bas1,c1_bas1,c3_sub1,c3_sup3,c2_bas2,c2_sub1,c2_sup3,c3_bas2,c3_sup2,c3_sub2,c2_bas1,c3_sup1,c1_bas2,c1_sup3,c2_sup4,c2_sub2,c2_sup2,c2_sup1,c3_sup4,c1_sup4,c1_sup1,c1_sub2,c1_sup2","c1_sub2,c1_bas2,c1_bas1,c1_sub1","c1_bas1,c1_bas2,c1_sub1","c3_sub2,c3_sub1,c3_bas1","c1_bas1,c1_bas2,c1_sub2","c3_sub2,c3_bas1,c3_sup3","c1_sub1,c1_sub2,c1_bas2","c2_sub2,c2_sup2,c2_sub1","animals","3","4","c2_bas2,c2_sub1,c2_sub2","NA","","c3_sup6-c3_sub3-c3_sup5","c1_sub3-c1_sup5-c1_sup6","c2_sup6-c2_sup5-c2_sub3","c1_bas4-c1_bas3-c1_sub3","c2_sub5-c2_sub4-c2_sub3","c3_sub5-c3_sub4-c3_sub3","c1_sub3-c1_sub5-c1_sub4","one","vehicles","c2_bas3-c2_sub3-c2_bas4","c3_sub3-c3_bas4-c3_bas3","c3_bas1,c3_sub2,c3_bas2,c3_sub1","vegetables","tev","zom","4","rab","mep","sib","fep","rif","tob","wug","vehicles","animals","c2_sub3","c3_sub3","c1_sub3","vehicles","animals","vegetables","animals","vegetables","vehicles","vegetables","1","rif","English","tob","wug","","","4","3sub","3sub","3sub","3sup","3bas","3sup","3sup","3bas","3bas","2017-01-26T17:36:14Z","3VADEH0UHCXG8Q0PTM0K0EKTQ48PS5","","Approved","2017-01-26T17:46:59Z","10"
