subids,trial_num,category,condition,prop_sub,prop_bas,prop_sup,exp
1,9,vehicles,three_subordinate,1,0.5,0,5
2,9,animals,three_basic,1,1,0,5
3,9,vehicles,three_superordinate,1,1,1,5
4,9,vegetables,three_basic,1,1,0,5
5,9,vehicles,three_basic,1,1,0,5
6,9,vegetables,three_basic,0,0.5,0,5
7,9,animals,three_subordinate,1,0,0,5
8,9,vegetables,three_subordinate,1,0,0,5
9,9,animals,three_basic,1,1,0,5
10,9,vehicles,three_superordinate,1,1,1,5
11,9,vehicles,three_basic,1,1,0,5
12,9,vehicles,three_subordinate,1,1,0,5
13,9,vegetables,three_superordinate,1,1,0.75,5
14,9,vegetables,three_superordinate,1,1,1,5
15,9,animals,three_superordinate,1,1,1,5
16,9,animals,three_basic,1,1,0,5
17,9,animals,three_basic,1,1,0,5
18,9,vehicles,three_subordinate,1,0,0,5
19,9,vegetables,three_superordinate,0,0.5,0.75,5
20,9,vegetables,three_subordinate,1,0,0,5
21,9,vegetables,three_superordinate,1,1,0.25,5
22,9,animals,three_superordinate,1,1,1,5
23,9,vegetables,three_subordinate,1,1,0,5
24,9,vegetables,three_subordinate,1,0,0,5
25,9,animals,three_subordinate,1,0,0,5
26,9,animals,three_basic,1,1,1,5
27,9,animals,three_basic,1,1,0,5
28,9,animals,three_basic,1,1,0,5
29,9,animals,three_subordinate,1,1,0,5
30,9,animals,three_basic,1,1,0,5
31,9,animals,three_superordinate,1,1,1,5
32,9,animals,three_superordinate,1,1,1,5
33,9,animals,three_superordinate,0.5,0,0,5
34,9,vehicles,three_subordinate,1,0,0,5
35,9,vehicles,three_basic,1,1,0,5
36,9,animals,three_superordinate,1,1,0,5
37,9,vegetables,three_basic,1,1,0,5
38,9,vehicles,three_basic,1,1,0,5
39,9,vegetables,three_subordinate,1,0,0,5
40,9,vehicles,three_basic,1,1,0,5
41,9,vehicles,three_basic,0.5,1,0,5
42,9,vehicles,three_subordinate,1,1,0,5
43,9,animals,three_basic,1,1,0,5
44,9,vehicles,three_basic,1,0.5,0,5
45,9,vehicles,three_basic,1,1,0,5
46,9,vehicles,three_subordinate,1,0,0,5
47,9,animals,three_superordinate,1,1,0.75,5
48,9,animals,three_basic,1,1,0,5
49,9,vehicles,three_subordinate,1,1,0,5
50,9,vegetables,three_superordinate,1,1,1,5
1,8,vegetables,three_subordinate,1,1,0,5
2,8,vegetables,three_subordinate,1,0,0,5
3,8,vehicles,three_basic,1,1,0,5
4,8,vehicles,three_subordinate,1,0,0,5
5,8,animals,three_superordinate,1,1,1,5
6,8,animals,three_basic,1,0,0,5
7,8,vegetables,three_basic,1,1,0,5
8,8,vegetables,three_basic,1,1,0,5
9,8,animals,three_subordinate,1,0,0,5
10,8,vegetables,three_basic,1,1,0,5
11,8,vegetables,three_basic,1,1,0,5
12,8,vegetables,three_subordinate,1,1,0,5
13,8,vegetables,three_subordinate,1,1,0,5
14,8,vegetables,three_subordinate,1,0,0,5
15,8,vehicles,three_basic,1,0.5,0.25,5
16,8,vegetables,three_subordinate,1,0,0,5
17,8,vehicles,three_basic,1,1,0,5
18,8,animals,three_subordinate,1,0,0,5
19,8,vehicles,three_subordinate,0.5,0,0,5
20,8,vehicles,three_subordinate,0.5,0,0,5
21,8,animals,three_subordinate,1,0,0,5
22,8,vehicles,three_superordinate,1,1,1,5
23,8,vehicles,three_basic,1,1,0,5
24,8,animals,three_basic,1,1,0,5
25,8,vehicles,three_superordinate,1,1,1,5
26,8,vegetables,three_subordinate,1,0,0,5
27,8,vehicles,three_subordinate,1,0,0,5
28,8,animals,three_subordinate,1,0,0,5
29,8,vehicles,three_superordinate,1,1,1,5
30,8,vegetables,three_basic,1,1,0,5
31,8,vegetables,three_basic,1,1,0,5
32,8,vehicles,three_subordinate,1,0,0,5
33,8,vegetables,three_superordinate,1,0.5,0,5
34,8,vegetables,three_subordinate,1,0,0,5
35,8,vehicles,three_subordinate,1,0,0,5
36,8,vegetables,three_basic,1,1,0,5
37,8,vehicles,three_superordinate,1,1,0.75,5
38,8,vehicles,three_superordinate,1,1,1,5
39,8,animals,three_superordinate,1,1,1,5
40,8,vegetables,three_subordinate,1,0,0,5
41,8,animals,three_subordinate,1,0,0,5
42,8,animals,three_basic,1,1,0,5
43,8,animals,three_superordinate,1,1,1,5
44,8,vegetables,three_superordinate,1,1,0.75,5
45,8,animals,three_basic,1,1,0,5
46,8,vegetables,three_subordinate,1,0,0,5
47,8,animals,three_subordinate,1,0,0,5
48,8,animals,three_superordinate,1,1,0.75,5
49,8,vehicles,three_superordinate,1,0.5,0,5
50,8,vegetables,three_basic,1,1,0,5
1,12,animals,three_subordinate,1,0,0,5
2,12,vehicles,three_superordinate,1,1,0.75,5
3,12,vegetables,three_basic,1,0.5,0,5
4,12,vehicles,three_basic,1,1,0,5
5,12,vehicles,three_superordinate,1,1,1,5
6,12,vegetables,three_superordinate,0,0,0.5,5
7,12,vegetables,three_superordinate,1,1,1,5
8,12,animals,three_basic,1,1,0,5
9,12,vehicles,three_basic,1,0.5,0,5
10,12,vegetables,three_subordinate,1,1,0,5
11,12,animals,three_superordinate,1,1,1,5
12,12,animals,three_subordinate,1,0,0,5
13,12,animals,three_subordinate,1,0,0,5
