subids,trial_num,category,condition,prop_sub,prop_bas,prop_sup,exp
1,9,vehicles,three_superordinate,1,0.5,0.25,2
2,9,vehicles,three_superordinate,1,1,1,2
3,9,vegetables,three_basic,1,1,0,2
4,9,vegetables,three_basic,1,1,0,2
5,9,vehicles,three_subordinate,1,0,0,2
6,9,vegetables,three_superordinate,1,1,1,2
7,9,vehicles,three_basic,1,1,0,2
8,9,vegetables,three_subordinate,1,1,0,2
9,9,vehicles,three_basic,1,1,0,2
10,9,vehicles,three_superordinate,1,1,0.75,2
11,9,animals,three_superordinate,1,1,0,2
12,9,vehicles,three_superordinate,1,0,0.5,2
13,9,animals,three_basic,1,1,0,2
14,9,animals,three_subordinate,1,0,0,2
15,9,animals,three_basic,1,1,0,2
16,9,animals,three_subordinate,1,0,0,2
17,9,vegetables,three_basic,1,1,0,2
18,9,animals,three_basic,1,1,0,2
19,9,animals,three_basic,1,1,0,2
20,9,vegetables,three_subordinate,1,0,0,2
21,9,animals,three_basic,1,0,0,2
22,9,vegetables,three_basic,1,1,0,2
23,9,animals,three_basic,1,1,0,2
24,9,vegetables,three_basic,1,1,0,2
25,9,vehicles,three_basic,1,1,0,2
26,9,vegetables,three_basic,1,0.5,0,2
27,9,animals,three_subordinate,1,0,0,2
28,9,vegetables,three_subordinate,1,1,0,2
29,9,vegetables,three_superordinate,1,1,1,2
30,9,vegetables,three_superordinate,1,1,0.75,2
31,9,vegetables,three_subordinate,1,1,0,2
32,9,vehicles,three_subordinate,1,0,0,2
33,9,vegetables,three_subordinate,1,0,0,2
34,9,vehicles,three_basic,1,1,0,2
35,9,animals,three_basic,1,1,0,2
36,9,animals,three_subordinate,1,0,0,2
37,9,vehicles,three_subordinate,0.5,0,0,2
38,9,vegetables,three_basic,1,1,0,2
39,9,animals,three_subordinate,1,0,0,2
40,9,vegetables,three_basic,1,1,0,2
41,9,vegetables,three_subordinate,1,0,0,2
42,9,vehicles,three_subordinate,1,0,0,2
43,9,vehicles,three_subordinate,1,0,0,2
44,9,vehicles,three_subordinate,1,0,0,2
45,9,animals,three_subordinate,1,0,0,2
46,9,animals,three_superordinate,1,0,0,2
47,9,animals,three_subordinate,1,0,0,2
48,9,vehicles,three_superordinate,1,1,1,2
49,9,animals,three_superordinate,1,1,1,2
50,9,vehicles,three_basic,1,1,0,2
1,8,animals,three_basic,1,1,0,2
2,8,vehicles,three_basic,1,1,0,2
3,8,vegetables,three_superordinate,1,1,0.75,2
4,8,animals,three_superordinate,1,1,1,2
5,8,animals,three_superordinate,1,1,1,2
6,8,vegetables,three_subordinate,1,1,0,2
7,8,animals,three_basic,1,1,0,2
8,8,vehicles,three_subordinate,1,1,0,2
9,8,animals,three_basic,1,1,0,2
10,8,vehicles,three_basic,1,1,0,2
11,8,vehicles,three_subordinate,1,0,0,2
12,8,vehicles,three_subordinate,1,0,0,2
13,8,vehicles,three_subordinate,1,0,0,2
14,8,vegetables,three_basic,1,1,0,2
15,8,vegetables,three_superordinate,1,1,1,2
16,8,animals,three_superordinate,1,1,1,2
17,8,vehicles,three_basic,1,1,0,2
18,8,animals,three_subordinate,1,0,0,2
19,8,vegetables,three_superordinate,1,1,1,2
20,8,vehicles,three_subordinate,1,0,0,2
21,8,vehicles,three_basic,1,1,0,2
22,8,vegetables,three_subordinate,1,0,0,2
23,8,vehicles,three_basic,1,1,0,2
24,8,vehicles,three_superordinate,1,1,0.75,2
25,8,vegetables,three_superordinate,1,1,1,2
26,8,animals,three_superordinate,1,0,0,2
27,8,vegetables,three_basic,1,1,0,2
28,8,vegetables,three_basic,1,1,0,2
29,8,animals,three_subordinate,1,0,0,2
30,8,vegetables,three_basic,1,1,0,2
31,8,animals,three_superordinate,1,1,1,2
32,8,animals,three_basic,1,0,0,2
33,8,vehicles,three_superordinate,1,1,0.75,2
34,8,vegetables,three_subordinate,1,1,0,2
35,8,vehicles,three_basic,0.5,1,0,2
36,8,vehicles,three_basic,1,1,0,2
37,8,vegetables,three_basic,1,1,0,2
38,8,vehicles,three_basic,1,1,0,2
39,8,vegetables,three_subordinate,1,0,0,2
40,8,vehicles,three_subordinate,1,0,0,2
41,8,animals,three_basic,1,0,0,2
42,8,vegetables,three_subordinate,1,0,0,2
43,8,animals,three_basic,1,1,0,2
44,8,animals,three_superordinate,1,1,1,2
45,8,vehicles,three_basic,0.5,1,0.25,2
46,8,vehicles,three_subordinate,1,0,0,2
47,8,vehicles,three_superordinate,1,1,1,2
48,8,vegetables,three_superordinate,1,1,1,2
49,8,vehicles,three_subordinate,1,1,0,2
50,8,vegetables,three_basic,1,1,0,2
1,12,vegetables,three_basic,1,1,0,2
2,12,vehicles,three_subordinate,1,0,0,2
3,12,vehicles,three_subordinate,1,1,0,2
4,12,vehicles,three_superordinate,1,1,1,2
5,12,vegetables,three_superordinate,1,1,1,2
6,12,animals,three_basic,1,1,0,2
7,12,vegetables,three_superordinate,1,1,0.5,2
8,12,animals,three_superordinate,1,1,1,2
9,12,vegetables,three_subordinate,1,0,0,2
10,12,vegetables,three_subordinate,1,0,0,2
11,12,animals,three_subordinate,1,1,0,2
12,12,vegetables,three_subordinate,1,0,0,2
13,12,vegetables,three_superordinate,1,1,1,2
14,12,vehicles,three_basic,1,1,0,2
15,12,vegetables,three_subordinate,1,0,0,2
16,12,vehicles,three_subordinate,1,0,0,2
17,12,vegetables,three_subordinate,1,0,0,2
18,12,vehicles,three_subordinate,1,0,0,2
19,12,vehicles,three_subordinate,1,0,0,2
20,12,animals,three_subordinate,1,0,0,2
21,12,animals,three_subordinate,1,0,0,2
22,12,vehicles,three_subordinate,1,0,0,2
23,12,animals,three_superordinate,1,0,0,2
24,12,animals,three_basic,1,1,0,2
25,12,vehicles,three_superordinate,1,1,0.75,2
26,12,vehicles,three_subordinate,1,0,0,2
27,12,animals,three_basic,0.5,1,0,2
28,12,vehicles,three_basic,1,1,0,2
29,12,animals,three_superordinate,1,1,1,2
30,12,vegetables,three_subordinate,1,0,0,2
31,12,vehicles,three_basic,1,1,0,2
32,12,vegetables,three_superordinate,1,0,0,2
33,12,animals,three_superordinate,1,1,1,2
34,12,animals,three_basic,1,0.5,0,2
35,12,animals,three_superordinate,1,1,1,2
36,12,vegetables,three_basic,1,1,0,2
37,12,vehicles,three_basic,1,1,0,2
38,12,vegetables,three_subordinate,1,0,0,2
39,12,vegetables,three_superordinate,1,1,1,2
40,12,vegetables,three_superordinate,1,1,0.75,2
41,12,vehicles,three_basic,1,1,0,2
42,12,vehicles,three_basic,1,1,0.25,2
43,12,animals,three_superordinate,1,1,1,2
44,12,vegetables,three_subordinate,1,0,0,2
45,12,vehicles,three_subordinate,1,1,0,2
46,12,vegetables,three_superordinate,1,1,0.75,2
47,12,vehicles,three_basic,1,1,0,2
48,12,vegetables,three_subordinate,1,0,0,2
49,12,vegetables,three_basic,1,1,0,2
50,12,vehicles,three_superordinate,1,1,0.75,2
1,11,vegetables,three_subordinate,1,0,0,2
2,11,animals,three_subordinate,1,0,0,2
3,11,vehicles,three_superordinate,1,1,0.5,2
4,11,animals,three_basic,1,1,0,2
5,11,vehicles,three_superordinate,1,1,1,2
