"subids","trial_num","category","condition","prop_sub","prop_bas","prop_sup","exp"
1,9,"vegetables","three_basic",0,1,0,7
2,9,"vegetables","three_subordinate",1,0,0,7
3,9,"animals","three_basic",1,1,0,7
4,9,"vegetables","three_subordinate",1,1,0,7
5,9,"vehicles","three_subordinate",1,0,0,7
6,9,"animals","three_superordinate",1,1,1,7
7,9,"vehicles","three_subordinate",1,0,0,7
8,9,"vehicles","three_basic",1,1,0,7
9,9,"animals","three_superordinate",1,1,1,7
10,9,"vegetables","three_basic",1,1,0,7
11,9,"vegetables","three_subordinate",1,0,0,7
12,9,"vegetables","three_superordinate",1,1,0,7
13,9,"vegetables","three_basic",1,1,0,7
14,9,"vehicles","three_subordinate",1,1,0,7
15,9,"vegetables","three_subordinate",1,1,0,7
16,9,"animals","three_basic",1,1,0,7
17,9,"animals","three_subordinate",1,0,0,7
18,9,"vegetables","three_basic",1,1,0,7
19,9,"animals","three_subordinate",1,0,0,7
20,9,"vegetables","three_superordinate",1,1,1,7
21,9,"vehicles","three_subordinate",1,0,0,7
22,9,"vegetables","three_superordinate",1,1,1,7
23,9,"vehicles","three_subordinate",1,0,0,7
24,9,"vegetables","three_basic",0,0,0.25,7
25,9,"vehicles","three_basic",1,1,0,7
26,9,"vehicles","three_subordinate",0.5,0,0,7
27,9,"vehicles","three_subordinate",1,0,0,7
28,9,"animals","three_basic",1,1,0,7
29,9,"animals","three_basic",1,1,0,7
30,9,"animals","three_subordinate",1,0,0,7
31,9,"vehicles","three_superordinate",1,1,0.5,7
32,9,"animals","three_subordinate",1,0,0,7
33,9,"vehicles","three_superordinate",1,1,1,7
34,9,"vegetables","three_superordinate",1,1,1,7
35,9,"vegetables","three_subordinate",1,0,0,7
36,9,"animals","three_basic",1,1,0,7
37,9,"vehicles","three_superordinate",1,1,0,7
38,9,"vegetables","three_superordinate",1,0.5,0.25,7
39,9,"vehicles","three_basic",1,1,0,7
40,9,"animals","three_superordinate",1,1,1,7
41,9,"vehicles","three_subordinate",1,0,0,7
42,9,"vehicles","three_basic",1,1,0,7
43,9,"animals","three_basic",1,1,0,7
44,9,"animals","three_superordinate",1,1,1,7
45,9,"animals","three_basic",1,1,0,7
46,9,"animals","three_superordinate",1,1,0.75,7
