"","AutoApprovalTime","AssignmentId","trainBlock_T9","trainBlock_T8","condition_T12","condition_T11","trainBlock_T1","trainBlock_T3","trainBlock_T2","trainBlock_T5","trainBlock_T4","trainBlock_T7","trainBlock_T6","selected_T9","selected_T8","selected_T1","selected_T11","selected_T3","selected_T2","selected_T5","selected_T4","selected_T7","selected_T6","category_T10","education","trainBlock_T10","selected_T12","asses","comments","trainPics_T4","trainPics_T5","trainPics_T6","trainPics_T7","trainPics_T1","trainPics_T2","trainPics_T3","condition_T10","category_T12","trainPics_T8","trainPics_T9","selected_T10","category_T11","word_T8","word_T9","trainBlock_T12","word_T4","word_T5","word_T6","word_T7","word_T1","word_T2","word_T3","category_T8","category_T9","trainPics_T12","trainPics_T10","trainPics_T11","category_T1","category_T2","category_T3","category_T4","category_T5","category_T6","category_T7","enjoyment","word_T12","language","word_T10","word_T11","gender","age","trainBlock_T11","condition_T2","condition_T3","condition_T1","condition_T6","condition_T7","condition_T4","condition_T5","condition_T8","condition_T9","AcceptTime","HITId","Assignment","AssignmentStatus","SubmitTime","ApprovalTime","subids"
"1","2017-01-25T18:55:41Z","30OG32W0SUBII6HO2E8PWS664MWNEB","three","three","three_subordinate","three_basic","one","one","one","three","three","three","three","c2_sub2,c2_sub1,c2_bas2","c1_sub2,c1_bas1,c1_sub1,c1_bas2","c1_sub2,c1_sub1,c1_bas2","c2_sup1,c2_sup2,c2_sub1,c2_sub2,c2_sup4,c2_sup3,c2_bas1","c3_bas2,c3_bas1,c3_sub2,c3_sub1","c2_sub1,c2_sub2,c2_bas1","c1_sub2,c1_bas2,c1_bas1","c1_sup3,c1_sup2,c1_sup4,c1_sup1,c1_sub2,c1_sub1,c1_bas1,c1_bas2","c3_bas1,c3_sub1,c3_sub2,c3_bas2","c2_bas2,c2_sup3,c2_bas1,c2_sub2,c2_sub1,c2_sup2,c2_sup4","animals","2","three","c3_sub2,c3_sub1","Yes","","c1_sup5-c1_sup6-c1_sub3","c1_bas4-c1_sub3-c1_bas3","c2_sub3-c2_sup6-c2_sup5","c3_bas3-c3_bas4-c3_sub3","c1_sub3","c2_sub3","c3_sub3","three_superordinate","animals","c1_sub3-c1_sub5-c1_sub4","c2_sub4-c2_sub3-c2_sub5","c3_bas2,c3_sup3,c3_sub1,c3_sub2,c3_sup1,c3_sup2,c3_bas1,c3_sup4","vehicles","sib","zom","three","rab","wug","fep","mep","sib","zom","rif","vegetables","vehicles","c3_sub3-c3_sub5-c3_sub4","c3_sup5-c3_sub3-c3_sup6","c2_bas3-c2_bas4-c2_sub3","vegetables","vehicles","animals","vegetables","vegetables","vehicles","animals","2","rif","English","tev","tob","Male","27","three","one","one","one","three_superordinate","three_basic","three_superordinate","three_basic","three_subordinate","three_subordinate","2017-01-25T17:59:05Z","3R0WOCG21M9NY6P3DI4PFLLSXIJDUO","","Submitted","2017-01-25T18:45:41Z",NA,"1"
"2","2017-01-25T18:22:38Z","33NF62TLXJ2PLGIDJ2R01G2UFZNKJO","three","three","three_superordinate","three_superordinate","one","one","one","three","three","three","three","c3_bas1,c3_bas2,c3_sub1,c3_sub2","c1_sub1,c1_sub2","c1_sub1,c1_sub2","c1_bas2,c1_sub2,c1_sup4,c1_sup3,c1_sup2,c1_sub1,c1_sup1,c1_bas1","c2_sub1,c2_sub2","c3_sub2,c3_sub1","c3_sub2,c3_sub1","c2_bas1,c2_bas2,c2_sub1,c2_sub2","c2_sub1,c2_sub2","c3_sup3,c3_sup1,c3_sub1,c3_bas2,c3_sup2,c3_sub2,c3_sup4,c3_bas1","vegetables","4","three","c2_sub1,c2_sup4,c2_sup3,c2_bas2,c2_bas1,c2_sub2,c2_sup1","Yes","","c2_bas3-c2_bas4-c2_sub3","c3_sub5-c3_sub3-c3_sub4","c3_sub3-c3_sup6-c3_sup5","c2_sub5-c2_sub4-c2_sub3","c1_sub3","c3_sub3","c2_sub3","three_basic","vehicles","c1_sub5-c1_sub4-c1_sub3","c3_sub3-c3_bas3-c3_bas4","c1_bas1,c1_sub1,c1_sub2,c1_bas2","vegetables","wug","zom","three","fep","mep","rab","tob","wug","mep","tob","vegetables","animals","c2_sup5-c2_sup6-c2_sub3","c1_bas4-c1_bas3-c1_sub3","c1_sub3-c1_sup6-c1_sup5","vegetables","animals","vehicles","vehicles","animals","animals","vehicles","1","rif","English","tev","sib","Male","45","three","one","one","one","three_superordinate","three_subordinate","three_basic","three_subordinate","three_subordinate","three_basic","2017-01-25T17:58:58Z","3R0WOCG21M9NY6P3DI4PFLLSXIJDUO","","Approved","2017-01-25T18:12:38Z","2017-01-25T18:23:07Z","2"
"3","2017-01-25T19:46:11Z","34Q075JO1XDGD9V5PKBCEWRZ7KI10W","three","three","three_basic","three_superordinate","one","one","one","three","three","three","three","c2_sup1,c2_sup2,c2_sup3,c2_bas1,c2_sup4,c2_bas2,c2_sub1,c2_sub2","c2_sub2,c2_sub1,c2_bas2,c2_bas1","c2_sub2,c2_sub1","c3_sup4,c3_sup1,c3_bas1,c3_sup2,c3_sub1,c3_sub2,c3_bas2,c3_sup3","c1_sub1,c1_bas2,c1_sub2,c1_bas1","c3_bas1,c3_bas2,c3_sub1,c3_sub2","c3_sub2,c3_bas1,c3_bas2,c3_sub1","c1_sub1,c1_sub2,c1_bas2,c1_bas1","c3_sub2,c3_sub1","c2_sub1,c2_sub2","vegetables","3","three","c1_bas1,c1_sub1,c1_sub2","NA","Very cool!","c1_sub5-c1_sub3-c1_sub4","c3_bas3-c3_bas4-c3_sub3","c2_sub3-c2_sub4-c2_sub5","c3_sub4-c3_sub5-c3_sub3","c2_sub3","c3_sub3","c1_sub3","three_superordinate","vegetables","c2_bas4-c2_bas3-c2_sub3","c2_sup5-c2_sup6-c2_sub3","c1_sub2,c1_sup3,c1_sub1,c1_sup1,c1_bas1,c1_bas2,c1_sup2,c1_sup4","animals","mep","tev","three","rab","wug","fep","zom","fep","zom","rab","vehicles","vehicles","c1_bas4-c1_bas3-c1_sub3","c1_sub3-c1_sup5-c1_sup6","c3_sup6-c3_sup5-c3_sub3","vehicles","animals","vegetables","vegetables","animals","vehicles","animals","2","rif","english","tob","sib","","","three","one","one","one","three_subordinate","three_subordinate","three_subordinate","three_basic","three_basic","three_superordinate","2017-01-25T18:57:15Z","3R0WOCG21M9NY6P3DI4PFLLSXIJDUO","","Submitted","2017-01-25T19:36:11Z",NA,"3"
"4","2017-01-25T18:25:04Z","35L9RVQFCOI7X6SZPGSHVQVD4YHHUD","three","three","three_basic","three_subordinate","one","one","one","three","three","three","three","c1_bas1,c1_sub2,c1_bas2,c1_sub1","c2_sub1,c2_sub2","c3_bas1,c3_sub1,c3_sub2,c3_bas2","c3_sub2,c3_sub1,c3_bas2,c3_bas1,c3_sup1,c3_sup3,c3_sup4","c1_bas2,c1_sub2,c1_bas1,c1_sub1","c2_sub2,c2_bas2,c2_bas1,c2_sub1","c3_sup3,c3_sup4,c3_sub2,c3_sub1,c3_bas1,c3_sup2,c3_bas2,c3_sup1","c1_sup1,c1_sup3,c1_sup2,c1_sup4","c1_sub1,c1_sub2","c2_bas2,c2_sub2,c2_sup2,c2_sup4,c2_sup3,c2_sup1,c2_sub1,c2_bas1","animals","2","three","c2_sub2,c2_sub1,c2_bas2,c2_bas1","Yes","","c1_sup5-c1_sup6-c1_sub3","c3_sup5-c3_sub3-c3_sup6","c2_sub3-c2_sup5-c2_sup6","c1_sub4-c1_sub3-c1_sub5","c3_sub3","c2_sub3","c1_sub3","three_basic","vehicles","c2_sub3-c2_sub5-c2_sub4","c1_sub3-c1_bas3-c1_bas4","c3_bas2,c3_sub1,c3_sub2,c3_bas1","animals","mep","tev","three","rab","fep","zom","rif","sib","mep","rif","vehicles","vegetables","c2_bas3-c2_sub3-c2_bas4","c3_bas4-c3_sub3-c3_bas3","c3_sub5-c3_sub4-c3_sub3","animals","vehicles","vegetables","vegetables","animals","vehicles","vegetables","1","tob","English","wug","sib","Male","24","three","one","one","one","three_superordinate","three_subordinate","three_superordinate","three_superordinate","three_subordinate","three_basic","2017-01-25T17:58:57Z","3R0WOCG21M9NY6P3DI4PFLLSXIJDUO","","Submitted","2017-01-25T18:15:04Z",NA,"4"
"5","2017-01-25T18:13:40Z","35LDD5557A4FMOOYMZ4SH8UBJTIKMS","three","three","three_superordinate","three_basic","one","one","one","three","three","three","three","c2_sub1,c2_sub2,c2_bas1,c2_bas2","c3_sub2,c3_sup4,c3_bas1,c3_sup2,c3_bas2,c3_sub1,c3_sup3,c3_sup1","c3_sub1,c3_sub2,c3_bas1,c3_bas2","c1_sub2,c1_sub1,c1_bas1,c1_bas2","c1_bas1,c1_sub1,c1_sub2,c1_bas2","c2_sub1,c2_bas1,c2_bas2,c2_sub2","c3_sub2,c3_sub1,c3_bas1,c3_bas2","c2_bas2,c2_sub1,c2_sub2","c1_sub2,c1_sub1,c1_bas1,c1_bas2,c1_sup1,c1_sup3","c1_sub2,c1_bas2,c1_sup1,c1_sup4,c1_sub1,c1_sup2,c1_bas1,c1_sup3","animals","1","three","c2_sup1,c2_bas2,c2_bas1,c2_sup3,c2_sup4,c2_sub2,c2_sub1,c2_sup2","Yes","","c2_sub3-c2_sub5-c2_sub4","c3_sub3-c3_sub4-c3_sub5","c1_sub3-c1_sup6-c1_sup5","c1_sub5-c1_sub4-c1_sub3","c3_sub3","c2_sub3","c1_sub3","three_basic","vehicles","c3_sup5-c3_sup6-c3_sub3","c2_bas4-c2_sub3-c2_bas3","c3_sub2,c3_bas1,c3_bas2,c3_sub1","vegetables","tob","fep","three","sib","zom","wug","rif","zom","sib","rif","animals","vehicles","c2_sub3-c2_sup5-c2_sup6","c3_sub3-c3_bas4-c3_bas3","c1_sub3-c1_bas4-c1_bas3","animals","vehicles","vegetables","vehicles","animals","vegetables","vegetables","1","tev","English","mep","rab","Female","52","three","one","one","one","three_superordinate","three_subordinate","three_subordinate","three_subordinate","three_superordinate","three_basic","2017-01-25T17:59:07Z","3R0WOCG21M9NY6P3DI4PFLLSXIJDUO","","Approved","2017-01-25T18:03:40Z","2017-01-25T18:14:07Z","5"
"6","2017-01-25T18:55:17Z","36TFCYNS44AZEAMUUL34FXUHYGYHX5","three","three","three_superordinate","three_superordinate","one","one","one","three","three","three","three","c3_bas2","c1_sub1,c1_sub2","c2_sup3","c2_sup4,c2_sup3","c3_sup4","c2_bas2,c2_sup4","c1_sup1,c3_sub1","c1_sub2","c1_sup3,c1_bas2","c1_sub2,c1_sup1","vehicles","0","three","c2_sup4,c2_sup3","NA","","c1_sub4-c1_sub3-c1_sub5","c2_sub5-c2_sub4-c2_sub3","c3_sub5-c3_sub3-c3_sub4","c2_sup5-c2_sub3-c2_sup6","c2_sub3","c3_sub3","c1_sub3","three_basic","vegetables","c3_sub3-c3_bas3-c3_bas4","c1_bas4-c1_bas3-c1_sub3","c3_bas2","animals","wug","rab","three","tev","tob","zom","fep","tob","zom","tev","animals","vegetables","c1_sup6-c1_sup5-c1_sub3","c2_bas3-c2_sub3-c2_bas4","c3_sub3-c3_sup6-c3_sup5","vehicles","animals","vegetables","vegetables","vehicles","animals","vehicles","1","mep","english","rif","sib","","","three","one","one","one","three_subordinate","three_superordinate","three_subordinate","three_subordinate","three_basic","three_basic","2017-01-25T17:59:30Z","3R0WOCG21M9NY6P3DI4PFLLSXIJDUO","","Submitted","2017-01-25T18:45:17Z",NA,"6"
"7","2017-01-25T18:19:14Z","37U1UTWH9VMMO3ZPII36D2FUUGNR84","three","three","three_superordinate","three_subordinate","one","one","one","three","three","three","three","c3_sub1,c3_sub2","c1_sub2,c1_sub1,c1_bas1,c1_bas2","c3_bas1,c3_bas2,c3_sub1,c3_sub2","c1_sub2,c1_sub1","c1_sub1,c1_sub2,c1_bas1,c1_bas2","c2_sub1,c2_bas1,c2_bas2,c2_sub2","c3_bas2,c3_sup1,c3_bas1,c3_sub2,c3_sub1,c3_sup3,c3_sup2,c3_sup4","c2_sub2,c2_sup1,c2_bas1,c2_sub1,c2_bas2","c3_bas2,c3_sub1,c3_sub2,c3_bas1","c2_bas1,c2_sub1,c2_bas2,c2_sub2","vehicles","2","three","c1_sub1,c1_sup3,c1_bas1,c1_sup1,c1_sup4,c1_sub2,c1_bas2,c1_sup2","Yes","It was interesting and I enjoyed it, thanks!","c2_sub5-c2_sub4-c2_sub3","c3_sup5-c3_sup6-c3_sub3","c2_bas4-c2_bas3-c2_sub3","c3_sub3-c3_bas3-c3_bas4","c3_sub3","c2_sub3","c1_sub3","three_superordinate","vegetables","c1_bas4-c1_sub3-c1_bas3","c3_sub4-c3_sub3-c3_sub5","c2_bas2,c2_bas1,c2_sup1,c2_sub2,c2_sub1,c2_sup4,c2_sup3,c2_sup2","vegetables","fep","rif","three","tob","mep","sib","tev","rif","tob","wug","vegetables","animals","c1_sup5-c1_sub3-c1_sup6","c2_sub3-c2_sup5-c2_sup6","c1_sub4-c1_sub3-c1_sub5","animals","vehicles","vegetables","vehicles","animals","vehicles","animals","2","zom","English","rab","wug","Female","28","three","one","one","one","three_basic","three_basic","three_subordinate","three_superordinate","three_basic","three_subordinate","2017-01-25T17:59:17Z","3R0WOCG21M9NY6P3DI4PFLLSXIJDUO","","Approved","2017-01-25T18:09:14Z","2017-01-25T18:20:07Z","7"
"8","2017-01-25T18:14:45Z","37W3JXSD6686B57TUGB6ZEBDFA5YWS","three","three","three_basic","three_basic","one","one","one","three","three","three","three","c1_sub2,c1_sub1","c1_bas2,c1_sub2,c1_bas1,c1_sub1","c3_bas1,c3_sub2,c3_bas2,c3_sub1","c2_bas1,c2_bas2,c2_sub2","c1_sub2,c1_sub1,c1_bas1,c1_bas2","c2_sub2,c2_bas2,c2_sub1,c2_bas1","c1_sup1,c1_sup4,c1_bas1,c1_bas2,c1_sub2,c1_sup2,c1_sub1,c1_sup3","c2_sub1,c2_bas2,c2_sub2,c2_bas1,c2_sup2,c2_sup1,c2_sup4,c2_sup3","c3_sub2,c3_sub1","c3_bas1,c3_bas2,c3_sup4,c3_sub1,c3_sup3,c3_sup2,c3_sup1,c3_sub2","vehicles","1","three","c3_bas1,c3_sub1,c3_bas2,c3_sub2","NA","","c2_sup6-c2_sub3-c2_sup5","c1_sup6-c1_sub3-c1_sup5","c3_sub3-c3_sup6-c3_sup5","c3_sub4-c3_sub5-c3_sub3","c3_sub3","c2_sub3","c1_sub3","three_subordinate","animals","c1_sub3-c1_bas4-c1_bas3","c1_sub3-c1_sub5-c1_sub4","c2_sub2,c2_sub1","vehicles","rab","tev","three","zom","wug","mep","fep","fep","tob","tev","vegetables","vegetables","c3_bas4-c3_sub3-c3_bas3","c2_sub5-c2_sub3-c2_sub4","c2_bas3-c2_bas4-c2_sub3","animals","vehicles","vegetables","vehicles","vegetables","animals","animals","2","sib","English","tob","rif","","","three","one","one","one","three_superordinate","three_subordinate","three_superordinate","three_superordinate","three_basic","three_subordinate","2017-01-25T17:59:02Z","3R0WOCG21M9NY6P3DI4PFLLSXIJDUO","","Approved","2017-01-25T18:04:45Z","2017-01-25T18:15:07Z","8"
"9","2017-01-25T18:13:43Z","38YMOXR4MUZ4SLXNOXGEGNRKG0CW6Q","three","three","three_basic","three_superordinate","one","one","one","three","three","three","three","c3_sub2,c3_bas1,c3_bas2,c3_sub1","c3_sub2,c3_sub1","c2_sub1,c2_bas1,c2_sub2,c2_bas2","c3_sup2,c3_sub2,c3_sup1,c3_bas2,c3_sub1,c3_bas1,c3_sup3,c3_sup4","c3_sub2,c3_sub1","c1_sub1,c1_sub2,c1_bas2,c1_bas1","c1_sup2,c1_sup4,c1_sup3","c1_sub2,c1_bas1,c1_bas2,c1_sub1","c2_sub2,c2_bas1,c2_sup2,c2_bas2,c2_sub1,c2_sup1,c2_sup3","c1_sub2,c1_sub1","vehicles","3","three","c2_sub2,c2_sub1,c2_bas1","NA","It was fun except it was lagging.  There was a long delay for each click. Even here too as I type the comments.  Thank you.  ","c1_sub3-c1_bas4-c1_bas3","c1_sup6-c1_sup5-c1_sub3","c1_sub4-c1_sub3-c1_sub5","c2_sup6-c2_sub3-c2_sup5","c2_sub3","c1_sub3","c3_sub3","three_subordinate","vehicles","c3_sub5-c3_sub4-c3_sub3","c3_bas4-c3_bas3-c3_sub3","c2_sub2,c2_sub1","animals","rif","tev","three","tob","sib","rab","zom","mep","rab","rif","animals","animals","c2_bas4-c2_sub3-c2_bas3","c2_sub3-c2_sub4-c2_sub5","c3_sup5-c3_sub3-c3_sup6","vehicles","vegetables","animals","vegetables","vegetables","vegetables","vehicles","1","fep","English","mep","wug","","","three","one","one","one","three_subordinate","three_superordinate","three_basic","three_superordinate","three_subordinate","three_basic","2017-01-25T17:59:09Z","3R0WOCG21M9NY6P3DI4PFLLSXIJDUO","","Approved","2017-01-25T18:03:43Z","2017-01-25T18:14:07Z","9"
"10","2017-01-25T18:14:41Z","3A1PQ49WVHHRO911NSIXKOQGT1K1HY","three","three","three_subordinate","three_subordinate","one","one","one","three","three","three","three","c2_sup1,c2_sup4,c2_sup2,c2_bas2,c2_bas1,c2_sup3,c2_sub2,c2_sub1","c1_sub2,c1_bas1,c1_bas2,c1_sub1","c1_sub2,c1_sub1,c1_bas1,c1_bas2","c3_sub1,c3_sub2","c3_sub1,c3_sub2,c3_bas1,c3_bas2","c2_bas1,c2_sub2,c2_sub1,c2_bas2","c1_bas2,c1_sup3,c1_sup2,c1_sup4,c1_sub1,c1_sub2,c1_sup1,c1_bas1","c3_sub1,c3_bas2,c3_bas1,c3_sub2","c3_sub2,c3_sup4,c3_bas2,c3_sub1,c3_bas1,c3_sup2,c3_sup1,c3_sup3","c2_sub2,c2_sub1","vehicles","1","three","c1_sub1,c1_sub2,c1_bas2,c1_bas1","Yes","","c3_bas4-c3_sub3-c3_bas3","c1_sub3-c1_sup5-c1_sup6","c2_sub3-c2_sub4-c2_sub5","c3_sup5-c3_sub3-c3_sup6","c1_sub3","c2_sub3","c3_sub3","three_basic","vegetables","c1_sub3-c1_bas4-c1_bas3","c2_sup5-c2_sub3-c2_sup6","c2_bas2,c2_sub2,c2_bas1,c2_sub1","animals","sib","fep","three","rab","tev","wug","tob","rif","wug","zom","vegetables","vehicles","c1_sub5-c1_sub3-c1_sub4","c2_bas3-c2_bas4-c2_sub3","c3_sub5-c3_sub4-c3_sub3","vegetables","vehicles","animals","animals","vegetables","vehicles","animals","1","rif","English","mep","zom","Male","31","three","one","one","one","three_subordinate","three_superordinate","three_basic","three_superordinate","three_basic","three_superordinate","2017-01-25T17:59:00Z","3R0WOCG21M9NY6P3DI4PFLLSXIJDUO","","Approved","2017-01-25T18:04:41Z","2017-01-25T18:15:07Z","10"
