Time,Action,Data
2017/08/25 13:31:04,Create,"{u'description': u'Fun word game! (5 mins)', u'title': u'Word game', u'url': u'https://langcog.stanford.edu/expts/MLL/XTMEM/exp11/exp11.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 90}, u'frame_height': 450, u'experimenter': u'Molly Lewis', u'keywords': u'language, word game', u'auto_approval_delay': u'10 minutes', u'reward': 0.5, u'server_log_path': u'https://langcog.stanford.edu/cgi-bin/cosub/log_submission.php'}"
2017/08/25 13:36:23,Create,"{u'description': u'Fun word game! (5 mins)', u'title': u'Word game', u'url': u'https://langcog.stanford.edu/expts/MLL/XTMEM/exp11/exp11.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 90}, u'frame_height': 450, u'experimenter': u'Molly Lewis', u'keywords': u'language, word game', u'auto_approval_delay': u'10 minutes', u'reward': 0.5, u'server_log_path': u'https://langcog.stanford.edu/cgi-bin/cosub/log_submission.php'}"
