subids,trial_num,category,condition,prop_sub,prop_bas,prop_sup,exp
1,9,vehicles,3bas,1,0,0,4
2,9,vegetables,3bas,1,0.5,0,4
3,9,animals,3bas,1,1,0,4
4,9,animals,3bas,1,1,0,4
5,9,vehicles,one,1,0,0,4
6,9,vegetables,3bas,1,1,0,4
7,9,vehicles,3bas,1,1,0,4
8,9,animals,3bas,1,0,0,4
9,9,vehicles,3bas,1,1,0,4
10,9,vehicles,3sup,1,1,1,4
11,9,vehicles,one,1,1,0,4
12,9,animals,one,1,0,0,4
13,9,vehicles,3bas,1,1,0,4
14,9,vehicles,3bas,1,1,0,4
15,9,animals,3bas,1,1,0,4
16,9,animals,one,1,0,0,4
17,9,animals,3sup,1,0,0,4
18,9,vehicles,one,1,0,0,4
19,9,animals,3bas,1,0,0,4
20,9,animals,3bas,1,1,0,4
21,9,animals,3bas,1,1,0,4
22,9,vehicles,3bas,0.5,1,0,4
23,9,animals,3bas,1,1,0,4
24,9,animals,3bas,1,1,0,4
25,9,vegetables,3bas,1,1,0,4
26,9,vehicles,3bas,0,0.5,0,4
27,9,animals,one,1,1,0,4
28,9,vegetables,3bas,1,1,0,4
29,9,vegetables,one,0,1,0,4
30,9,vegetables,one,1,0,0,4
31,9,vegetables,one,1,0,0,4
32,9,vegetables,one,1,0,0,4
33,9,vegetables,3sup,1,1,0.5,4
34,9,vegetables,one,1,0,0,4
35,9,vehicles,3sup,1,1,1,4
36,9,animals,3sup,1,1,1,4
37,9,vegetables,one,1,0,0,4
38,9,vegetables,3sup,1,1,0,4
39,9,animals,3sup,1,1,1,4
40,9,animals,3bas,0.5,1,0,4
41,9,vehicles,one,0.5,0.5,0,4
42,9,vehicles,3sup,1,1,1,4
43,9,vegetables,3bas,1,1,0,4
44,9,animals,3sup,0.5,0,0,4
45,9,vehicles,3sup,1,1,1,4
46,9,vehicles,3bas,1,1,0,4
47,9,animals,3sup,1,1,0.5,4
48,9,vegetables,3sup,1,1,0.75,4
49,9,animals,one,1,0,0,4
50,9,animals,one,1,0,0,4
1,8,vegetables,3bas,1,0.5,0,4
2,8,animals,3bas,0.5,1,0,4
3,8,vehicles,3bas,1,1,0,4
4,8,vehicles,3bas,1,0.5,0,4
5,8,animals,one,1,0,0,4
6,8,animals,3bas,1,1,0,4
7,8,animals,3bas,1,1,0,4
8,8,vegetables,3bas,1,1,0,4
9,8,vegetables,3bas,1,1,0,4
10,8,vegetables,3sup,1,1,1,4
11,8,vegetables,one,1,1,0,4
12,8,vegetables,one,1,0,0,4
13,8,animals,3bas,1,0.5,0,4
14,8,animals,3bas,0.5,0.5,0,4
15,8,vehicles,3bas,1,1,0,4
16,8,vehicles,one,1,0,0,4
17,8,vegetables,3sup,1,0,0,4
18,8,animals,one,1,0,0,4
19,8,vegetables,3bas,1,1,0,4
20,8,vegetables,3bas,1,1,0,4
21,8,vehicles,3bas,1,1,0,4
22,8,vegetables,3bas,0.5,1,0,4
23,8,vegetables,3bas,1,1,0,4
24,8,vehicles,3bas,1,1,0,4
25,8,vehicles,3bas,1,1,0,4
26,8,vegetables,3bas,0,0.5,0,4
27,8,vehicles,one,1,0,0,4
28,8,vehicles,3bas,1,1,0,4
29,8,animals,one,1,0,0,4
30,8,animals,one,1,0,0,4
31,8,vehicles,one,1,0,0,4
32,8,animals,one,1,0,0,4
33,8,animals,3sup,1,1,0.75,4
34,8,vehicles,one,1,0,0,4
35,8,animals,3sup,1,1,1,4
36,8,vegetables,3sup,1,1,1,4
37,8,animals,one,1,0,0,4
38,8,vehicles,3sup,1,1,0,4
39,8,vegetables,3sup,1,1,1,4
40,8,vegetables,3bas,1,1,0,4
41,8,animals,one,1,0,0,4
42,8,vegetables,3sup,0,0,1,4
43,8,animals,3bas,1,1,0,4
44,8,vegetables,3sup,0,0,0.25,4
45,8,vegetables,3sup,1,1,1,4
46,8,animals,3bas,1,1,0,4
47,8,vegetables,3sup,1,1,1,4
48,8,animals,3sup,1,1,1,4
49,8,vegetables,one,1,0,0,4
50,8,vegetables,one,1,0,0,4
1,12,vegetables,3sup,1,0,0,4
2,12,animals,one,1,0.5,0,4
3,12,vegetables,one,1,0,0,4
4,12,vegetables,one,1,0,0,4
5,12,animals,3bas,1,1,0,4
6,12,animals,one,1,0,0,4
7,12,animals,one,1,0,0,4
8,12,vegetables,3sup,1,1,0.75,4
9,12,vegetables,3sup,1,1,0.75,4
10,12,vegetables,3bas,1,1,0,4
11,12,animals,3bas,1,1,0,4
12,12,animals,3sup,1,1,1,4
13,12,animals,one,1,0,0,4
14,12,vegetables,3sup,1,1,1,4
15,12,animals,one,1,0,0,4
16,12,vegetables,3bas,1,1,0,4
17,12,animals,3bas,1,0,0,4
18,12,vehicles,3bas,1,1,0,4
19,12,animals,3sup,1,0.5,0.25,4
20,12,vehicles,3sup,1,1,1,4
21,12,animals,one,1,0,0,4
22,12,vegetables,one,1,1,0,4
23,12,vehicles,one,1,0,0,4
24,12,vegetables,one,1,0,0,4
25,12,vehicles,one,1,0,0,4
26,12,vegetables,3sup,0,1,0,4
27,12,vegetables,3bas,1,1,0,4
28,12,animals,one,1,0,0,4
29,12,vehicles,3bas,1,1,0,4
30,12,animals,3sup,1,1,1,4
31,12,animals,3sup,1,1,1,4
32,12,animals,3bas,0.5,1,0,4
33,12,vegetables,one,1,0,0,4
34,12,vegetables,3bas,1,1,0,4
35,12,vegetables,one,1,0,0,4
36,12,vehicles,3bas,1,1,0,4
37,12,vehicles,3sup,1,1,0.75,4
38,12,animals,one,1,0,0,4
39,12,vegetables,one,1,0,0,4
40,12,animals,one,1,0,0,4
41,12,vehicles,3bas,1,1,0,4
42,12,vehicles,3bas,1,1,0,4
43,12,vehicles,one,1,0,0,4
44,12,vegetables,one,1,0,0,4
45,12,animals,3bas,1,1,0,4
46,12,vegetables,one,1,0,0,4
47,12,vehicles,3bas,1,1,0,4
48,12,vehicles,3bas,0.5,1,0,4
49,12,animals,3bas,1,1,0,4
50,12,animals,3sup,1,1,1,4
1,11,animals,3sup,1,0,0,4
2,11,vehicles,one,0.5,1,0,4
3,11,animals,one,1,0,0,4
4,11,vehicles,one,1,0,0,4
5,11,vehicles,3bas,1,1,0,4
6,11,vehicles,one,1,0.5,0,4
7,11,vehicles,one,1,0,0,4
8,11,animals,3sup,1,1,1,4
9,11,vehicles,3sup,1,1,1,4
10,11,animals,3bas,1,1,0,4
11,11,vegetables,3bas,1,1,0,4
12,11,vegetables,3sup,1,1,1,4
13,11,vehicles,one,1,0,0,4
14,11,animals,3sup,1,1,0.75,4
15,11,vegetables,one,1,0,0,4
16,11,vehicles,3bas,1,1,0,4
17,11,vegetables,3bas,1,1,0,4
18,11,animals,3bas,1,1,0,4
19,11,vegetables,3sup,1,0,0,4
20,11,animals,3sup,1,1,1,4
21,11,vegetables,one,0.5,0,0,4
22,11,animals,one,1,0.5,0,4
23,11,vegetables,one,1,0,0,4
24,11,animals,one,1,0,0,4
25,11,vegetables,one,1,0,0,4
26,11,vehicles,3sup,0,0.5,0,4
27,11,animals,3bas,1,1,0,4
28,11,vehicles,one,1,0,0,4
29,11,vegetables,3bas,1,1,0,4
30,11,vegetables,3sup,1,1,1,4
31,11,vehicles,3sup,1,1,1,4
32,11,vegetables,3bas,1,1,0,4
33,11,animals,one,1,0,0,4
34,11,vehicles,3bas,0.5,1,0,4
35,11,animals,one,1,0,0,4
36,11,vegetables,3bas,1,1,0,4
37,11,vegetables,3sup,1,1,1,4
38,11,vegetables,one,1,0,0,4
39,11,animals,one,1,0,0,4
40,11,vegetables,one,1,0,0,4
41,11,vegetables,3bas,1,1,0,4
42,11,vegetables,3bas,1,1,0,4
43,11,vegetables,one,1,0,0,4
44,11,animals,one,0.5,0,0,4
45,11,vehicles,3bas,1,1,0,4
46,11,vehicles,one,0.5,0,0,4
47,11,animals,3bas,1,1,0,4
48,11,vegetables,3bas,1,1,0,4
49,11,vegetables,3bas,1,1,0,4
50,11,vehicles,3sup,1,1,1,4
1,1,vegetables,3sub,1,0.5,0,4
2,1,vegetables,3sub,1,0.5,0,4
3,1,vehicles,3sub,1,0,0,4
4,1,animals,3sub,1,0,0,4
5,1,vehicles,3sub,1,0,0,4
6,1,animals,3sub,1,0,0,4
7,1,animals,3sub,1,0,0,4
8,1,vegetables,3sub,1,0.5,0,4
9,1,vehicles,3sub,1,0,0,4
10,1,animals,3sub,1,0,0,4
11,1,animals,3sub,1,0,0,4
12,1,vegetables,3sub,1,1,0,4
13,1,animals,3sub,1,1,0,4
14,1,animals,3sub,1,0,0,4
15,1,vegetables,3sub,1,1,0,4
16,1,vehicles,3sub,0.5,0,0,4
17,1,vegetables,3sub,1,0,0,4
18,1,vehicles,3sub,1,0.5,0,4
19,1,vehicles,3sub,0.5,0.5,0,4
20,1,animals,3sub,1,0,0,4
21,1,animals,3sub,1,0,0,4
22,1,vehicles,3sub,1,0.5,0,4
23,1,vegetables,3sub,1,0,0,4
24,1,animals,3sub,1,0,0,4
25,1,vehicles,3sub,1,1,0,4
26,1,vegetables,3sub,1,0,0,4
27,1,animals,3sub,3,3,3,4
28,1,animals,3sub,1,0,0,4
29,1,vegetables,3sub,1,0,0,4
30,1,animals,3sub,1,0,0,4
31,1,vegetables,3sub,1,0,0,4
32,1,vegetables,3sub,1,0.5,0,4
