subids,trial_num,category,condition,prop_sub,prop_bas,prop_sup,exp
1,9,vegetables,three_superordinate,1,1,1,11
2,9,vehicles,one,1,0,0,11
3,9,animals,one,1,0,0,11
4,9,vehicles,three_superordinate,1,0,0.25,11
5,9,vegetables,three_superordinate,1,1,1,11
6,9,animals,one,1,0,0,11
7,9,vehicles,one,1,0,0,11
8,9,vegetables,one,1,0,0,11
9,9,animals,one,1,0,0,11
10,9,animals,three_superordinate,1,1,0.25,11
11,9,animals,one,1,0,0,11
12,9,animals,three_basic,1,1,0,11
13,9,vehicles,three_superordinate,1,1,1,11
14,9,vegetables,three_superordinate,1,1,0.75,11
15,9,animals,three_basic,1,1,0,11
16,9,vehicles,three_superordinate,1,1,0.75,11
17,9,vehicles,three_superordinate,1,1,1,11
18,9,animals,one,1,0,0,11
19,9,vehicles,one,1,0,0,11
20,9,animals,three_superordinate,1,1,1,11
21,9,vegetables,three_basic,1,1,0,11
22,9,vegetables,one,1,0,0,11
23,9,vegetables,three_basic,1,1,0,11
24,9,vegetables,one,1,0,0,11
25,9,animals,one,1,0,0,11
26,9,vegetables,three_superordinate,1,1,1,11
27,9,vehicles,three_basic,1,1,0,11
28,9,vehicles,three_basic,1,0.5,0,11
29,9,vehicles,one,1,0,0,11
30,9,animals,three_basic,1,1,0,11
31,9,vehicles,one,1,1,1,11
32,9,animals,three_basic,1,1,0,11
33,9,animals,three_basic,1,1,0,11
34,9,vehicles,three_basic,1,1,0,11
35,9,vehicles,one,1,0,0,11
36,9,vehicles,three_basic,0.5,1,0,11
37,9,vehicles,three_superordinate,1,1,1,11
38,9,vehicles,three_basic,1,0.5,0,11
39,9,vegetables,three_basic,1,1,0,11
40,9,vegetables,one,1,1,0,11
41,9,vehicles,three_basic,1,1,0,11
42,9,vegetables,three_superordinate,1,1,0.75,11
43,9,vehicles,three_superordinate,1,1,1,11
44,9,vegetables,three_basic,1,1,0,11
45,9,animals,three_basic,0,0.5,0,11
46,9,vehicles,three_superordinate,1,1,1,11
47,9,animals,one,1,0,0,11
48,9,animals,three_basic,1,1,0,11
49,9,animals,three_superordinate,1,1,1,11
50,9,animals,one,1,0.5,0,11
1,8,animals,one,1,0,0,11
2,8,vehicles,three_basic,1,1,0,11
3,8,vegetables,three_basic,1,0.5,0,11
4,8,animals,three_basic,0.5,0.5,0,11
5,8,vehicles,three_superordinate,1,1,1,11
6,8,vegetables,one,1,0,0,11
7,8,vegetables,one,1,0,0,11
8,8,vegetables,three_superordinate,1,1,1,11
9,8,vegetables,three_basic,1,1,0,11
10,8,vehicles,three_superordinate,1,1,0.5,11
11,8,vegetables,three_superordinate,1,1,1,11
12,8,vegetables,one,1,1,0,11
13,8,animals,three_basic,1,0,0,11
14,8,vehicles,one,1,0,0,11
15,8,vegetables,three_basic,1,1,0,11
16,8,vegetables,three_superordinate,1,1,0.75,11
17,8,vegetables,three_superordinate,1,1,0.75,11
18,8,animals,three_basic,0.5,1,0,11
19,8,vegetables,one,1,0,0,11
20,8,vegetables,three_basic,1,1,0,11
21,8,animals,one,1,0,0,11
22,8,vegetables,three_superordinate,1,0,0,11
23,8,animals,three_superordinate,1,1,1,11
24,8,vehicles,one,1,1,0,11
25,8,vehicles,one,1,0,0,11
26,8,vehicles,three_basic,1,1,0,11
27,8,vegetables,one,1,0,0,11
28,8,vegetables,three_superordinate,1,1,1,11
29,8,vehicles,three_basic,1,1,0,11
30,8,vegetables,three_basic,1,1,0,11
31,8,vegetables,three_basic,1,1,0.75,11
32,8,animals,one,1,0,0,11
33,8,vegetables,three_basic,1,1,0,11
34,8,vehicles,three_superordinate,1,1,1,11
35,8,vehicles,three_superordinate,1,0,0,11
36,8,vehicles,three_superordinate,0,0,0.25,11
37,8,vegetables,one,1,1,0,11
38,8,vehicles,one,1,0,0,11
39,8,vegetables,one,1,1,0,11
40,8,vehicles,one,1,0,0,11
41,8,vegetables,three_basic,1,1,0,11
42,8,animals,one,1,0,0,11
43,8,vegetables,three_basic,1,1,0,11
44,8,vehicles,one,1,0,0,11
45,8,vegetables,three_basic,0.5,0,0,11
46,8,animals,one,1,0,0,11
47,8,vegetables,one,1,0,0,11
48,8,vehicles,one,1,0,0,11
49,8,animals,one,1,0,0,11
50,8,vegetables,three_superordinate,0,0.5,0.5,11
1,12,animals,three_superordinate,1,1,1,11
2,12,animals,one,1,0,0,11
3,12,animals,three_basic,1,1,0,11
4,12,vegetables,three_basic,1,0.5,0,11
5,12,vehicles,three_basic,1,1,0,11
6,12,vehicles,three_basic,1,0,0,11
7,12,vehicles,three_superordinate,1,1,0.75,11
8,12,vehicles,one,1,0,0,11
9,12,vegetables,three_superordinate,1,0,0,11
10,12,vehicles,one,1,0,0,11
11,12,vehicles,three_superordinate,1,1,1,11
12,12,vehicles,three_superordinate,1,1.5,1,11
13,12,animals,one,1,0,0,11
14,12,vehicles,three_superordinate,1,1,1,11
15,12,vehicles,three_basic,1,1,0,11
16,12,vehicles,one,1,0,0,11
17,12,vegetables,one,1,0,0,11
18,12,vegetables,three_superordinate,0.5,0,0.5,11
19,12,animals,one,1,0,0,11
20,12,vegetables,three_superordinate,1,1,1,11
21,12,animals,three_superordinate,1,1,1,11
22,12,animals,three_superordinate,1,1,0,11
23,12,vehicles,one,1,0,0,11
24,12,animals,three_superordinate,1,1,1,11
25,12,vehicles,three_superordinate,1,1,1,11
26,12,vegetables,one,1,1,0,11
27,12,vehicles,three_superordinate,1,1,0.75,11
28,12,vehicles,three_superordinate,1,1,0.75,11
29,12,vegetables,three_superordinate,1,1,1,11
30,12,animals,three_superordinate,1,1,1,11
31,12,animals,three_superordinate,1,1,1,11
32,12,vegetables,one,1,0,0,11
33,12,animals,three_superordinate,1,1,1,11
34,12,vegetables,three_superordinate,1,1,1,11
35,12,animals,three_superordinate,1,0,0,11
36,12,animals,three_superordinate,1,1,0.5,11
37,12,animals,one,1,1,0,11
38,12,animals,one,1,0,0,11
39,12,vehicles,three_basic,1,1,0,11
40,12,vehicles,three_basic,1,1,0,11
41,12,animals,one,1,0,0,11
42,12,vehicles,one,1,0,0,11
43,12,vehicles,one,1,0,0,11
44,12,vehicles,three_basic,1,1,0,11
45,12,animals,one,0.5,1,0,11
46,12,vegetables,three_basic,1,1,0,11
47,12,vegetables,three_superordinate,1,1,1,11
48,12,animals,three_superordinate,1,1,1,11
49,12,animals,three_basic,1,1,0,11
50,12,vegetables,one,1,0,0,11
1,11,vehicles,three_basic,1,1,0,11
2,11,vehicles,three_superordinate,1,1,0.75,11
3,11,vehicles,three_basic,1,1,0,11
4,11,animals,three_superordinate,1,0,0,11
5,11,animals,one,1,1,0,11
6,11,vegetables,three_basic,1,1,0,11
7,11,vegetables,three_superordinate,1,1,1,11
8,11,animals,three_superordinate,1,1,1,11
9,11,vehicles,one,1,0,0,11
10,11,vegetables,one,1,0,0,11
11,11,animals,three_superordinate,1,1,1,11
12,11,vehicles,one,1,1,0,11
13,11,vehicles,three_basic,0.5,1,0,11
14,11,animals,three_superordinate,1,1,1,11
15,11,animals,one,1,0,0,11
16,11,vegetables,one,1,0,0,11
17,11,vehicles,one,1,0,0,11
18,11,vegetables,one,1,0,0,11
19,11,animals,three_superordinate,1,1,1,11
20,11,vehicles,three_superordinate,1,1,0.75,11
21,11,vegetables,three_superordinate,1,1,1,11
22,11,vehicles,one,1,0,0,11
23,11,animals,one,1,0,0,11
24,11,vehicles,three_basic,1,1,0,11
25,11,animals,three_basic,1,1,0,11
26,11,animals,one,1,0,0,11
27,11,animals,one,1,0,0,11
28,11,vegetables,one,1,0,0,11
29,11,vehicles,three_superordinate,1,1,0.75,11
30,11,vehicles,three_basic,1,1,0,11
31,11,vegetables,three_superordinate,1,1,1,11
32,11,animals,three_superordinate,1,1,0.75,11
33,11,vegetables,three_superordinate,1,1,1,11
34,11,animals,one,1,0,0,11
35,11,animals,one,1,0,0,11
36,11,vegetables,three_basic,1,1,0,11
37,11,vegetables,three_basic,1,1,0,11
38,11,animals,three_basic,1,1,0,11
39,11,animals,three_superordinate,1,1,1,11
40,11,animals,three_basic,1,1,0,11
41,11,vehicles,three_superordinate,1,1,1,11
42,11,vegetables,one,1,0,0,11
43,11,animals,three_superordinate,1,1,1,11
44,11,animals,three_basic,1,0.5,0,11
45,11,vehicles,one,0.5,0.5,0,11
46,11,animals,three_basic,1,0.5,0,11
47,11,animals,three_basic,1,1,0,11
48,11,vehicles,three_basic,1,1,0,11
49,11,vehicles,three_superordinate,1,1,1,11
50,11,vegetables,three_basic,1,1,0,11
1,1,animals,three_subordinate,1,0,0,11
2,1,vehicles,three_subordinate,0.5,0,0,11
3,1,vegetables,three_subordinate,1,0,0,11
4,1,vehicles,three_subordinate,1,1,0,11
5,1,vehicles,three_subordinate,1,0.5,0,11
6,1,vegetables,three_subordinate,0.5,0,0,11
7,1,vegetables,three_subordinate,1,0,0,11
8,1,animals,three_subordinate,1,0,0,11
9,1,animals,three_subordinate,1,0,0,11
10,1,animals,three_subordinate,1,0.5,0,11
11,1,vehicles,three_subordinate,1,0,0,11
12,1,vegetables,three_subordinate,1,0,0,11
13,1,animals,three_subordinate,1,0,0,11
14,1,vegetables,three_subordinate,1,0,0,11
15,1,animals,three_subordinate,1,0,0,11
16,1,animals,three_subordinate,1,1,0,11
17,1,vehicles,three_subordinate,1,1,0,11
18,1,vegetables,three_subordinate,1,0.5,0,11
19,1,vehicles,three_subordinate,1,1,0,11
20,1,animals,three_subordinate,1,0,0,11
21,1,vegetables,three_subordinate,1,0,0,11
22,1,vegetables,three_subordinate,1,0,0,11
23,1,animals,three_subordinate,1,0,0,11
24,1,vehicles,three_subordinate,0,0.5,0,11
25,1,animals,three_subordinate,1,1,0,11
26,1,vegetables,three_subordinate,1,1,0,11
27,1,animals,three_subordinate,1,0,0,11
28,1,vegetables,three_subordinate,1,1,0,11
29,1,vegetables,three_subordinate,1,1,0,11
30,1,animals,three_subordinate,1,0,0,11
31,1,animals,three_subordinate,1,1,1,11
32,1,vegetables,three_subordinate,1,1,0,11
33,1,vegetables,three_subordinate,1,0,0,11
34,1,animals,three_subordinate,1,0,0,11
35,1,vehicles,three_subordinate,1,0,0,11
36,1,vehicles,three_subordinate,0.5,0,0,11
37,1,vehicles,three_subordinate,1,0,0,11
38,1,vehicles,three_subordinate,0.5,0,0,11
39,1,animals,three_subordinate,1,0,0,11
40,1,vehicles,three_subordinate,1,0,0,11
41,1,animals,three_subordinate,1,0,0,11
42,1,vehicles,three_subordinate,0.5,1,0,11
43,1,animals,three_subordinate,1,0,0,11
44,1,vehicles,three_subordinate,1,0,0,11
45,1,vehicles,three_subordinate,0.5,0,0,11
