subids,trial_num,category,condition,prop_sub,prop_bas,prop_sup,exp
1,9,vegetables,one,1,0,0,6
2,9,animals,3sup,1,0,0,6
3,9,animals,one,1,0,0,6
4,9,vehicles,3bas,1,1,0,6
5,9,animals,3bas,1,1,0,6
6,9,animals,3bas,1,1,0,6
7,9,vegetables,3sup,1,1,1,6
8,9,animals,one,0,0,0.25,6
9,9,animals,3sup,1,1,1,6
10,9,vegetables,3sup,1,1,1,6
11,9,vehicles,one,1,0,0,6
12,9,vegetables,3bas,1,1,0,6
13,9,vehicles,3sup,1,1,1,6
14,9,vegetables,3bas,1,1,0,6
15,9,vehicles,3bas,1,1,0,6
16,9,vegetables,3bas,1,1,0,6
17,9,vegetables,3bas,1,1,0,6
18,9,animals,3bas,1,1,0,6
19,9,vehicles,3bas,1,1,0,6
20,9,animals,3bas,1,1,0,6
21,9,vegetables,3bas,1,1,0,6
22,9,vehicles,3bas,1,1,0,6
23,9,animals,3bas,1,1,0,6
24,9,vegetables,3sup,1,1,1,6
25,9,vegetables,one,1,0,0,6
26,9,vegetables,3sup,1,1,0.75,6
27,9,animals,3bas,1,1,0,6
28,9,vehicles,3sup,1,1,1,6
29,9,vehicles,3bas,1,1,0,6
30,9,vegetables,3bas,1,1,0,6
31,9,animals,one,1,1,0,6
32,9,vegetables,3bas,1,1,0,6
33,9,vehicles,3bas,1,1,0,6
34,9,vegetables,3sup,1,1,0.75,6
35,9,vegetables,3bas,1,1,0,6
36,9,vegetables,3bas,1,1,0,6
37,9,vehicles,one,1,1,0,6
38,9,vegetables,3bas,1,1,0,6
39,9,vehicles,3sup,1,1,1,6
40,9,vegetables,3bas,1,1,0,6
41,9,vehicles,3bas,1,0,0,6
42,9,vehicles,3bas,1,0,0,6
43,9,vehicles,3bas,1,1,0.25,6
44,9,vehicles,3sup,1,1,1,6
45,9,animals,one,1,0,0,6
46,9,animals,one,1,0,0,6
47,9,animals,one,1,1,1,6
48,9,animals,3bas,1,1,0,6
49,9,vehicles,3sup,1,1,0.75,6
50,9,animals,one,1,0,0,6
1,8,animals,one,1,0,0,6
2,8,vehicles,3sup,1,0,0,6
3,8,vehicles,one,1,0,0,6
4,8,animals,3bas,1,1,0,6
5,8,vehicles,3bas,1,1,0,6
