subids,trial_num,category,condition,prop_sub,prop_bas,prop_sup,exp
1,9,animals,3bas,1,0.5,0,9
2,9,animals,3sup,1,1,0.75,9
3,9,animals,one,1,0,0,9
4,9,vehicles,one,1,0,0,9
5,9,vehicles,one,1,0,0,9
6,9,animals,3sup,1,1,0.5,9
7,9,vegetables,3sup,1,1,1,9
8,9,vegetables,one,1,0,0,9
9,9,vegetables,one,1,1,0,9
10,9,animals,3bas,0.5,1,0,9
11,9,vegetables,3sup,1,1,1,9
12,9,animals,3bas,0.5,1,0,9
13,9,animals,one,0.5,0,0,9
14,9,vehicles,3bas,1,1,0,9
15,9,vegetables,3bas,1,1,0,9
16,9,animals,3sup,1,1,0.75,9
17,9,vehicles,3sup,1,1,1,9
18,9,vehicles,3bas,1,1,0,9
19,9,vehicles,one,1,0,0,9
20,9,vehicles,3bas,0,1,0.25,9
21,9,vegetables,3bas,1,1,0,9
22,9,vegetables,one,1,0,0,9
23,9,animals,3sup,1,1,1,9
24,9,animals,3sup,1,1,1,9
25,9,animals,3sup,1,1,1,9
26,9,vehicles,3bas,1,1,0,9
27,9,vegetables,one,1,0,0,9
28,9,animals,3sup,1,1,1,9
29,9,animals,one,1,0,0,9
30,9,vegetables,3bas,1,1,0,9
31,9,animals,one,1,0,0,9
32,9,vegetables,3sup,1,1,1,9
33,9,animals,one,1,0,0,9
34,9,animals,one,1,0,0,9
35,9,vegetables,one,1,0.5,0,9
36,9,animals,one,1,0,0,9
37,9,animals,3bas,1,1,0,9
38,9,vehicles,one,1,0,0,9
39,9,vehicles,3bas,1,1,0,9
40,9,animals,3bas,1,1,0,9
41,9,vehicles,3sup,1,0,0,9
42,9,vehicles,3bas,1,1,0,9
43,9,animals,3bas,1,1,0,9
44,9,vegetables,3bas,1,1,0,9
45,9,vegetables,one,1,0,0,9
46,9,vegetables,3sup,1,1,1,9
47,9,vehicles,3bas,1,1,0,9
48,9,vegetables,one,1,0,0,9
49,9,vegetables,3bas,1,1,0,9
50,9,vegetables,one,1,0,0,9
1,8,vehicles,3bas,1,1,0,9
2,8,vehicles,3sup,1,1,1,9
3,8,vegetables,one,1,0,0,9
4,8,animals,one,1,0,0,9
5,8,vegetables,one,1,0,0,9
6,8,vegetables,3sup,0,0,1,9
7,8,animals,3sup,1,1,1,9
8,8,vehicles,one,1,0,0,9
9,8,animals,one,1,1,0,9
10,8,vehicles,3bas,1,0.5,0,9
11,8,vehicles,3sup,1,1,0.75,9
12,8,vegetables,3bas,1,1,0,9
13,8,vehicles,one,1,0,0,9
14,8,animals,3bas,1,1,0,9
15,8,animals,3bas,1,1,0,9
16,8,vegetables,3sup,1,1,1,9
17,8,animals,3sup,1,1,1,9
18,8,animals,3bas,1,1,0,9
19,8,vegetables,one,0.5,1,0,9
20,8,vegetables,3bas,0.5,1,0,9
21,8,animals,3bas,1,1,0,9
22,8,animals,one,1,0,0,9
23,8,vegetables,3sup,1,1,1,9
24,8,vehicles,3sup,1,1,1,9
25,8,vehicles,3sup,1,1,1,9
26,8,vegetables,3bas,1,1,0,9
27,8,vehicles,one,1,0,0,9
28,8,vegetables,3sup,1,1,0.75,9
29,8,vehicles,one,1,0,0,9
30,8,vehicles,3bas,1,1,0,9
31,8,vehicles,one,1,0,0,9
32,8,animals,3sup,1,1,1,9
33,8,vegetables,one,1,0,0,9
34,8,vegetables,one,1,0,0,9
35,8,vehicles,one,1,1,0,9
36,8,vehicles,one,1,0,0,9
37,8,vegetables,3bas,1,1,0,9
38,8,animals,one,1,0,0,9
39,8,animals,3bas,1,1,0,9
40,8,vegetables,3bas,1,1,0,9
41,8,vegetables,3sup,0,0,0.25,9
42,8,animals,3bas,1,0,0,9
43,8,vegetables,3bas,1,1,0,9
44,8,animals,3bas,1,1,0,9
45,8,animals,one,1,1,0,9
46,8,animals,3sup,1,1,1,9
47,8,animals,3bas,1,1,0,9
48,8,animals,one,1,0,0,9
49,8,vehicles,3bas,0,1,0,9
50,8,vehicles,one,0.5,0,0,9
1,12,vegetables,one,1,0,0,9
2,12,animals,3bas,1,1,0,9
3,12,vehicles,3sup,1,1,1,9
4,12,vegetables,3sup,1,1,0.75,9
5,12,vehicles,3bas,1,1,0,9
6,12,vehicles,3bas,1,1,0,9
7,12,vehicles,one,1,0,0,9
8,12,vegetables,3bas,1,1,0,9
9,12,animals,3bas,1,1,0,9
10,12,vehicles,one,1,0.5,0,9
11,12,animals,3bas,0.5,1,0,9
12,12,vegetables,one,1,0,0,9
13,12,animals,3sup,0.5,1,0.5,9
14,12,animals,3sup,1,1,1,9
15,12,vegetables,3sup,1,1,1,9
16,12,vehicles,one,1,0,0,9
17,12,animals,3bas,1,1,0,9
18,12,animals,one,1,0,0,9
19,12,vehicles,3sup,1,1,1,9
20,12,animals,3sup,1,1,1,9
21,12,animals,one,1,0,0,9
22,12,vehicles,3bas,1,1,0,9
23,12,vehicles,3bas,1,1,0,9
24,12,vegetables,one,1,0,0,9
25,12,animals,3bas,1,1,0,9
26,12,vegetables,3sup,1,1,1,9
27,12,vehicles,3sup,1,1,1,9
